munic_code,munic,microregion,mesoregion,UF_NO,micro_code,meso_code
1100015,Alta Floresta D'Oeste,6,2,11,11006,1102
1100379,Alto Alegre dos Parecis,6,2,11,11006,1102
1100403,Alto Paraíso,3,2,11,11003,1102
1100346,Alvorada D'Oeste,5,2,11,11005,1102
1100023,Ariquemes,3,2,11,11003,1102
1100452,Buritis,1,1,11,11001,1101
1100031,Cabixi,8,2,11,11008,1102
1100601,Cacaulândia,3,2,11,11003,1102
1100049,Cacoal,6,2,11,11006,1102
1100700,Campo Novo de Rondônia,1,1,11,11001,1101
1100809,Candeias do Jamari,1,1,11,11001,1101
1100908,Castanheiras,6,2,11,11006,1102
1100056,Cerejeiras,8,2,11,11008,1102
1100924,Chupinguaia,7,2,11,11007,1102
1100064,Colorado do Oeste,8,2,11,11008,1102
1100072,Corumbiara,8,2,11,11008,1102
1100080,Costa Marques,2,1,11,11002,1101
1100940,Cujubim,1,1,11,11001,1101
1100098,Espigão D'Oeste,6,2,11,11006,1102
1101005,Governador Jorge Teixeira,4,2,11,11004,1102
1100106,Guajará-Mirim,2,1,11,11002,1101
1101104,Itapuã do Oeste,1,1,11,11001,1101
1100114,Jaru,4,2,11,11004,1102
1100122,Ji-Paraná,4,2,11,11004,1102
1100130,Machadinho D'Oeste,3,2,11,11003,1102
1101203,Ministro Andreazza,6,2,11,11006,1102
1101302,Mirante da Serra,4,2,11,11004,1102
1101401,Monte Negro,3,2,11,11003,1102
1100148,Nova Brasilândia D'Oeste,5,2,11,11005,1102
1100338,Nova Mamoré,1,1,11,11001,1101
1101435,Nova União,4,2,11,11004,1102
1100502,Novo Horizonte do Oeste,6,2,11,11006,1102
1100155,Ouro Preto do Oeste,4,2,11,11004,1102
1101450,Parecis,7,2,11,11007,1102
1100189,Pimenta Bueno,7,2,11,11007,1102
1101468,Pimenteiras do Oeste,8,2,11,11008,1102
1100205,Porto Velho,1,1,11,11001,1101
1100254,Presidente Médici,4,2,11,11004,1102
1101476,Primavera de Rondônia,7,2,11,11007,1102
1100262,Rio Crespo,3,2,11,11003,1102
1100288,Rolim de Moura,6,2,11,11006,1102
1100296,Santa Luzia D'Oeste,6,2,11,11006,1102
1101484,São Felipe D'Oeste,7,2,11,11007,1102
1101492,São Francisco do Guaporé,2,1,11,11002,1101
1100320,São Miguel do Guaporé,5,2,11,11005,1102
1101500,Seringueiras,5,2,11,11005,1102
1101559,Teixeirópolis,4,2,11,11004,1102
1101609,Theobroma,4,2,11,11004,1102
1101708,Urupá,4,2,11,11004,1102
1101757,Vale do Anari,3,2,11,11003,1102
1101807,Vale do Paraíso,4,2,11,11004,1102
1100304,Vilhena,7,2,11,11007,1102
1200013,Acrelândia,4,2,12,12004,1202
1200054,Assis Brasil,5,2,12,12005,1202
1200104,Brasiléia,5,2,12,12005,1202
1200138,Bujari,4,2,12,12004,1202
1200179,Capixaba,4,2,12,12004,1202
1200203,Cruzeiro do Sul,1,1,12,12001,1201
1200252,Epitaciolândia,5,2,12,12005,1202
1200302,Feijó,2,1,12,12002,1201
1200328,Jordão,2,1,12,12002,1201
1200336,Mâncio Lima,1,1,12,12001,1201
1200344,Manoel Urbano,3,2,12,12003,1202
