ANADIA,,,AL,,,,"587,96",,,,,,,-,,,,,,,,"587,96",,,,,,,,"2.311,77",,,,,,,,
ATALAIA,,,AL,,,,"759,45",,,,,,,-,,,,,,,,"759,45",,,,,,,,"2.986,05",,,,,,,,
BARRA DE SANTO ANTONIO,,,AL,,,,"514,47",,,,,,,-,,,,,,,,"514,47",,,,,,,,"2.022,80",,,,,,,,
BARRA DE SAO MIGUEL,,,AL,,,,"489,97",,,,,,,-,,,,,,,,"489,97",,,,,,,,"1.926,48",,,,,,,,
BOCA DA MATA,,,AL,,,,"661,46",,,,,,,-,,,,,,,,"661,46",,,,,,,,"2.600,75",,,,,,,,
BRANQUINHA,,,AL,,,,"514,47",,,,,,,-,,,,,,,,"514,47",,,,,,,,"2.022,80",,,,,,,,
CAJUEIRO,,,AL,,,,"612,46",,,,,,,-,,,,,,,,"612,46",,,,,,,,"2.408,10",,,,,,,,
CAMPESTRE,,,AL,,,,"489,97",,,,,,,-,,,,,,,,"489,97",,,,,,,,"1.926,48",,,,,,,,
CAMPO ALEGRE,,,AL,,,,"759,45",,,,,,,-,,,,,,,,"759,45",,,,,,,,"2.986,05",,,,,,,,
CAPELA,,,AL,,,,"612,46",,,,,,,-,,,,,,,,"612,46",,,,,,,,"2.408,10",,,,,,,,
CHA PRETA,,,AL,,,,"489,97",,,,,,,-,,,,,,,,"489,97",,,,,,,,"1.926,48",,,,,,,,
COLONIA LEOPOLDINA,,,AL,,,,"587,96",,,,,,,-,,,,,,,,"587,96",,,,,,,,"2.311,77",,,,,,,,
COQUEIRO SECO,,,AL,,,,"741,53",,,,,,,"162,25",,,,,,,,"903,78",,,,,,,,"2.340,29",,,,,,,,
CORURIPE,,,AL,,,,"1.062.767,70",,,,,,,"29.856,33",,,,,,,,"1.092.624,03",,,,,,,,"3.981.511,43",,,,,,,,
FELIZ DESERTO,,,AL,,,,"17.455,23",,,,,,,"24.393,69",,,,,,,,"41.848,92",,,,,,,,"164.543,57",,,,,,,,
FLEXEIRAS,,,AL,,,,"538,96",,,,,,,-,,,,,,,,"538,96",,,,,,,,"2.119,11",,,,,,,,
IBATEGUARA,,,AL,,,,"563,46",,,,,,,-,,,,,,,,"563,46",,,,,,,,"2.215,45",,,,,,,,
IGREJA NOVA,,,AL,,,,"636,96",,,,,,,-,,,,,,,,"636,96",,,,,,,,"2.504,42",,,,,,,,
JACUIPE,,,AL,,,,"489,97",,,,,,,-,,,,,,,,"489,97",,,,,,,,"1.926,48",,,,,,,,
JAPARATINGA,,,AL,,,,"489,97",,,,,,,-,,,,,,,,"489,97",,,,,,,,"1.926,48",,,,,,,,
JEQUIA DA PRAIA,,,AL,,,,"538,96",,,,,,,-,,,,,,,,"538,96",,,,,,,,"2.119,11",,,,,,,,
JOAQUIM GOMES,,,AL,,,,"636,96",,,,,,,-,,,,,,,,"636,96",,,,,,,,"2.504,42",,,,,,,,
JUNDIA,,,AL,,,,"489,97",,,,,,,-,,,,,,,,"489,97",,,,,,,,"1.926,48",,,,,,,,
JUNQUEIRO,,,AL,,,,"636,96",,,,,,,-,,,,,,,,"636,96",,,,,,,,"2.504,42",,,,,,,,
MACEIO,,,AL,,,,"77.905,24",,,,,,,"12.699,04",,,,,,,,"90.604,28",,,,,,,,"345.880,62",,,,,,,,
MARAGOGI,,,AL,,,,"636,96",,,,,,,-,,,,,,,,"636,96",,,,,,,,"2.504,42",,,,,,,,
MARECHAL DEODORO,,,AL,,,,"154.310,26",,,,,,,"83.169,21",,,,,,,,"237.479,47",,,,,,,,"880.314,08",,,,,,,,
MATRIZ DE CAMARAGIBE,,,AL,,,,"636,96",,,,,,,-,,,,,,,,"636,96",,,,,,,,"2.504,42",,,,,,,,
MESSIAS,,,AL,,,,"514,47",,,,,,,-,,,,,,,,"514,47",,,,,,,,"2.022,80",,,,,,,,
MURICI,,,AL,,,,"661,46",,,,,,,-,,,,,,,,"661,46",,,,,,,,"2.600,75",,,,,,,,
NOVO LINO,,,AL,,,,"514,47",,,,,,,-,,,,,,,,"514,47",,,,,,,,"2.022,80",,,,,,,,
PARIPUEIRA,,,AL,,,,"489,97",,,,,,,"6.098,59",,,,,,,,"6.588,56",,,,,,,,"19.011,82",,,,,,,,
PASSO DE CAMARAGIBE,,,AL,,,,"538,96",,,,,,,-,,,,,,,,"538,96",,,,,,,,"2.119,11",,,,,,,,
PENEDO,,,AL,,,,"808,45",,,,,,,-,,,,,,,,"808,45",,,,,,,,"3.178,69",,,,,,,,
PIACABUCU,,,AL,,,,"587,96",,,,,,,-,,,,,,,,"587,96",,,,,,,,"2.311,77",,,,,,,,
PILAR,,,AL,,,,"119.112,47",,,,,,,"76.385,10",,,,,,,,"195.497,57",,,,,,,,"830.843,37",,,,,,,,
PINDOBA,,,AL,,,,"489,97",,,,,,,-,,,,,,,,"489,97",,,,,,,,"1.926,48",,,,,,,,
PORTO CALVO,,,AL,,,,"636,96",,,,,,,-,,,,,,,,"636,96",,,,,,,,"2.504,42",,,,,,,,
PORTO DE PEDRAS,,,AL,,,,"514,47",,,,,,,-,,,,,,,,"514,47",,,,,,,,"2.022,80",,,,,,,,
PORTO REAL DO COLEGIO,,,AL,,,,"612,46",,,,,,,-,,,,,,,,"612,46",,,,,,,,"2.408,10",,,,,,,,
RIO LARGO,,,AL,,,,"3.708,71",,,,,,,"1.870,67",,,,,,,,"5.579,38",,,,,,,,"17.216,47",,,,,,,,
ROTEIRO,,,AL,,,,"1.053,14",,,,,,,"363,24",,,,,,,,"1.416,38",,,,,,,,"5.164,84",,,,,,,,
SANTA LUZIA DO NORTE,,,AL,,,,"489,97",,,,,,,-,,,,,,,,"489,97",,,,,,,,"1.926,48",,,,,,,,
SANTANA DO MUNDAU,,,AL,,,,"514,47",,,,,,,-,,,,,,,,"514,47",,,,,,,,"2.022,80",,,,,,,,
SAO JOSE DA LAJE,,,AL,,,,"636,96",,,,,,,-,,,,,,,,"636,96",,,,,,,,"2.504,42",,,,,,,,
SAO LUIS DO QUITUNDE,,,AL,,,,"685,96",,,,,,,-,,,,,,,,"685,96",,,,,,,,"2.697,08",,,,,,,,
