ANADIA-AL,,,AL,,,,,"667,85",,,,,,,,-,,,,,,,"667,85",,,,,,,,"3.096,21",,,,,,,,
ATALAIA-AL,,,AL,,,,,"862,64",,,,,,,,-,,,,,,,"862,64",,,,,,,,"3.999,27",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,,,"584,37",,,,,,,,-,,,,,,,"584,37",,,,,,,,"2.709,19",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,,,"556,54",,,,,,,,-,,,,,,,"556,54",,,,,,,,"2.580,17",,,,,,,,
BOCA DA MATA-AL,,,AL,,,,,"751,33",,,,,,,,-,,,,,,,"751,33",,,,,,,,"3.483,23",,,,,,,,
BRANQUINHA-AL,,,AL,,,,,"584,37",,,,,,,,-,,,,,,,"584,37",,,,,,,,"2.709,19",,,,,,,,
CAJUEIRO-AL,,,AL,,,,,"695,68",,,,,,,,-,,,,,,,"695,68",,,,,,,,"3.225,23",,,,,,,,
CAMPESTRE-AL,,,AL,,,,,"556,54",,,,,,,,-,,,,,,,"556,54",,,,,,,,"2.580,17",,,,,,,,
CAMPO ALEGRE-AL,,,AL,,,,,"862,64",,,,,,,,-,,,,,,,"862,64",,,,,,,,"3.999,27",,,,,,,,
CAPELA-AL,,,AL,,,,,"695,68",,,,,,,,-,,,,,,,"695,68",,,,,,,,"3.225,23",,,,,,,,
CHA PRETA-AL,,,AL,,,,,"556,54",,,,,,,,-,,,,,,,"556,54",,,,,,,,"2.580,17",,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,,,"667,85",,,,,,,,-,,,,,,,"667,85",,,,,,,,"3.096,21",,,,,,,,
COQUEIRO SECO-AL,,,AL,,,,,"1.140,86",,,,,,,,"376,89",,,,,,,"1.517,75",,,,,,,,"9.902,66",,,,,,,,
CORURIPE-AL,,,AL,,,,,"906.534,59",,,,,,,,"58.913,26",,,,,,,"965.447,85",,,,,,,,"4.035.223,99",,,,,,,,
FELIZ DESERTO-AL,,,AL,,,,,"20.199,39",,,,,,,,"27.685,79",,,,,,,"47.885,18",,,,,,,,"221.999,08",,,,,,,,
FLEXEIRAS-AL,,,AL,,,,,"584,37",,,,,,,,-,,,,,,,"584,37",,,,,,,,"2.709,19",,,,,,,,
IBATEGUARA-AL,,,AL,,,,,"640,02",,,,,,,,-,,,,,,,"640,02",,,,,,,,"2.967,20",,,,,,,,
IGREJA NOVA-AL,,,AL,,,,,"723,51",,,,,,,,-,,,,,,,"723,51",,,,,,,,"3.354,23",,,,,,,,
JACUIPE-AL,,,AL,,,,,"556,54",,,,,,,,-,,,,,,,"556,54",,,,,,,,"2.580,17",,,,,,,,
JAPARATINGA-AL,,,AL,,,,,"556,54",,,,,,,,-,,,,,,,"556,54",,,,,,,,"2.580,17",,,,,,,,
JEQUIA DA PRAIA-AL,,,AL,,,,,"1.189,76",,,,,,,,"242,57",,,,,,,"1.432,33",,,,,,,,"17.152,00",,,,,,,,
JOAQUIM GOMES-AL,,,AL,,,,,"723,51",,,,,,,,-,,,,,,,"723,51",,,,,,,,"3.354,23",,,,,,,,
JUNDIA-AL,,,AL,,,,,"556,54",,,,,,,,-,,,,,,,"556,54",,,,,,,,"2.580,17",,,,,,,,
JUNQUEIRO-AL,,,AL,,,,,"723,51",,,,,,,,-,,,,,,,"723,51",,,,,,,,"3.354,23",,,,,,,,
