ANADIA-AL,,,AL,,,"766,23",,,,,,,,-,,,,,,"766,23",,,,,,,,"3.098,96",,,,,,,,
ATALAIA-AL,,,AL,,,"989,72",,,,,,,,-,,,,,,"989,72",,,,,,,,"4.002,84",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,"670,45",,,,,,,,-,,,,,,"670,45",,,,,,,,"2.711,59",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,"638,52",,,,,,,,-,,,,,,"638,52",,,,,,,,"2.582,46",,,,,,,,
BOCA DA MATA-AL,,,AL,,,"862,01",,,,,,,,-,,,,,,"862,01",,,,,,,,"3.486,34",,,,,,,,
BRANQUINHA-AL,,,AL,,,"670,45",,,,,,,,-,,,,,,"670,45",,,,,,,,"2.711,59",,,,,,,,
CAJUEIRO-AL,,,AL,,,"798,16",,,,,,,,-,,,,,,"798,16",,,,,,,,"3.228,09",,,,,,,,
CAMPESTRE-AL,,,AL,,,"638,52",,,,,,,,-,,,,,,"638,52",,,,,,,,"2.582,46",,,,,,,,
CAMPO ALEGRE-AL,,,AL,,,"989,72",,,,,,,,-,,,,,,"989,72",,,,,,,,"4.002,84",,,,,,,,
CAPELA-AL,,,AL,,,"798,16",,,,,,,,-,,,,,,"798,16",,,,,,,,"3.228,09",,,,,,,,
CHA PRETA-AL,,,AL,,,"638,52",,,,,,,,-,,,,,,"638,52",,,,,,,,"2.582,46",,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,"766,23",,,,,,,,-,,,,,,"766,23",,,,,,,,"3.098,96",,,,,,,,
COQUEIRO SECO-AL,,,AL,,,"780,63",,,,,,,,"91,66",,,,,,"872,29",,,,,,,,"5.195,40",,,,,,,,
CORURIPE-AL,,,AL,,,"926.560,47",,,,,,,,"66.393,77",,,,,,"992.954,24",,,,,,,,"3.968.850,63",,,,,,,,
FELIZ DESERTO-AL,,,AL,,,"23.174,87",,,,,,,,"31.764,05",,,,,,"54.938,92",,,,,,,,"222.196,61",,,,,,,,
FLEXEIRAS-AL,,,AL,,,"670,45",,,,,,,,-,,,,,,"670,45",,,,,,,,"2.711,59",,,,,,,,
IBATEGUARA-AL,,,AL,,,"734,30",,,,,,,,-,,,,,,"734,30",,,,,,,,"2.969,84",,,,,,,,
IGREJA NOVA-AL,,,AL,,,"830,08",,,,,,,,-,,,,,,"830,08",,,,,,,,"3.357,21",,,,,,,,
JACUIPE-AL,,,AL,,,"638,52",,,,,,,,-,,,,,,"638,52",,,,,,,,"2.582,46",,,,,,,,
JAPARATINGA-AL,,,AL,,,"638,52",,,,,,,,-,,,,,,"638,52",,,,,,,,"2.582,46",,,,,,,,
JEQUIA DA PRAIA-AL,,,AL,,,"4.108,16",,,,,,,,"1.430,42",,,,,,"5.538,58",,,,,,,,"16.175,29",,,,,,,,
JOAQUIM GOMES-AL,,,AL,,,"830,08",,,,,,,,-,,,,,,"830,08",,,,,,,,"3.357,21",,,,,,,,
JUNDIA-AL,,,AL,,,"638,52",,,,,,,,-,,,,,,"638,52",,,,,,,,"2.582,46",,,,,,,,
JUNQUEIRO-AL,,,AL,,,"830,08",,,,,,,,-,,,,,,"830,08",,,,,,,,"3.357,21",,,,,,,,
MACEIO-AL,,,AL,,,"77.953,66",,,,,,,,"17.375,95",,,,,,"95.329,61",,,,,,,,"410.772,64",,,,,,,,
MARAGOGI-AL,,,AL,,,"830,08",,,,,,,,-,,,,,,"830,08",,,,,,,,"3.357,21",,,,,,,,
MARECHAL DEODORO-AL,,,AL,,,"129.245,26",,,,,,,,"105.401,47",,,,,,"234.646,73",,,,,,,,"1.017.997,43",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,AL,,,"862,01",,,,,,,,-,,,,,,"862,01",,,,,,,,"3.486,34",,,,,,,,
MESSIAS-AL,,,AL,,,"670,45",,,,,,,,-,,,,,,"670,45",,,,,,,,"2.711,59",,,,,,,,
MURICI-AL,,,AL,,,"862,01",,,,,,,,-,,,,,,"862,01",,,,,,,,"3.486,34",,,,,,,,
NOVO LINO-AL,,,AL,,,"670,45",,,,,,,,-,,,,,,"670,45",,,,,,,,"2.711,59",,,,,,,,
PARIPUEIRA-AL,,,AL,,,"638,52",,,,,,,,"8.546,74",,,,,,"9.185,26",,,,,,,,"38.425,57",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,AL,,,"702,38",,,,,,,,-,,,,,,"702,38",,,,,,,,"2.840,71",,,,,,,,
PENEDO-AL,,,AL,,,"1.053,57",,,,,,,,-,,,,,,"1.053,57",,,,,,,,"4.261,09",,,,,,,,
PIACABUCU-AL,,,AL,,,"766,23",,,,,,,,-,,,,,,"766,23",,,,,,,,"3.098,96",,,,,,,,
PILAR-AL,,,AL,,,"222.631,71",,,,,,,,"143.020,86",,,,,,"365.652,57",,,,,,,,"1.440.874,95",,,,,,,,
PINDOBA-AL,,,AL,,,"638,52",,,,,,,,-,,,,,,"638,52",,,,,,,,"2.582,46",,,,,,,,
PORTO CALVO-AL,,,AL,,,"830,08",,,,,,,,-,,,,,,"830,08",,,,,,,,"3.357,21",,,,,,,,
PORTO DE PEDRAS-AL,,,AL,,,"670,45",,,,,,,,-,,,,,,"670,45",,,,,,,,"2.711,59",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,AL,,,"798,16",,,,,,,,-,,,,,,"798,16",,,,,,,,"3.228,09",,,,,,,,
RIO LARGO-AL,,,AL,,,"8.347,92",,,,,,,,"4.704,85",,,,,,"13.052,77",,,,,,,,"61.511,44",,,,,,,,
ROTEIRO-AL,,,AL,,,"1.140,91",,,,,,,,"324,04",,,,,,"1.464,95",,,,,,,,"6.378,43",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,AL,,,"638,52",,,,,,,,-,,,,,,"638,52",,,,,,,,"2.582,46",,,,,,,,
SANTANA DO MUNDAU-AL,,,AL,,,"670,45",,,,,,,,-,,,,,,"670,45",,,,,,,,"2.711,59",,,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,"830,08",,,,,,,,-,,,,,,"830,08",,,,,,,,"3.357,21",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,"893,94",,,,,,,,-,,,,,,"893,94",,,,,,,,"3.615,46",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,"281.714,22",,,,,,,,"172.951,90",,,,,,"454.666,12",,,,,,,,"1.942.976,21",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,"638,52",,,,,,,,-,,,,,,"638,52",,,,,,,,"2.582,46",,,,,,,,
SATUBA-AL,,,AL,,,"29.075,44",,,,,,,,"18.300,62",,,,,,"47.376,06",,,,,,,,"142.715,25",,,,,,,,
"TEOTONIO VILELA-AL
UNIAO DOS PALMARES-AL",,,"AL
AL",,,"957,79
1.053,57",,,,,,,,"-
-",,,,,,"957,79
1.053,57",,,,,,,,"3.873,72
4.261,09",,,,,,,,
VICOSA-AL,,,AL,,,"862,01",,,,,,,,-,,,,,,"862,01",,,,,,,,"3.486,34",,,,,,,,
ALAGOAS TOTAL,,,,,,"1.736.308,28",,,,,,,,"570.306,33",,,,,,"2.306.614,61",,,,,,,,"9.399.190,48",,,,,,,,
ANAMA-AM,,,AM,,,-,,,,,,,,"1.948,49",,,,,,"1.948,49",,,,,,,,"8.157,56",,,,,,,,
ANORI-AM,,,AM,,,-,,,,,,,,"1.948,49",,,,,,"1.948,49",,,,,,,,"8.157,56",,,,,,,,
AUTAZES-AM,,,AM,,,-,,,,,,,,"5.910,28",,,,,,"5.910,28",,,,,,,,"22.874,79",,,,,,,,
BERURI-AM,,,AM,,,-,,,,,,,,"1.948,49",,,,,,"1.948,49",,,,,,,,"8.157,56",,,,,,,,
CAREIRO DA VARZEA-AM,,,AM,,,-,,,,,,,,"5.910,28",,,,,,"5.910,28",,,,,,,,"22.874,79",,,,,,,,
CAREIRO-AM,,,AM,,,-,,,,,,,,"1.948,49",,,,,,"1.948,49",,,,,,,,"8.157,56",,,,,,,,
