ANADIA-AL,,,,,,,,AL,,,"426,12",,,,,,,-,,,,,,,,"426,12",,,,,,,"1.815,29",,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,"550,41",,,,,,,-,,,,,,,,"550,41",,,,,,,"2.344,76",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,"408,36",,,,,,,-,,,,,,,,"408,36",,,,,,,"1.739,64",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,"355,10",,,,,,,-,,,,,,,,"355,10",,,,,,,"1.512,74",,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,"479,39",,,,,,,-,,,,,,,,"479,39",,,,,,,"2.042,20",,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,"372,85",,,,,,,-,,,,,,,,"372,85",,,,,,,"1.588,36",,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,"461,63",,,,,,,-,,,,,,,,"461,63",,,,,,,"1.966,56",,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,"355,10",,,,,,,-,,,,,,,,"355,10",,,,,,,"1.512,74",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,"568,16",,,,,,,-,,,,,,,,"568,16",,,,,,,"2.420,39",,,,,,,,,
CAPELA-AL,,,,,,,,AL,,,"426,12",,,,,,,-,,,,,,,,"426,12",,,,,,,"1.815,29",,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,"355,10",,,,,,,-,,,,,,,,"355,10",,,,,,,"1.512,74",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,"461,63",,,,,,,-,,,,,,,,"461,63",,,,,,,"1.966,56",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,"64.045,17",,,,,,,"173,87",,,,,,,,"64.219,04",,,,,,,"264.294,04",,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,"1.209.889,87",,,,,,,"39.661,41",,,,,,,,"1.249.551,28",,,,,,,"5.238.686,64",,,,,,,,,
