ANADIA-AL,AL, 200.92 , -   , 200.92 ," 1,366.65 "
ATALAIA-AL,AL, 259.52 , -   , 259.52 ," 1,765.25 "
BARRA DE SANTO ANTONIO-AL,AL, 192.55 , -   , 192.55 ," 1,309.70 "
BARRA DE SAO MIGUEL-AL,AL, 167.43 , -   , 167.43 ," 1,138.86 "
BOCA DA MATA-AL,AL, 226.04 , -   , 226.04 ," 1,537.49 "
BRANQUINHA-AL,AL, 175.81 , -   , 175.81 ," 1,195.81 "
CAJUEIRO-AL,AL, 217.67 , -   , 217.67 ," 1,480.53 "
CAMPESTRE-AL,AL, 167.43 , -   , 167.43 ," 1,138.86 "
CAMPO ALEGRE-AL,AL, 267.90 , -   , 267.90 ," 1,822.19 "
CAPELA-AL,AL, 200.92 , -   , 200.92 ," 1,366.65 "
CHA PRETA-AL,AL, 167.43 , -   , 167.43 ," 1,138.86 "
COLONIA LEOPOLDINA-AL,AL, 217.67 , -   , 217.67 ," 1,480.53 "
COQUEIRO SECO-AL,AL," 539,129.37 ", 112.18 ," 539,241.55 "," 2,507,842.42 "
CORURIPE-AL,AL," 328,392.40 "," 22,836.09 "," 351,228.49 "," 1,840,604.32 "
FELIZ DESERTO-AL,AL," 6,056.77 "," 8,464.34 "," 14,521.11 "," 98,769.76 "
FLEXEIRAS-AL,AL, 184.18 , -   , 184.18 ," 1,252.76 "
IBATEGUARA-AL,AL, 192.55 , -   , 192.55 ," 1,309.70 "
IGREJA NOVA-AL,AL, 217.67 , -   , 217.67 ," 1,480.53 "
JACUIPE-AL,AL, 167.43 , -   , 167.43 ," 1,138.86 "
JAPARATINGA-AL,AL, 167.43 , -   , 167.43 ," 1,138.86 "
JEQUIA DA PRAIA-AL,AL, 184.18 , -   , 184.18 ," 1,252.76 "
JOAQUIM GOMES-AL,AL, 217.67 , -   , 217.67 ," 1,480.53 "
JUNDIA-AL,AL, 167.43 , -   , 167.43 ," 1,138.86 "
JUNQUEIRO-AL,AL, 217.67 , -   , 217.67 ," 1,480.53 "
MACEIO-AL,AL," 550,264.41 "," 12,760.23 "," 563,024.64 "," 2,617,995.11 "
MARAGOGI-AL,AL, 234.41 , -   , 234.41 ," 1,594.42 "
MARECHAL DEODORO-AL,AL," 901,684.97 "," 18,899.82 "," 920,584.79 "," 3,759,451.68 "
MATRIZ DE CAMARAGIBE-AL,AL, 217.67 , -   , 217.67 ," 1,480.53 "
MESSIAS-AL,AL, 192.55 , -   , 192.55 ," 1,309.70 "
MURICI-AL,AL, 226.04 , -   , 226.04 ," 1,537.49 "
NOVO LINO-AL,AL, 184.18 , -   , 184.18 ," 1,252.76 "
PARIPUEIRA-AL,AL," 538,990.77 "," 3,007.34 "," 541,998.11 "," 2,528,411.08 "
PASSO DE CAMARAGIBE-AL,AL, 192.55 , -   , 192.55 ," 1,309.70 "
PENEDO-AL,AL," 132,733.30 ", 67.87 ," 132,801.17 "," 848,378.48 "
PIACABUCU-AL,AL, 200.92 , -   , 200.92 ," 1,366.65 "
PILAR-AL,AL," 634,574.15 "," 82,358.48 "," 716,932.63 "," 3,472,238.57 "
PINDOBA-AL,AL, 167.43 , -   , 167.43 ," 1,138.86 "
PORTO CALVO-AL,AL, 226.04 , -   , 226.04 ," 1,537.49 "
PORTO DE PEDRAS-AL,AL, 167.43 , -   , 167.43 ," 1,138.86 "
PORTO REAL DO COLEGIO-AL,AL, 209.29 , -   , 209.29 ," 1,423.58 "
RIO LARGO-AL,AL," 133,544.20 "," 4,213.76 "," 137,757.96 "," 880,752.97 "
ROTEIRO-AL,AL," 539,452.62 ", 357.31 ," 539,809.93 "," 2,522,710.54 "
SANTA LUZIA DO NORTE-AL,AL, -   , -   , -   , 16.45 
SANTANA DO MUNDAU-AL,AL, 175.81 , -   , 175.81 ," 1,195.81 "
SAO JOSE DA LAJE-AL,AL, 217.67 , -   , 217.67 ," 1,480.53 "
SAO LUIS DO QUITUNDE-AL,AL, 242.78 , -   , 242.78 ," 1,651.36 "
SAO MIGUEL DOS CAMPOS-AL,AL," 675,213.95 "," 120,136.71 "," 795,350.66 "," 3,631,264.68 "
SAO MIGUEL DOS MILAGRES-AL,AL, 167.43 , -   , 167.43 ," 1,138.86 "
SATUBA-AL,AL," 8,532.73 "," 5,379.41 "," 13,912.14 "," 73,260.24 "
TEOTONIO VILELA-AL,AL, 259.52 , -   , 259.52 ," 1,765.25 "
UNIAO DOS PALMARES-AL,AL, 276.27 , -   , 276.27 ," 1,879.15 "
VICOSA-AL,AL, 226.04 , -   , 226.04 ," 1,537.49 "
ALAGOAS  TOTAL,," 4,996,531.17 "," 278,593.54 "," 5,275,124.71 "," 24,835,849.56 "
ANAMA-AM,AM," 22,885.33 "," 1,790.60 "," 24,675.93 "," 113,776.43 "
ANORI-AM,AM," 508,341.66 "," 1,901.98 "," 510,243.64 "," 1,180,346.25 "
AUTAZES-AM,AM, -   ," 7,974.52 "," 7,974.52 "," 26,822.33 "
BERURI-AM,AM, -   ," 1,619.83 "," 1,619.83 "," 7,308.23 "
CAAPIRANGA-AM,AM," 132,457.03 ", 141.35 ," 132,598.38 "," 857,857.50 "
CAREIRO DA VARZEA-AM,AM, -   ," 7,974.52 "," 7,974.52 "," 26,822.33 "
CAREIRO-AM,AM, -   ," 1,619.83 "," 1,619.83 "," 7,308.23 "
COARI-AM,AM," 2,462,718.05 "," 1,827,404.43 "," 4,290,122.48 "," 18,198,968.16 "
CODAJAS-AM,AM," 538,938.36 "," 1,619.83 "," 540,558.19 "," 1,211,203.04 "
IRANDUBA-AM,AM, -   ," 7,974.52 "," 7,974.52 "," 26,833.21 "
ITACOATIARA-AM,AM, -   ," 7,974.52 "," 7,974.52 "," 26,822.33 "
ITAPIRANGA-AM,AM, -   ," 7,974.52 "," 7,974.52 "," 26,822.33 "
MANACAPURU-AM,AM," 485,456.33 "," 1,619.83 "," 487,076.16 "," 1,076,796.40 "
MANAQUIRI-AM,AM, -   ," 1,619.83 "," 1,619.83 "," 7,308.23 "
MANAUS-AM,AM, -   ," 115,649.96 "," 115,649.96 "," 679,781.26 "
