ANADIA-AL,,,,AL,,,,,"383,59",,,,,,,-,,,,,"383,58",,,,,,"2.894,09",,,,,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"479,48",,,,,,,-,,,,,"479,48",,,,,,"3.617,62",,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"319,66",,,,,,,-,,,,,"319,65",,,,,,"2.411,73",,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"319,66",,,,,,,-,,,,,"319,65",,,,,,"2.411,73",,,,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"415,55",,,,,,,-,,,,,"415,55",,,,,,"3.135,27",,,,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"319,66",,,,,,,-,,,,,"319,65",,,,,,"2.411,73",,,,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"383,59",,,,,,,-,,,,,"383,58",,,,,,"2.894,09",,,,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"319,66",,,,,,,-,,,,,"319,65",,,,,,"2.411,73",,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"479,48",,,,,,,-,,,,,"479,48",,,,,,"3.617,62",,,,,,,,,,,,
CAPELA-AL,,,,AL,,,,,"415,55",,,,,,,-,,,,,"415,55",,,,,,"3.135,27",,,,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"319,66",,,,,,,-,,,,,"319,65",,,,,,"2.411,73",,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"383,59",,,,,,,-,,,,,"383,58",,,,,,"2.894,09",,,,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"319,66",,,,,,,-,,,,,"319,65",,,,,,"35.712,10",,,,,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"38.306,18",,,,,,,"16.191,20",,,,,"54.497,36",,,,,,"399.556,44",,,,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"11.263,15",,,,,,,"15.436,50",,,,,"26.699,65",,,,,,"201.458,59",,,,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"351,62",,,,,,,-,,,,,"351,62",,,,,,"2.652,91",,,,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"367,60",,,,,,,-,,,,,"367,60",,,,,,"2.773,49",,,,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,,"399,57",,,,,,,-,,,,,"399,56",,,,,,"3.014,67",,,,,,,,,,,,
JACUIPE-AL,,,,AL,,,,,"319,66",,,,,,,-,,,,,"319,65",,,,,,"2.411,73",,,,,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,,"319,66",,,,,,,-,,,,,"319,65",,,,,,"2.411,73",,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,,"399,57",,,,,,,-,,,,,"399,56",,,,,,"3.014,67",,,,,,,,,,,,
JUNDIA-AL,,,,AL,,,,,"319,66",,,,,,,-,,,,,"319,65",,,,,,"2.411,73",,,,,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,,"415,55",,,,,,,-,,,,,"415,55",,,,,,"3.135,27",,,,,,,,,,,,
MACEIO-AL,,,,AL,,,,,"23.761,80",,,,,,,"12.422,40",,,,,"36.184,18",,,,,,"309.833,09",,,,,,,,,,,,
MARAGOGI-AL,,,,AL,,,,,"383,59",,,,,,,-,,,,,"383,58",,,,,,"2.894,09",,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,,"48.900,06",,,,,,,"25.380,34",,,,,"74.280,39",,,,,,"483.801,99",,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,,"415,55",,,,,,,-,,,,,"415,55",,,,,,"3.135,27",,,,,,,,,,,,
MESSIAS-AL,,,,AL,,,,,"335,64",,,,,,,-,,,,,"335,63",,,,,,"2.532,32",,,,,,,,,,,,
MURICI-AL,,,,AL,,,,,"415,55",,,,,,,-,,,,,"415,55",,,,,,"3.135,27",,,,,,,,,,,,
NOVO LINO-AL,,,,AL,,,,,"335,64",,,,,,,-,,,,,"335,63",,,,,,"2.532,32",,,,,,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,,"319,66",,,,,,,-,,,,,"319,65",,,,,,"2.411,73",,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,,"351,62",,,,,,,-,,,,,"351,62",,,,,,"2.652,91",,,,,,,,,,,,
PENEDO-AL,,,,AL,,,,,"511,45",,,,,,,-,,,,,"511,44",,,,,,"3.858,80",,,,,,,,,,,,
PIACABUCU-AL,,,,AL,,,,,"367,60",,,,,,,-,,,,,"367,60",,,,,,"2.773,49",,,,,,,,,,,,
PILAR-AL,,,,AL,,,,,"82.729,07",,,,,,,"40.417,48",,,,,"123.146,53",,,,,,"836.826,65",,,,,,,,,,,,
PINDOBA-AL,,,,AL,,,,,"319,66",,,,,,,-,,,,,"319,65",,,,,,"2.411,73",,,,,,,,,,,,
PORTO CALVO-AL,,,,AL,,,,,"431,53",,,,,,,-,,,,,"431,53",,,,,,"3.255,86",,,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,,,"335,64",,,,,,,-,,,,,"335,63",,,,,,"2.532,32",,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,,,"383,59",,,,,,,-,,,,,"383,58",,,,,,"2.894,09",,,,,,,,,,,,
RIO LARGO-AL,,,,AL,,,,,"527,43",,,,,,,-,,,,,"527,43",,,,,,"3.979,39",,,,,,,,,,,,
ROTEIRO-AL,,,,AL,,,,,"601,36",,,,,,,"181,70",,,,,"783,05",,,,,,"5.801,80",,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,,,"19.997,49",,,,,,,-,,,,,"19.997,48",,,,,,"140.004,45",,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,,,"351,62",,,,,,,-,,,,,"351,62",,,,,,"2.652,91",,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,,,"415,55",,,,,,,-,,,,,"415,55",,,,,,"3.135,27",,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,,,"447,52",,,,,,,-,,,,,"447,51",,,,,,"3.376,43",,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,,,"51.936,14",,,,,,,"17.037,21",,,,,"68.973,32",,,,,,"516.959,62",,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,,,"319,66",,,,,,,-,,,,,"319,65",,,,,,"2.411,73",,,,,,,,,,,,
SATUBA-AL,,,,AL,,,,,"5.307,27",,,,,,,"3.196,80",,,,,"8.504,05",,,,,,"73.189,81",,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,,,"463,50",,,,,,,-,,,,,"463,50",,,,,,"3.497,03",,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,,,"511,45",,,,,,,-,,,,,"511,44",,,,,,"3.858,80",,,,,,,,,,,,
VICOSA-AL,,,,AL,,,,,"431,53",,,,,,,-,,,,,"431,53",,,,,,"3.255,86",,,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,,,-,,,,,,,"29.192,14",,,,,"29.192,14",,,,,,"214.866,09",,,,,,,,,,,,
COARI-AM,,,,AM,,,,,"792.033,48",,,,,,,"694.517,99",,,,,"1.486.551,45",,,,,,"9.589.343,38",,,,,,,,,,,,
IRANDUBA-AM,,,,AM,,,,,-,,,,,,,"29.192,14",,,,,"29.192,14",,,,,,"214.866,09",,,,,,,,,,,,
MANAUS-AM,,,,AM,,,,,"19.677,84",,,,,,,"6.107,76",,,,,"25.785,58",,,,,,"386.521,85",,,,,,,,,,,,
ACAJUTIBA-BA,,,,BA,,,,,"34,36",,,,,,,-,,,,,"34,35",,,,,,"223,35",,,,,,,,,,,,
ADUSTINA-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
AGUA FRIA-BA,,,,BA,,,,,"35,92",,,,,,,-,,,,,"35,91",,,,,,"233,50",,,,,,,,,,,,
AIQUARA-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
ALAGOINHAS-BA,,,,BA,,,,,"123.589,31",,,,,,,"65.785,99",,,,,"189.375,29",,,,,,"1.331.231,07",,,,,,,,,,,,
AMARGOSA-BA,,,,BA,,,,,"43,73",,,,,,,-,,,,,"43,72",,,,,,"284,30",,,,,,,,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,,,"40,60",,,,,,,-,,,,,"40,60",,,,,,"263,99",,,,,,,,,,,,
ANAGE-BA,,,,BA,,,,,"48,41",,,,,,,-,,,,,"48,41",,,,,,"314,74",,,,,,,,,,,,
ANGUERA-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
ANTAS-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
APORA-BA,,,,BA,,,,,"35,92",,,,,,,-,,,,,"35,91",,,,,,"233,50",,,,,,,,,,,,
APUAREMA-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
ARACAS-BA,,,,BA,,,,,"46.648,57",,,,,,,"16.420,11",,,,,"63.068,67",,,,,,"430.144,81",,,,,,,,,,,,
