ANADIA-AL,,,,,AL,,,,,"722,51",,,,,,-,,,,,"722,51",,,,,"6.007,39",,,,,,,,,,
ATALAIA-AL,,,,,AL,,,,,"933,25",,,,,,-,,,,,"933,25",,,,,"7.759,56",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,,"632,20",,,,,,-,,,,,"632,20",,,,,"5.256,48",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,,"602,09",,,,,,-,,,,,"602,09",,,,,"5.006,15",,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,,"812,83",,,,,,-,,,,,"812,83",,,,,"6.758,33",,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,,"632,20",,,,,,-,,,,,"632,20",,,,,"5.256,48",,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,,"752,62",,,,,,-,,,,,"752,62",,,,,"6.257,73",,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,,"602,09",,,,,,-,,,,,"602,09",,,,,"5.006,15",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,,"933,25",,,,,,-,,,,,"933,25",,,,,"7.759,56",,,,,,,,,,
CAPELA-AL,,,,,AL,,,,,"752,62",,,,,,-,,,,,"752,62",,,,,"6.257,73",,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,,"602,09",,,,,,-,,,,,"602,09",,,,,"5.006,15",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,,"722,51",,,,,,-,,,,,"722,51",,,,,"6.007,39",,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,,"1.571,16",,,,,,"625,05",,,,,"2.196,21",,,,,"17.443,68",,,,,,,,,,
CORURIPE-AL,,,,,AL,,,,,"1.021.293,00",,,,,,"62.941,24",,,,,"1.084.234,24",,,,,"8.964.311,50",,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,,"21.852,67",,,,,,"29.951,82",,,,,"51.804,49",,,,,"430.732,25",,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,,"632,20",,,,,,-,,,,,"632,20",,,,,"5.256,48",,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,,"692,41",,,,,,-,,,,,"692,41",,,,,"5.757,09",,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,,"782,72",,,,,,-,,,,,"782,72",,,,,"6.508,01",,,,,,,,,,
JACUIPE-AL,,,,,AL,,,,,"602,09",,,,,,-,,,,,"602,09",,,,,"5.006,15",,,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,,"602,09",,,,,,-,,,,,"602,09",,,,,"5.006,15",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,,"3.232,98",,,,,,"1.079,68",,,,,"4.312,66",,,,,"27.715,36",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,,"782,72",,,,,,-,,,,,"782,72",,,,,"6.508,01",,,,,,,,,,
JUNDIA-AL,,,,,AL,,,,,"602,09",,,,,,-,,,,,"602,09",,,,,"5.006,15",,,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,,"782,72",,,,,,-,,,,,"782,72",,,,,"6.508,01",,,,,,,,,,
MACEIO-AL,,,,,AL,,,,,"86.034,44",,,,,,"17.035,78",,,,,"103.070,22",,,,,"777.084,77",,,,,,,,,,
MARAGOGI-AL,,,,,AL,,,,,"782,72",,,,,,-,,,,,"782,72",,,,,"6.508,01",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,,"138.034,05",,,,,,"107.801,69",,,,,"245.835,74",,,,,"2.054.272,34",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,,"812,83",,,,,,-,,,,,"812,83",,,,,"6.758,33",,,,,,,,,,
MESSIAS-AL,,,,,AL,,,,,"632,20",,,,,,-,,,,,"632,20",,,,,"5.256,48",,,,,,,,,,
MURICI-AL,,,,,AL,,,,,"812,83",,,,,,-,,,,,"812,83",,,,,"6.758,33",,,,,,,,,,
NOVO LINO-AL,,,,,AL,,,,,"632,20",,,,,,-,,,,,"632,20",,,,,"5.256,48",,,,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,,"602,09",,,,,,"8.147,93",,,,,"8.750,02",,,,,"64.738,78",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,,"662,30",,,,,,-,,,,,"662,30",,,,,"5.506,79",,,,,,,,,,
PENEDO-AL,,,,,AL,,,,,"993,46",,,,,,-,,,,,"993,46",,,,,"8.260,19",,,,,,,,,,
PIACABUCU-AL,,,,,AL,,,,,"722,51",,,,,,-,,,,,"722,51",,,,,"6.007,39",,,,,,,,,,
PILAR-AL,,,,,AL,,,,,"196.654,63",,,,,,"126.298,54",,,,,"322.953,17",,,,,"2.679.412,12",,,,,,,,,,
PINDOBA-AL,,,,,AL,,,,,"602,09",,,,,,-,,,,,"602,09",,,,,"5.006,15",,,,,,,,,,
PORTO CALVO-AL,,,,,AL,,,,,"782,72",,,,,,-,,,,,"782,72",,,,,"6.508,01",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,,"632,20",,,,,,-,,,,,"632,20",,,,,"5.256,48",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,,"752,62",,,,,,-,,,,,"752,62",,,,,"6.257,73",,,,,,,,,,
RIO LARGO-AL,,,,,AL,,,,,"10.605,54",,,,,,"6.199,79",,,,,"16.805,33",,,,,"155.386,96",,,,,,,,,,
ROTEIRO-AL,,,,,AL,,,,,"602,09",,,,,,-,,,,,"602,09",,,,,"6.466,69",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,,"602,09",,,,,,-,,,,,"602,09",,,,,"5.006,15",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,,"632,20",,,,,,-,,,,,"632,20",,,,,"5.256,48",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,,"782,72",,,,,,-,,,,,"782,72",,,,,"6.508,01",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,,"842,93",,,,,,-,,,,,"842,93",,,,,"7.008,64",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,,"218.277,20",,,,,,"125.868,97",,,,,"344.146,17",,,,,"2.692.284,74",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,,"602,09",,,,,,-,,,,,"602,09",,,,,"5.006,15",,,,,,,,,,
SATUBA-AL,,,,,AL,,,,,"24.296,61",,,,,,"15.244,13",,,,,"39.540,74",,,,,"387.282,99",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,,"903,14",,,,,,-,,,,,"903,14",,,,,"7.509,26",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,,"993,46",,,,,,-,,,,,"993,46",,,,,"8.260,19",,,,,,,,,,
VICOSA-AL,,,,,AL,,,,,"812,83",,,,,,-,,,,,"812,83",,,,,"6.758,33",,,,,,,,,,
