ANADIA-AL,,,,,,,,,AL,,,"614,61",,,,,-,,,,,,,"614,61",,,,,,"4.789,00",,,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,,"793,87",,,,,-,,,,,,,"793,87",,,,,,"6.284,71",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,,"589,00",,,,,-,,,,,,,"589,00",,,,,,"4.490,53",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,,"512,17",,,,,-,,,,,,,"512,17",,,,,,"3.990,83",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,,"691,44",,,,,-,,,,,,,"691,44",,,,,,"5.387,63",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,,"537,78",,,,,-,,,,,,,"537,78",,,,,,"4.190,36",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,,"665,83",,,,,-,,,,,,,"665,83",,,,,,"5.188,09",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,,"512,17",,,,,-,,,,,,,"512,17",,,,,,"3.990,83",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,,"819,48",,,,,-,,,,,,,"819,48",,,,,,"6.286,44",,,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,,"614,61",,,,,-,,,,,,,"614,61",,,,,,"4.789,00",,,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,,"512,17",,,,,-,,,,,,,"512,17",,,,,,"3.990,83",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,,"665,83",,,,,-,,,,,,,"665,83",,,,,,"5.089,18",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,,"76.660,66",,,,,"320,37",,,,,,,"76.981,03",,,,,,"597.541,70",,,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,,"1.683.880,39",,,,,"64.068,93",,,,,,,"1.747.949,32",,,,,,"12.882.675,94",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,,"18.527,11",,,,,"25.891,64",,,,,,,"44.418,75",,,,,,"345.013,30",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,,"563,39",,,,,-,,,,,,,"563,39",,,,,,"4.290,99",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,,"589,00",,,,,-,,,,,,,"589,00",,,,,,"4.589,45",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,,"665,83",,,,,-,,,,,,,"665,83",,,,,,"5.188,09",,,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,,"512,17",,,,,-,,,,,,,"512,17",,,,,,"3.990,83",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,,"512,17",,,,,-,,,,,,,"512,17",,,,,,"3.990,83",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,,"4.498,16",,,,,"1.652,60",,,,,,,"6.150,76",,,,,,"25.854,22",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,,"665,83",,,,,-,,,,,,,"665,83",,,,,,"5.188,09",,,,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,,"512,17",,,,,-,,,,,,,"512,17",,,,,,"3.990,83",,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,,"665,83",,,,,-,,,,,,,"665,83",,,,,,"5.287,01",,,,,,,,,,
MACEIO-AL,,,,,,,,,AL,,,"92.280,14",,,,,"24.643,31",,,,,,,"116.923,45",,,,,,"884.124,19",,,,,,,,,,
MARAGOGI-AL,,,,,,,,,AL,,,"717,05",,,,,-,,,,,,,"717,05",,,,,,"5.488,27",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,AL,,,"125.494,27",,,,,"94.017,44",,,,,,,"219.511,71",,,,,,"1.623.492,16",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,AL,,,"665,83",,,,,-,,,,,,,"665,83",,,,,,"5.287,01",,,,,,,,,,
MESSIAS-AL,,,,,,,,,AL,,,"589,00",,,,,-,,,,,,,"589,00",,,,,,"4.589,45",,,,,,,,,,
MURICI-AL,,,,,,,,,AL,,,"691,44",,,,,-,,,,,,,"691,44",,,,,,"5.387,63",,,,,,,,,,
NOVO LINO-AL,,,,,,,,,AL,,,"563,39",,,,,-,,,,,,,"563,39",,,,,,"4.290,99",,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,,AL,,,"537,78",,,,,"9.727,59",,,,,,,"10.265,37",,,,,,"76.914,70",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,AL,,,"589,00",,,,,-,,,,,,,"589,00",,,,,,"4.490,53",,,,,,,,,,
PENEDO-AL,,,,,,,,,AL,,,"845,09",,,,,-,,,,,,,"845,09",,,,,,"5.698,84",,,,,,,,,,
PIACABUCU-AL,,,,,,,,,AL,,,"614,61",,,,,-,,,,,,,"614,61",,,,,,"4.789,00",,,,,,,,,,
PILAR-AL,,,,,,,,,AL,,,"105.301,82",,,,,"67.440,66",,,,,,,"172.742,48",,,,,,"1.241.047,04",,,,,,,,,,
PINDOBA-AL,,,,,,,,,AL,,,"512,17",,,,,-,,,,,,,"512,17",,,,,,"3.990,83",,,,,,,,,,
PORTO CALVO-AL,,,,,,,,,AL,,,"691,44",,,,,-,,,,,,,"691,44",,,,,,"5.387,63",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,AL,,,"512,17",,,,,-,,,,,,,"512,17",,,,,,"4.089,74",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,AL,,,"640,22",,,,,-,,,,,,,"640,22",,,,,,"4.889,62",,,,,,,,,,
RIO LARGO-AL,,,,,,,,,AL,,,"12.347,14",,,,,"7.402,31",,,,,,,"19.749,45",,,,,,"164.671,32",,,,,,,,,,
ROTEIRO-AL,,,,,,,,,AL,,,"77.379,94",,,,,"916,39",,,,,,,"78.296,33",,,,,,"611.261,49",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,AL,,,"76.693,97",,,,,"349,88",,,,,,,"77.043,85",,,,,,"599.553,17",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,AL,,,"537,78",,,,,-,,,,,,,"537,78",,,,,,"4.190,36",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,AL,,,"665,83",,,,,-,,,,,,,"665,83",,,,,,"5.188,09",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,AL,,,"742,66",,,,,-,,,,,,,"742,66",,,,,,"5.687,79",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,,AL,,,"295.772,35",,,,,"196.368,21",,,,,,,"492.140,56",,,,,,"3.871.591,08",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,,AL,,,"512,17",,,,,-,,,,,,,"512,17",,,,,,"3.990,83",,,,,,,,,,
SATUBA-AL,,,,,,,,,AL,,,"19.535,60",,,,,"12.220,55",,,,,,,"31.756,15",,,,,,"222.801,33",,,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,,AL,,,"793,87",,,,,-,,,,,,,"793,87",,,,,,"6.185,80",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,,AL,,,"845,09",,,,,-,,,,,,,"845,09",,,,,,"6.584,88",,,,,,,,,,
