ANADIA-AL,AL, 402.58 , -   , 402.58 ," 3,002.21 "
ATALAIA-AL,AL, 520.00 , -   , 520.00 ," 3,877.86 "
BARRA DE SANTO ANTONIO-AL,AL, 385.80 , -   , 385.80 ," 2,877.10 "
BARRA DE SAO MIGUEL-AL,AL, 335.48 , -   , 335.48 ," 2,501.84 "
BOCA DA MATA-AL,AL, 452.90 , -   , 452.90 ," 3,377.47 "
BRANQUINHA-AL,AL, 352.25 , -   , 352.25 ," 2,626.93 "
CAJUEIRO-AL,AL, 436.13 , -   , 436.13 ," 3,252.40 "
CAMPESTRE-AL,AL, 335.48 , -   , 335.48 ," 2,501.84 "
CAMPO ALEGRE-AL,AL, 536.77 , -   , 536.77 ," 4,002.95 "
CAPELA-AL,AL, 402.58 , -   , 402.58 ," 3,002.21 "
CHA PRETA-AL,AL, 335.48 , -   , 335.48 ," 2,501.84 "
COLONIA LEOPOLDINA-AL,AL, 436.13 , -   , 436.13 ," 3,252.40 "
COQUEIRO SECO-AL,AL," 678,757.99 ", 118.77 ," 678,876.76 "," 4,320,002.47 "
CORURIPE-AL,AL," 641,407.22 "," 39,483.62 "," 680,890.84 "," 5,372,938.28 "
FELIZ DESERTO-AL,AL," 12,135.52 "," 16,959.39 "," 29,094.91 "," 216,974.76 "
FLEXEIRAS-AL,AL, 369.03 , -   , 369.03 ," 2,752.03 "
IBATEGUARA-AL,AL, 385.80 , -   , 385.80 ," 2,877.10 "
IGREJA NOVA-AL,AL, 436.13 , -   , 436.13 ," 3,252.40 "
JACUIPE-AL,AL, 335.48 , -   , 335.48 ," 2,501.84 "
JAPARATINGA-AL,AL, 335.48 , -   , 335.48 ," 2,501.84 "
JEQUIA DA PRAIA-AL,AL, 369.03 , -   , 369.03 ," 2,752.03 "
JOAQUIM GOMES-AL,AL, 436.13 , -   , 436.13 ," 3,252.40 "
JUNDIA-AL,AL, 335.48 , -   , 335.48 ," 2,501.84 "
JUNQUEIRO-AL,AL, 436.13 , -   , 436.13 ," 3,252.40 "
MACEIO-AL,AL," 692,062.83 "," 21,995.57 "," 714,058.40 "," 3,820,624.80 "
MARAGOGI-AL,AL, 469.67 , -   , 469.67 ," 3,502.58 "
MARECHAL DEODORO-AL,AL," 833,429.92 "," 28,701.12 "," 862,131.04 "," 5,905,463.91 "
MATRIZ DE CAMARAGIBE-AL,AL, 436.13 , -   , 436.13 ," 3,252.40 "
MESSIAS-AL,AL, 385.80 , -   , 385.80 ," 2,877.10 "
MURICI-AL,AL, 452.90 , -   , 452.90 ," 3,377.47 "
NOVO LINO-AL,AL, 369.03 , -   , 369.03 ," 2,752.03 "
