ANADIA-AL,,,,,AL,,,,,"360,65",,,,,,,,-,,,,,,"360,65",,,,,,,,"2.755,16"
ATALAIA-AL,,,,,AL,,,,,"450,81",,,,,,,,-,,,,,,"450,81",,,,,,,,"3.443,96"
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,,"300,54",,,,,,,,-,,,,,,"300,54",,,,,,,,"2.295,98"
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,,"300,54",,,,,,,,-,,,,,,"300,54",,,,,,,,"2.295,98"
BOCA DA MATA-AL,,,,,AL,,,,,"390,70",,,,,,,,-,,,,,,"390,70",,,,,,,,"2.984,76"
BRANQUINHA-AL,,,,,AL,,,,,"300,54",,,,,,,,-,,,,,,"300,54",,,,,,,,"2.295,98"
CAJUEIRO-AL,,,,,AL,,,,,"360,65",,,,,,,,-,,,,,,"360,65",,,,,,,,"2.755,16"
CAMPESTRE-AL,,,,,AL,,,,,"300,54",,,,,,,,-,,,,,,"300,54",,,,,,,,"2.295,98"
CAMPO ALEGRE-AL,,,,,AL,,,,,"450,81",,,,,,,,-,,,,,,"450,81",,,,,,,,"3.443,96"
CAPELA-AL,,,,,AL,,,,,"390,70",,,,,,,,-,,,,,,"390,70",,,,,,,,"2.984,76"
CHA PRETA-AL,,,,,AL,,,,,"300,54",,,,,,,,-,,,,,,"300,54",,,,,,,,"2.295,98"
COLONIA LEOPOLDINA-AL,,,,,AL,,,,,"360,65",,,,,,,,-,,,,,,"360,65",,,,,,,,"2.755,16"
COQUEIRO SECO-AL,,,,,AL,,,,,"15.884,72",,,,,,,,-,,,,,,"15.884,72",,,,,,,,"127.626,92"
CORURIPE-AL,,,,,AL,,,,,"32.972,05",,,,,,,,"15.143,98",,,,,,"48.116,03",,,,,,,,"363.846,53"
FELIZ DESERTO-AL,,,,,AL,,,,,"10.589,79",,,,,,,,"14.516,04",,,,,,"25.105,83",,,,,,,,"191.786,79"
FLEXEIRAS-AL,,,,,AL,,,,,"330,59",,,,,,,,-,,,,,,"330,59",,,,,,,,"2.525,55"
IBATEGUARA-AL,,,,,AL,,,,,"345,62",,,,,,,,-,,,,,,"345,62",,,,,,,,"2.640,35"
IGREJA NOVA-AL,,,,,AL,,,,,"375,68",,,,,,,,-,,,,,,"375,68",,,,,,,,"2.869,96"
