ANADIA-AL,,,,AL,,,,,"465,96",,,,,,,,-,,,,,,"465,96",,,,,,,,"5.338,32",,,,,,,,
ATALAIA-AL,,,,AL,,,,,"601,87",,,,,,,,-,,,,,,"601,87",,,,,,,,"6.732,39",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"407,71",,,,,,,,-,,,,,,"407,71",,,,,,,,"4.507,98",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"388,29",,,,,,,,-,,,,,,"388,29",,,,,,,,"4.448,90",,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"524,20",,,,,,,,-,,,,,,"524,20",,,,,,,,"5.842,41",,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"407,71",,,,,,,,-,,,,,,"407,71",,,,,,,,"4.507,98",,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"485,37",,,,,,,,-,,,,,,"485,37",,,,,,,,"5.397,39",,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"388,29",,,,,,,,-,,,,,,"388,29",,,,,,,,"4.448,90",,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"601,87",,,,,,,,-,,,,,,"601,87",,,,,,,,"6.732,39",,,,,,,,
CAPELA-AL,,,,AL,,,,,"485,37",,,,,,,,-,,,,,,"485,37",,,,,,,,"5.724,27",,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"388,29",,,,,,,,-,,,,,,"388,29",,,,,,,,"4.448,90",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"465,96",,,,,,,,-,,,,,,"465,96",,,,,,,,"5.338,32",,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"388,29",,,,,,,,-,,,,,,"388,29",,,,,,,,"4.448,90",,,,,,,,
CORURIPE-AL,,,,AL,,,,,"44.910,32",,,,,,,,"19.688,73",,,,,,"64.599,05",,,,,,,,"750.294,39",,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"13.833,11",,,,,,,,"19.331,77",,,,,,"33.164,88",,,,,,,,"373.826,62",,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"427,13",,,,,,,,-,,,,,,"427,13",,,,,,,,"4.893,36",,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"446,54",,,,,,,,-,,,,,,"446,54",,,,,,,,"5.116,10",,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,,"504,79",,,,,,,,-,,,,,,"504,79",,,,,,,,"5.620,17",,,,,,,,
JACUIPE-AL,,,,AL,,,,,"388,29",,,,,,,,-,,,,,,"388,29",,,,,,,,"4.448,90",,,,,,,,
JAPARATINGA-AL,,,,AL,,,,,"388,29",,,,,,,,-,,,,,,"388,29",,,,,,,,"4.448,90",,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,,,"427,13",,,,,,,,-,,,,,,"427,13",,,,,,,,"1.299,33",,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,,"504,79",,,,,,,,-,,,,,,"504,79",,,,,,,,"5.620,17",,,,,,,,
JUNDIA-AL,,,,AL,,,,,"388,29",,,,,,,,-,,,,,,"388,29",,,,,,,,"4.448,90",,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,,"504,79",,,,,,,,-,,,,,,"504,79",,,,,,,,"5.783,33",,,,,,,,
MACEIO-AL,,,,AL,,,,,"24.378,74",,,,,,,,"11.485,64",,,,,,"35.864,38",,,,,,,,"483.711,72",,,,,,,,
MARAGOGI-AL,,,,AL,,,,,"504,79",,,,,,,,-,,,,,,"504,79",,,,,,,,"5.456,45",,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,,"66.483,33",,,,,,,,"35.248,61",,,,,,"101.731,94",,,,,,,,"1.052.505,10",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,,"504,79",,,,,,,,-,,,,,,"504,79",,,,,,,,"5.783,33",,,,,,,,
MESSIAS-AL,,,,AL,,,,,"407,71",,,,,,,,-,,,,,,"407,71",,,,,,,,"4.671,14",,,,,,,,
MURICI-AL,,,,AL,,,,,"524,20",,,,,,,,-,,,,,,"524,20",,,,,,,,"5.842,41",,,,,,,,
NOVO LINO-AL,,,,AL,,,,,"407,71",,,,,,,,-,,,,,,"407,71",,,,,,,,"4.671,14",,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,,"388,29",,,,,,,,-,,,,,,"388,29",,,,,,,,"4.448,90",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,,"427,13",,,,,,,,-,,,,,,"427,13",,,,,,,,"4.893,36",,,,,,,,
PENEDO-AL,,,,AL,,,,,"640,69",,,,,,,,-,,,,,,"640,69",,,,,,,,"7.176,81",,,,,,,,
