ANADIA-AL,,,,AL,,,"871,57",,,,,,,,,-,,,,,,"871,57",,,,,,,"9.432,36",,,,,,
ATALAIA-AL,,,,AL,,,"1.125,78",,,,,,,,,-,,,,,,"1.125,78",,,,,,,"12.183,48",,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,"762,62",,,,,,,,,-,,,,,,"762,62",,,,,,,"8.253,32",,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,"726,31",,,,,,,,,-,,,,,,"726,31",,,,,,,"7.860,29",,,,,,
BOCA DA MATA-AL,,,,AL,,,"980,51",,,,,,,,,-,,,,,,"980,51",,,,,,,"10.611,42",,,,,,
BRANQUINHA-AL,,,,AL,,,"762,62",,,,,,,,,-,,,,,,"762,62",,,,,,,"8.253,32",,,,,,
CAJUEIRO-AL,,,,AL,,,"907,88",,,,,,,,,-,,,,,,"907,88",,,,,,,"9.825,41",,,,,,
CAMPESTRE-AL,,,,AL,,,"726,31",,,,,,,,,-,,,,,,"726,31",,,,,,,"7.860,29",,,,,,
CAMPO ALEGRE-AL,,,,AL,,,"1.125,78",,,,,,,,,-,,,,,,"1.125,78",,,,,,,"12.183,48",,,,,,
CAPELA-AL,,,,AL,,,"907,88",,,,,,,,,-,,,,,,"907,88",,,,,,,"9.825,41",,,,,,
CHA PRETA-AL,,,,AL,,,"726,31",,,,,,,,,-,,,,,,"726,31",,,,,,,"7.860,29",,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,"871,57",,,,,,,,,-,,,,,,"871,57",,,,,,,"9.432,36",,,,,,
COQUEIRO SECO-AL,,,,AL,,,"1.253,86",,,,,,,,,"340,27",,,,,,"1.594,13",,,,,,,"25.556,57",,,,,,
CORURIPE-AL,,,,AL,,,"1.133.502,78",,,,,,,,,"74.125,74",,,,,,"1.207.628,52",,,,,,,"14.407.015,61",,,,,,
FELIZ DESERTO-AL,,,,AL,,,"26.360,81",,,,,,,,,"36.130,79",,,,,,"62.491,60",,,,,,,"676.302,95",,,,,,
FLEXEIRAS-AL,,,,AL,,,"762,62",,,,,,,,,-,,,,,,"762,62",,,,,,,"8.253,32",,,,,,
IBATEGUARA-AL,,,,AL,,,"835,25",,,,,,,,,-,,,,,,"835,25",,,,,,,"9.039,35",,,,,,
IGREJA NOVA-AL,,,,AL,,,"944,20",,,,,,,,,-,,,,,,"944,20",,,,,,,"10.218,39",,,,,,
JACUIPE-AL,,,,AL,,,"726,31",,,,,,,,,-,,,,,,"726,31",,,,,,,"7.860,29",,,,,,
JAPARATINGA-AL,,,,AL,,,"726,31",,,,,,,,,-,,,,,,"726,31",,,,,,,"7.860,29",,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,"1.033,66",,,,,,,,,"98,58",,,,,,"1.132,24",,,,,,,"47.674,01",,,,,,
JOAQUIM GOMES-AL,,,,AL,,,"944,20",,,,,,,,,-,,,,,,"944,20",,,,,,,"10.218,39",,,,,,
JUNDIA-AL,,,,AL,,,"726,31",,,,,,,,,-,,,,,,"726,31",,,,,,,"7.860,29",,,,,,
JUNQUEIRO-AL,,,,AL,,,"944,20",,,,,,,,,-,,,,,,"944,20",,,,,,,"10.218,39",,,,,,
MACEIO-AL,,,,AL,,,"90.532,21",,,,,,,,,"17.585,28",,,,,,"108.117,49",,,,,,,"1.233.779,00",,,,,,
MARAGOGI-AL,,,,AL,,,"944,20",,,,,,,,,-,,,,,,"944,20",,,,,,,"10.218,39",,,,,,
MARECHAL DEODORO-AL,,,,AL,,,"142.443,39",,,,,,,,,"107.699,54",,,,,,"250.142,93",,,,,,,"3.115.152,52",,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,"980,51",,,,,,,,,-,,,,,,"980,51",,,,,,,"10.611,42",,,,,,
MESSIAS-AL,,,,AL,,,"762,62",,,,,,,,,-,,,,,,"762,62",,,,,,,"8.253,32",,,,,,
MURICI-AL,,,,AL,,,"980,51",,,,,,,,,-,,,,,,"980,51",,,,,,,"10.611,42",,,,,,
NOVO LINO-AL,,,,AL,,,"762,62",,,,,,,,,-,,,,,,"762,62",,,,,,,"8.253,32",,,,,,
PARIPUEIRA-AL,,,,AL,,,"726,31",,,,,,,,,"8.059,90",,,,,,"8.786,21",,,,,,,"102.248,00",,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,"798,94",,,,,,,,,-,,,,,,"798,94",,,,,,,"8.646,35",,,,,,
PENEDO-AL,,,,AL,,,"1.198,41",,,,,,,,,-,,,,,,"1.198,41",,,,,,,"12.969,53",,,,,,
PIACABUCU-AL,,,,AL,,,"871,57",,,,,,,,,-,,,,,,"871,57",,,,,,,"9.432,36",,,,,,
PILAR-AL,,,,AL,,,"214.300,56",,,,,,,,,"137.568,00",,,,,,"351.868,56",,,,,,,"4.050.416,31",,,,,,
PINDOBA-AL,,,,AL,,,"726,31",,,,,,,,,-,,,,,,"726,31",,,,,,,"7.860,29",,,,,,
PORTO CALVO-AL,,,,AL,,,"944,20",,,,,,,,,-,,,,,,"944,20",,,,,,,"10.218,39",,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,"762,62",,,,,,,,,-,,,,,,"762,62",,,,,,,"8.253,32",,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,"907,88",,,,,,,,,-,,,,,,"907,88",,,,,,,"9.825,41",,,,,,
RIO LARGO-AL,,,,AL,,,"11.702,87",,,,,,,,,"6.775,37",,,,,,"18.478,24",,,,,,,"228.083,94",,,,,,
ROTEIRO-AL,,,,AL,,,"1.402,26",,,,,,,,,"435,99",,,,,,"1.838,25",,,,,,,"11.033,08",,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,"726,31",,,,,,,,,-,,,,,,"726,31",,,,,,,"7.860,29",,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,"762,62",,,,,,,,,-,,,,,,"762,62",,,,,,,"8.253,32",,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,"944,20",,,,,,,,,-,,,,,,"944,20",,,,,,,"10.218,39",,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,"1.016,83",,,,,,,,,-,,,,,,"1.016,83",,,,,,,"11.004,44",,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,"293.599,13",,,,,,,,,"175.291,77",,,,,,"468.890,90",,,,,,,"4.427.422,95",,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,"726,31",,,,,,,,,-,,,,,,"726,31",,,,,,,"7.860,29",,,,,,
SATUBA-AL,,,,AL,,,"23.999,88",,,,,,,,,"14.964,61",,,,,,"38.964,49",,,,,,,"560.640,69",,,,,,
TEOTONIO VILELA-AL,,,,AL,,,"1.089,46",,,,,,,,,-,,,,,,"1.089,46",,,,,,,"11.790,47",,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,"1.198,41",,,,,,,,,-,,,,,,"1.198,41",,,,,,,"12.969,53",,,,,,
VICOSA-AL,,,,AL,,,"980,51",,,,,,,,,-,,,,,,"980,51",,,,,,,"10.611,42",,,,,,
ALAGOAS TOTAL,,,,,,,"1.976.047,30",,,,,,,,,"579.075,84",,,,,,"2.555.123,14",,,,,,,"29.266.157,44",,,,,,
ANAMA-AM,,,,AM,,,-,,,,,,,,,"2.424,92",,,,,,"2.424,92",,,,,,,"27.619,01",,,,,,
ANORI-AM,,,,AM,,,-,,,,,,,,,"2.424,92",,,,,,"2.424,92",,,,,,,"27.619,01",,,,,,
AUTAZES-AM,,,,AM,,,-,,,,,,,,,"6.382,78",,,,,,"6.382,78",,,,,,,"70.868,84",,,,,,
BERURI-AM,,,,AM,,,-,,,,,,,,,"2.424,92",,,,,,"2.424,92",,,,,,,"27.619,01",,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,-,,,,,,,,,"6.382,78",,,,,,"6.382,78",,,,,,,"70.868,84",,,,,,
CAREIRO-AM,,,,AM,,,-,,,,,,,,,"2.424,92",,,,,,"2.424,92",,,,,,,"27.619,01",,,,,,
COARI-AM,,,,AM,,,"2.013.384,78",,,,,,,,,"1.870.090,50",,,,,,"3.883.475,28",,,,,,,"46.608.715,17",,,,,,
CODAJAS-AM,,,,AM,,,-,,,,,,,,,"2.424,92",,,,,,"2.424,92",,,,,,,"27.619,01",,,,,,
IRANDUBA-AM,,,,AM,,,-,,,,,,,,,"6.382,78",,,,,,"6.382,78",,,,,,,"70.868,84",,,,,,
