ANADIA-AL,,,,,AL,,,,,"856,65",,,,,,,-,,,,,,,"856,65",,,,,,,"9.547,34",,,,,,,
ATALAIA-AL,,,,,AL,,,,,"1.106,51",,,,,,,-,,,,,,,"1.106,51",,,,,,,"12.332,03",,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,,"749,57",,,,,,,-,,,,,,,"749,57",,,,,,,"8.353,93",,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,,"713,88",,,,,,,-,,,,,,,"713,88",,,,,,,"7.956,12",,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,,"963,74",,,,,,,-,,,,,,,"963,74",,,,,,,"10.740,81",,,,,,,
BRANQUINHA-AL,,,,,AL,,,,,"749,57",,,,,,,-,,,,,,,"749,57",,,,,,,"8.353,93",,,,,,,
CAJUEIRO-AL,,,,,AL,,,,,"892,35",,,,,,,-,,,,,,,"892,35",,,,,,,"9.945,18",,,,,,,
CAMPESTRE-AL,,,,,AL,,,,,"713,88",,,,,,,-,,,,,,,"713,88",,,,,,,"7.956,12",,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,,"1.106,51",,,,,,,-,,,,,,,"1.106,51",,,,,,,"12.332,03",,,,,,,
CAPELA-AL,,,,,AL,,,,,"892,35",,,,,,,-,,,,,,,"892,35",,,,,,,"9.945,18",,,,,,,
CHA PRETA-AL,,,,,AL,,,,,"713,88",,,,,,,-,,,,,,,"713,88",,,,,,,"7.956,12",,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,,"856,65",,,,,,,-,,,,,,,"856,65",,,,,,,"9.547,34",,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,,"964,92",,,,,,,"161,92",,,,,,,"1.126,84",,,,,,,"12.983,00",,,,,,,
CORURIPE-AL,,,,,AL,,,,,"954.055,44",,,,,,,"69.429,66",,,,,,,"1.023.485,10",,,,,,,"13.674.860,89",,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,,"25.909,71",,,,,,,"35.512,50",,,,,,,"61.422,21",,,,,,,"684.547,97",,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,,"749,57",,,,,,,-,,,,,,,"749,57",,,,,,,"8.353,93",,,,,,,
IBATEGUARA-AL,,,,,AL,,,,,"820,96",,,,,,,-,,,,,,,"820,96",,,,,,,"9.149,55",,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,,"928,04",,,,,,,-,,,,,,,"928,04",,,,,,,"10.342,98",,,,,,,
JACUIPE-AL,,,,,AL,,,,,"713,88",,,,,,,-,,,,,,,"713,88",,,,,,,"7.956,12",,,,,,,
JAPARATINGA-AL,,,,,AL,,,,,"713,88",,,,,,,-,,,,,,,"713,88",,,,,,,"7.956,12",,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,,"785,27",,,,,,,-,,,,,,,"785,27",,,,,,,"28.423,26",,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,,"928,04",,,,,,,-,,,,,,,"928,04",,,,,,,"10.342,98",,,,,,,
JUNDIA-AL,,,,,AL,,,,,"713,88",,,,,,,-,,,,,,,"713,88",,,,,,,"7.956,12",,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,,"928,04",,,,,,,-,,,,,,,"928,04",,,,,,,"10.342,98",,,,,,,
MACEIO-AL,,,,,AL,,,,,"82.198,19",,,,,,,"21.267,76",,,,,,,"103.465,95",,,,,,,"1.293.924,79",,,,,,,
MARAGOGI-AL,,,,,AL,,,,,"928,04",,,,,,,-,,,,,,,"928,04",,,,,,,"10.342,98",,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,,"119.528,18",,,,,,,"102.802,20",,,,,,,"222.330,38",,,,,,,"3.024.310,21",,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,,"963,74",,,,,,,-,,,,,,,"963,74",,,,,,,"10.740,81",,,,,,,
MESSIAS-AL,,,,,AL,,,,,"749,57",,,,,,,-,,,,,,,"749,57",,,,,,,"8.353,93",,,,,,,
MURICI-AL,,,,,AL,,,,,"963,74",,,,,,,-,,,,,,,"963,74",,,,,,,"10.740,81",,,,,,,
NOVO LINO-AL,,,,,AL,,,,,"749,57",,,,,,,-,,,,,,,"749,57",,,,,,,"8.353,93",,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,,"713,88",,,,,,,"11.328,55",,,,,,,"12.042,43",,,,,,,"127.926,15",,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,,"785,27",,,,,,,-,,,,,,,"785,27",,,,,,,"8.751,75",,,,,,,
PENEDO-AL,,,,,AL,,,,,"1.177,90",,,,,,,-,,,,,,,"1.177,90",,,,,,,"13.127,65",,,,,,,
PIACABUCU-AL,,,,,AL,,,,,"856,65",,,,,,,-,,,,,,,"856,65",,,,,,,"9.547,34",,,,,,,
PILAR-AL,,,,,AL,,,,,"212.824,99",,,,,,,"136.627,49",,,,,,,"349.452,48",,,,,,,"4.556.521,04",,,,,,,
PINDOBA-AL,,,,,AL,,,,,"713,88",,,,,,,-,,,,,,,"713,88",,,,,,,"7.956,12",,,,,,,
PORTO CALVO-AL,,,,,AL,,,,,"928,04",,,,,,,-,,,,,,,"928,04",,,,,,,"10.342,98",,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,,"749,57",,,,,,,-,,,,,,,"749,57",,,,,,,"8.353,93",,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,,"892,35",,,,,,,-,,,,,,,"892,35",,,,,,,"9.945,18",,,,,,,
RIO LARGO-AL,,,,,AL,,,,,"13.004,20",,,,,,,"7.627,96",,,,,,,"20.632,16",,,,,,,"243.921,96",,,,,,,
ROTEIRO-AL,,,,,AL,,,,,"1.171,98",,,,,,,"295,47",,,,,,,"1.467,45",,,,,,,"16.903,94",,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,,"713,88",,,,,,,-,,,,,,,"713,88",,,,,,,"7.956,12",,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,,"749,57",,,,,,,-,,,,,,,"749,57",,,,,,,"8.353,93",,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,,"928,04",,,,,,,-,,,,,,,"928,04",,,,,,,"10.342,98",,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,,"999,43",,,,,,,-,,,,,,,"999,43",,,,,,,"11.138,58",,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,,"342.663,71",,,,,,,"229.132,97",,,,,,,"571.796,68",,,,,,,"6.546.642,31",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,,"713,88",,,,,,,-,,,,,,,"713,88",,,,,,,"7.956,12",,,,,,,
SATUBA-AL,,,,,AL,,,,,"52.320,77",,,,,,,"33.240,40",,,,,,,"85.561,17",,,,,,,"631.426,20",,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,,"1.070,82",,,,,,,-,,,,,,,"1.070,82",,,,,,,"11.934,22",,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,,"1.177,90",,,,,,,-,,,,,,,"1.177,90",,,,,,,"13.127,65",,,,,,,
VICOSA-AL,,,,,AL,,,,,"963,74",,,,,,,-,,,,,,,"963,74",,,,,,,"10.740,81",,,,,,,
ALAGOAS TOTAL,,,,,,,,,,"1.840.728,65",,,,,,,"647.426,88",,,,,,,"2.488.155,53",,,,,,,"31.227.866,45",,,,,,,
ANAMA-AM,,,,,AM,,,,,-,,,,,,,"2.099,40",,,,,,,"2.099,40",,,,,,,"27.926,19",,,,,,,
