ANADIA-AL,,,,,AL,,,,,"740,06",,,,,,,,,-,,,,,,,,,"740,06",,,,,,"8.703,70",,,,,,,
ATALAIA-AL,,,,,AL,,,,,"955,92",,,,,,,,,-,,,,,,,,,"955,92",,,,,,"11.242,30",,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,,"647,56",,,,,,,,,-,,,,,,,,,"647,56",,,,,,"7.615,75",,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,,"616,72",,,,,,,,,-,,,,,,,,,"616,72",,,,,,"7.253,06",,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,,"832,57",,,,,,,,,-,,,,,,,,,"832,57",,,,,,"9.791,66",,,,,,,
BRANQUINHA-AL,,,,,AL,,,,,"647,56",,,,,,,,,-,,,,,,,,,"647,56",,,,,,"7.615,75",,,,,,,
CAJUEIRO-AL,,,,,AL,,,,,"770,90",,,,,,,,,-,,,,,,,,,"770,90",,,,,,"9.066,35",,,,,,,
CAMPESTRE-AL,,,,,AL,,,,,"616,72",,,,,,,,,-,,,,,,,,,"616,72",,,,,,"7.253,06",,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,,"955,92",,,,,,,,,-,,,,,,,,,"955,92",,,,,,"11.242,30",,,,,,,
CAPELA-AL,,,,,AL,,,,,"770,90",,,,,,,,,-,,,,,,,,,"770,90",,,,,,"9.066,35",,,,,,,
CHA PRETA-AL,,,,,AL,,,,,"616,72",,,,,,,,,-,,,,,,,,,"616,72",,,,,,"7.253,06",,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,,"740,06",,,,,,,,,-,,,,,,,,,"740,06",,,,,,"8.703,70",,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,,"616,72",,,,,,,,,-,,,,,,,,,"616,72",,,,,,"15.234,98",,,,,,,
CORURIPE-AL,,,,,AL,,,,,"700.348,58",,,,,,,,,"60.397,43",,,,,,,,,"760.746,01",,,,,,"11.224.261,66",,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,,"22.383,45",,,,,,,,,"30.679,31",,,,,,,,,"53.062,76",,,,,,"624.057,62",,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,,"647,56",,,,,,,,,-,,,,,,,,,"647,56",,,,,,"7.615,75",,,,,,,
IBATEGUARA-AL,,,,,AL,,,,,"709,23",,,,,,,,,-,,,,,,,,,"709,23",,,,,,"8.341,04",,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,,"801,74",,,,,,,,,-,,,,,,,,,"801,74",,,,,,"9.429,02",,,,,,,
JACUIPE-AL,,,,,AL,,,,,"616,72",,,,,,,,,-,,,,,,,,,"616,72",,,,,,"7.253,06",,,,,,,
JAPARATINGA-AL,,,,,AL,,,,,"616,72",,,,,,,,,-,,,,,,,,,"616,72",,,,,,"7.253,06",,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,,"1.392,79",,,,,,,,,"300,05",,,,,,,,,"1.692,84",,,,,,"21.763,01",,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,,"801,74",,,,,,,,,-,,,,,,,,,"801,74",,,,,,"9.429,02",,,,,,,
JUNDIA-AL,,,,,AL,,,,,"616,72",,,,,,,,,-,,,,,,,,,"616,72",,,,,,"7.253,06",,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,,"801,74",,,,,,,,,-,,,,,,,,,"801,74",,,,,,"9.429,02",,,,,,,
MACEIO-AL,,,,,AL,,,,,"68.299,79",,,,,,,,,"14.651,62",,,,,,,,,"82.951,41",,,,,,"1.092.188,71",,,,,,,
MARAGOGI-AL,,,,,AL,,,,,"801,74",,,,,,,,,-,,,,,,,,,"801,74",,,,,,"9.429,02",,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,,"118.779,99",,,,,,,,,"109.250,19",,,,,,,,,"228.030,18",,,,,,"2.454.324,52",,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,,"832,57",,,,,,,,,-,,,,,,,,,"832,57",,,,,,"9.791,66",,,,,,,
MESSIAS-AL,,,,,AL,,,,,"647,56",,,,,,,,,-,,,,,,,,,"647,56",,,,,,"7.615,75",,,,,,,
MURICI-AL,,,,,AL,,,,,"832,57",,,,,,,,,-,,,,,,,,,"832,57",,,,,,"9.791,66",,,,,,,
NOVO LINO-AL,,,,,AL,,,,,"647,56",,,,,,,,,-,,,,,,,,,"647,56",,,,,,"7.615,75",,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,,"616,72",,,,,,,,,"10.988,71",,,,,,,,,"11.605,43",,,,,,"123.859,66",,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,,"678,39",,,,,,,,,-,,,,,,,,,"678,39",,,,,,"7.978,38",,,,,,,
PENEDO-AL,,,,,AL,,,,,"1.017,59",,,,,,,,,-,,,,,,,,,"1.017,59",,,,,,"11.967,61",,,,,,,
PIACABUCU-AL,,,,,AL,,,,,"740,06",,,,,,,,,-,,,,,,,,,"740,06",,,,,,"8.703,70",,,,,,,
PILAR-AL,,,,,AL,,,,,"199.831,53",,,,,,,,,"128.334,44",,,,,,,,,"328.165,97",,,,,,"3.726.468,49",,,,,,,
PINDOBA-AL,,,,,AL,,,,,"616,72",,,,,,,,,-,,,,,,,,,"616,72",,,,,,"7.253,06",,,,,,,
PORTO CALVO-AL,,,,,AL,,,,,"801,74",,,,,,,,,-,,,,,,,,,"801,74",,,,,,"9.429,02",,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,,"647,56",,,,,,,,,-,,,,,,,,,"647,56",,,,,,"7.615,75",,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,,"770,90",,,,,,,,,-,,,,,,,,,"770,90",,,,,,"9.066,35",,,,,,,
RIO LARGO-AL,,,,,AL,,,,,"14.217,58",,,,,,,,,"8.513,99",,,,,,,,,"22.731,57",,,,,,"214.195,11",,,,,,,
ROTEIRO-AL,,,,,AL,,,,,"616,72",,,,,,,,,-,,,,,,,,,"616,72",,,,,,"14.173,14",,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,,"1.806,31",,,,,,,,,"767,29",,,,,,,,,"2.573,60",,,,,,"30.014,17",,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,,"647,56",,,,,,,,,-,,,,,,,,,"647,56",,,,,,"7.615,75",,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,,"801,74",,,,,,,,,-,,,,,,,,,"801,74",,,,,,"9.429,02",,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,,"863,41",,,,,,,,,-,,,,,,,,,"863,41",,,,,,"10.154,33",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
