ANADIA-AL,,,,,,,,,,AL,,"734,85",,,,,,,"0,01",,,,,,,,"734,86",,,,,,,"8.785,76",,,,,,,,
ATALAIA-AL,,,,,,,,,,AL,,"949,18",,,,,,,"0,01",,,,,,,,"949,19",,,,,,,"11.348,29",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,,AL,,"704,23",,,,,,,"0,01",,,,,,,,"704,24",,,,,,,"8.419,68",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,,AL,,"612,37",,,,,,,"0,01",,,,,,,,"612,38",,,,,,,"7.321,46",,,,,,,,
BOCA DA MATA-AL,,,,,,,,,,AL,,"826,71",,,,,,,"0,01",,,,,,,,"826,72",,,,,,,"9.884,00",,,,,,,,
BRANQUINHA-AL,,,,,,,,,,AL,,"642,99",,,,,,,"0,01",,,,,,,,"643,00",,,,,,,"7.687,55",,,,,,,,
CAJUEIRO-AL,,,,,,,,,,AL,,"796,09",,,,,,,"0,01",,,,,,,,"796,10",,,,,,,"9.517,92",,,,,,,,
CAMPESTRE-AL,,,,,,,,,,AL,,"612,37",,,,,,,"0,01",,,,,,,,"612,38",,,,,,,"7.321,46",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,,AL,,"979,80",,,,,,,"0,01",,,,,,,,"979,81",,,,,,,"11.714,38",,,,,,,,
CAPELA-AL,,,,,,,,,,AL,,"734,85",,,,,,,"0,01",,,,,,,,"734,86",,,,,,,"8.785,76",,,,,,,,
CHA PRETA-AL,,,,,,,,,,AL,,"612,37",,,,,,,"0,01",,,,,,,,"612,38",,,,,,,"7.321,46",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,,AL,,"796,09",,,,,,,"0,01",,,,,,,,"796,10",,,,,,,"9.517,92",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,,AL,,"101.765,15",,,,,,,"370,42",,,,,,,,"102.135,57",,,,,,,"1.083.329,28",,,,,,,,
CORURIPE-AL,,,,,,,,,,AL,,"1.975.204,18",,,,,,,"69.987,76",,,,,,,,"2.045.191,94",,,,,,,"21.737.214,49",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,,AL,,"22.151,63",,,,,,,"30.957,15",,,,,,,,"53.108,78",,,,,,,"634.958,27",,,,,,,,
FLEXEIRAS-AL,,,,,,,,,,AL,,"673,61",,,,,,,"0,01",,,,,,,,"673,62",,,,,,,"8.053,62",,,,,,,,
IBATEGUARA-AL,,,,,,,,,,AL,,"704,23",,,,,,,"0,01",,,,,,,,"704,24",,,,,,,"8.419,68",,,,,,,,
IGREJA NOVA-AL,,,,,,,,,,AL,,"796,09",,,,,,,"0,01",,,,,,,,"796,10",,,,,,,"9.517,92",,,,,,,,
JACUIPE-AL,,,,,,,,,,AL,,"612,37",,,,,,,"0,01",,,,,,,,"612,38",,,,,,,"7.321,46",,,,,,,,
JAPARATINGA-AL,,,,,,,,,,AL,,"612,37",,,,,,,"0,01",,,,,,,,"612,38",,,,,,,"7.321,46",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,,AL,,"3.330,82",,,,,,,"1.116,04",,,,,,,,"4.446,86",,,,,,,"41.735,42",,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,,AL,,"796,09",,,,,,,"0,01",,,,,,,,"796,10",,,,,,,"9.517,92",,,,,,,,
JUNDIA-AL,,,,,,,,,,AL,,"612,37",,,,,,,"0,01",,,,,,,,"612,38",,,,,,,"7.321,46",,,,,,,,
JUNQUEIRO-AL,,,,,,,,,,AL,,"796,09",,,,,,,"0,01",,,,,,,,"796,10",,,,,,,"9.517,92",,,,,,,,
MACEIO-AL,,,,,,,,,,AL,,"76.427,61",,,,,,,"17.092,48",,,,,,,,"93.520,09",,,,,,,"1.434.008,28",,,,,,,,
MARAGOGI-AL,,,,,,,,,,AL,,"857,33",,,,,,,"0,01",,,,,,,,"857,34",,,,,,,"10.250,07",,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,,AL,,"50.323,64",,,,,,,"35.429,28",,,,,,,,"85.752,92",,,,,,,"1.002.704,14",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,,AL,,"796,09",,,,,,,"0,01",,,,,,,,"796,10",,,,,,,"9.517,92",,,,,,,,
MESSIAS-AL,,,,,,,,,,AL,,"704,23",,,,,,,"0,01",,,,,,,,"704,24",,,,,,,"8.419,68",,,,,,,,
MURICI-AL,,,,,,,,,,AL,,"826,71",,,,,,,"0,01",,,,,,,,"826,72",,,,,,,"26.072,95",,,,,,,,
NOVO LINO-AL,,,,,,,,,,AL,,"673,61",,,,,,,"0,01",,,,,,,,"673,62",,,,,,,"8.053,62",,,,,,,,
PARIPUEIRA-AL,,,,,,,,,,AL,,"642,99",,,,,,,"3.166,10",,,,,,,,"3.809,09",,,,,,,"89.382,98",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,,AL,,"704,23",,,,,,,"0,01",,,,,,,,"704,24",,,,,,,"8.419,68",,,,,,,,
PENEDO-AL,,,,,,,,,,AL,,"359.628,83",,,,,,,"76,39",,,,,,,,"359.705,22",,,,,,,"3.216.446,47",,,,,,,,
PIACABUCU-AL,,,,,,,,,,AL,,"734,85",,,,,,,"0,01",,,,,,,,"734,86",,,,,,,"8.785,76",,,,,,,,
PILAR-AL,,,,,,,,,,AL,,"533.481,83",,,,,,,"123.834,88",,,,,,,,"657.316,71",,,,,,,"3.994.868,82",,,,,,,,
PINDOBA-AL,,,,,,,,,,AL,,"612,37",,,,,,,"0,01",,,,,,,,"612,38",,,,,,,"7.321,46",,,,,,,,
PORTO CALVO-AL,,,,,,,,,,AL,,"826,71",,,,,,,"0,01",,,,,,,,"826,72",,,,,,,"9.884,00",,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,,AL,,"612,37",,,,,,,"0,01",,,,,,,,"612,38",,,,,,,"7.321,46",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,,AL,,"765,47",,,,,,,"0,01",,,,,,,,"765,48",,,,,,,"9.151,84",,,,,,,,
RIO LARGO-AL,,,,,,,,,,AL,,"361.057,16",,,,,,,"6.861,87",,,,,,,,"367.919,03",,,,,,,"3.542.583,60",,,,,,,,
ROTEIRO-AL,,,,,,,,,,AL,,"1.921.814,47",,,,,,,"1.041,12",,,,,,,,"1.922.855,59",,,,,,,"19.103.714,74",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,,AL,,"612,37",,,,,,,"0,01",,,,,,,,"612,38",,,,,,,"633.497,75",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,,AL,,"642,99",,,,,,,"0,01",,,,,,,,"643,00",,,,,,,"7.687,55",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,,AL,,"796,09",,,,,,,"0,01",,,,,,,,"796,10",,,,,,,"9.517,92",,,,,,,,
