ANADIA-AL,AL,284.73, -   ,284.73,4402.14
ATALAIA-AL,AL,367.78, -   ,367.78,5686.11
BARRA DE SANTO ANTONIO-AL,AL,272.86, -   ,272.86,4218.71
BARRA DE SAO MIGUEL-AL,AL,237.27, -   ,237.27,3668.42
BOCA DA MATA-AL,AL,320.32, -   ,320.32,4952.42
BRANQUINHA-AL,AL,249.14, -   ,249.14,3851.85
CAJUEIRO-AL,AL,308.46, -   ,308.46,4768.99
CAMPESTRE-AL,AL,237.27, -   ,237.27,3668.42
CAMPO ALEGRE-AL,AL,379.64, -   ,379.64,5869.51
CAPELA-AL,AL,284.73, -   ,284.73,4402.14
CHA PRETA-AL,AL,237.27, -   ,237.27,3668.42
COLONIA LEOPOLDINA-AL,AL,308.46, -   ,308.46,4768.99
COQUEIRO SECO-AL,AL,"677,496.45",108.07,"677,604.52",7121681.58
CORURIPE-AL,AL,"698,939.05","32,136.95","731,076.00",6512438.95
FELIZ DESERTO-AL,AL,"8,583.08","11,994.85","20,577.93",318149.65
FLEXEIRAS-AL,AL,261, -   ,261,4035.28
IBATEGUARA-AL,AL,272.86, -   ,272.86,4218.71
IGREJA NOVA-AL,AL,308.46, -   ,308.46,4768.99
JACUIPE-AL,AL,237.27, -   ,237.27,3668.42
JAPARATINGA-AL,AL,237.27, -   ,237.27,3668.42
JEQUIA DA PRAIA-AL,AL,261, -   ,261,4035.28
JOAQUIM GOMES-AL,AL,308.46, -   ,308.46,4768.99
JUNDIA-AL,AL,237.27, -   ,237.27,3668.42
JUNQUEIRO-AL,AL,308.46, -   ,308.46,4768.99
MACEIO-AL,AL,"687,256.84","15,896.61","703,153.45",7422947.19
MARAGOGI-AL,AL,332.18, -   ,332.18,5135.82
MARECHAL DEODORO-AL,AL,"660,462.17","28,740.83","689,203.00",9567964.86
MATRIZ DE CAMARAGIBE-AL,AL,308.46, -   ,308.46,4768.99
MESSIAS-AL,AL,272.86, -   ,272.86,4218.71
MURICI-AL,AL,320.32, -   ,320.32,4952.42
NOVO LINO-AL,AL,261, -   ,261,4035.28
