ANADIA-AL,,,,,AL,,,,"378,29",,,,,,,,"275,54",,,,,,"653,83",,,,,"1.016,98",,,,,,,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"472,87",,,,,,,,"344,43",,,,,,"817,30",,,,,"1.271,23",,,,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"315,24",,,,,,,,"229,62",,,,,,"544,86",,,,,"847,48",,,,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"315,24",,,,,,,,"229,62",,,,,,"544,86",,,,,"847,48",,,,,,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"409,82",,,,,,,,"298,50",,,,,,"708,32",,,,,"1.101,73",,,,,,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"315,24",,,,,,,,"229,62",,,,,,"544,86",,,,,"847,48",,,,,,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"378,29",,,,,,,,"275,54",,,,,,"653,83",,,,,"1.016,98",,,,,,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"315,24",,,,,,,,"229,62",,,,,,"544,86",,,,,"847,48",,,,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"472,87",,,,,,,,"344,43",,,,,,"817,30",,,,,"1.271,23",,,,,,,,,,,,,,
CAPELA-AL,,,,,AL,,,,"409,82",,,,,,,,"298,50",,,,,,"708,32",,,,,"1.101,73",,,,,,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"315,24",,,,,,,,"229,62",,,,,,"544,86",,,,,"847,48",,,,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"378,29",,,,,,,,"275,54",,,,,,"653,83",,,,,"1.016,98",,,,,,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"16.828,49",,,,,,,,"229,62",,,,,,"17.058,11",,,,,"33.544,57",,,,,,,,,,,,,,
CORURIPE-AL,,,,,AL,,,,"34.745,05",,,,,,,,"13.194,74",,,,,,"47.939,79",,,,,"96.979,58",,,,,,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"11.107,82",,,,,,,,"8.090,77",,,,,,"19.198,59",,,,,"44.475,42",,,,,,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"346,77",,,,,,,,"252,58",,,,,,"599,35",,,,,"932,23",,,,,,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"362,53",,,,,,,,"264,06",,,,,,"626,59",,,,,"974,60",,,,,,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"394,05",,,,,,,,"287,02",,,,,,"681,07",,,,,"1.059,35",,,,,,,,,,,,,,
JACUIPE-AL,,,,,AL,,,,"315,24",,,,,,,,"229,62",,,,,,"544,86",,,,,"847,48",,,,,,,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,"315,24",,,,,,,,"229,62",,,,,,"544,86",,,,,"847,48",,,,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,"394,05",,,,,,,,"287,02",,,,,,"681,07",,,,,"1.059,35",,,,,,,,,,,,,,
JUNDIA-AL,,,,,AL,,,,"315,24",,,,,,,,"229,62",,,,,,"544,86",,,,,"847,48",,,,,,,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,"409,82",,,,,,,,"298,50",,,,,,"708,32",,,,,"1.101,73",,,,,,,,,,,,,,
MACEIO-AL,,,,,AL,,,,"20.601,56",,,,,,,,"8.040,29",,,,,,"28.641,85",,,,,"73.230,76",,,,,,,,,,,,,,
MARAGOGI-AL,,,,,AL,,,,"378,29",,,,,,,,"275,54",,,,,,"653,83",,,,,"1.016,98",,,,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,"35.344,72",,,,,,,,"13.791,09",,,,,,"49.135,81",,,,,"100.401,65",,,,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,"409,82",,,,,,,,"298,50",,,,,,"708,32",,,,,"1.101,73",,,,,,,,,,,,,,
