ANADIA-AL,,,AL,,,,"429,71",,,,,,,,-,,,,,,"429,71",,,,,"857,32",,,,,,,,
ATALAIA-AL,,,AL,,,,"555,04",,,,,,,,-,,,,,,"555,04",,,,,"1.107,37",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,,"375,99",,,,,,,,-,,,,,,"375,99",,,,,"750,15",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,,"358,09",,,,,,,,-,,,,,,"358,09",,,,,"714,43",,,,,,,,
BOCA DA MATA-AL,,,AL,,,,"483,42",,,,,,,,-,,,,,,"483,42",,,,,"964,48",,,,,,,,
BRANQUINHA-AL,,,AL,,,,"375,99",,,,,,,,-,,,,,,"375,99",,,,,"750,15",,,,,,,,
CAJUEIRO-AL,,,AL,,,,"447,61",,,,,,,,-,,,,,,"447,61",,,,,"893,04",,,,,,,,
CAMPESTRE-AL,,,AL,,,,"358,09",,,,,,,,-,,,,,,"358,09",,,,,"714,43",,,,,,,,
CAMPO ALEGRE-AL,,,AL,,,,"555,04",,,,,,,,-,,,,,,"555,04",,,,,"1.107,37",,,,,,,,
CAPELA-AL,,,AL,,,,"447,61",,,,,,,,-,,,,,,"447,61",,,,,"893,04",,,,,,,,
CHA PRETA-AL,,,AL,,,,"358,09",,,,,,,,-,,,,,,"358,09",,,,,"714,43",,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,,"429,71",,,,,,,,-,,,,,,"429,71",,,,,"857,32",,,,,,,,
COQUEIRO SECO-AL,,,AL,,,,"358,09",,,,,,,,-,,,,,,"358,09",,,,,"714,43",,,,,,,,
CORURIPE-AL,,,AL,,,,"39.413,85",,,,,,,,"18.303,67",,,,,,"57.717,52",,,,,"115.847,46",,,,,,,,
FELIZ DESERTO-AL,,,AL,,,,"12.756,94",,,,,,,,"17.827,83",,,,,,"30.584,77",,,,,"61.020,56",,,,,,,,
FLEXEIRAS-AL,,,AL,,,,"393,90",,,,,,,,-,,,,,,"393,90",,,,,"785,88",,,,,,,,
IBATEGUARA-AL,,,AL,,,,"411,80",,,,,,,,-,,,,,,"411,80",,,,,"821,59",,,,,,,,
IGREJA NOVA-AL,,,AL,,,,"465,52",,,,,,,,-,,,,,,"465,52",,,,,"928,76",,,,,,,,
JACUIPE-AL,,,AL,,,,"358,09",,,,,,,,-,,,,,,"358,09",,,,,"714,43",,,,,,,,
JAPARATINGA-AL,,,AL,,,,"358,09",,,,,,,,-,,,,,,"358,09",,,,,"714,43",,,,,,,,
JEQUIA DA PRAIA-AL,,,AL,,,,"393,90",,,,,,,,-,,,,,,"393,90",,,,,"785,88",,,,,,,,
JOAQUIM GOMES-AL,,,AL,,,,"465,52",,,,,,,,-,,,,,,"465,52",,,,,"928,76",,,,,,,,
JUNDIA-AL,,,AL,,,,"358,09",,,,,,,,-,,,,,,"358,09",,,,,"714,43",,,,,,,,
