ANADIA,,,AL,,,,,"559,26",,,,,,,-,,,,,,,"559,26",,,,,"1.091,99",,,,,,,,,
ATALAIA,,,AL,,,,,"722,38",,,,,,,-,,,,,,,"722,38",,,,,"1.410,49",,,,,,,,,
BARRA DE SANTO ANTONIO,,,AL,,,,,"489,35",,,,,,,-,,,,,,,"489,35",,,,,"955,49",,,,,,,,,
BARRA DE SAO MIGUEL,,,AL,,,,,"466,05",,,,,,,-,,,,,,,"466,05",,,,,"909,99",,,,,,,,,
BOCA DA MATA,,,AL,,,,,"629,17",,,,,,,-,,,,,,,"629,17",,,,,"1.228,49",,,,,,,,,
BRANQUINHA,,,AL,,,,,"489,35",,,,,,,-,,,,,,,"489,35",,,,,"955,49",,,,,,,,,
CAJUEIRO,,,AL,,,,,"582,56",,,,,,,-,,,,,,,"582,56",,,,,"1.137,49",,,,,,,,,
CAMPESTRE,,,AL,,,,,"466,05",,,,,,,-,,,,,,,"466,05",,,,,"909,99",,,,,,,,,
CAMPO ALEGRE,,,AL,,,,,"722,38",,,,,,,-,,,,,,,"722,38",,,,,"1.410,49",,,,,,,,,
CAPELA,,,AL,,,,,"582,56",,,,,,,-,,,,,,,"582,56",,,,,"1.137,49",,,,,,,,,
CHA PRETA,,,AL,,,,,"466,05",,,,,,,-,,,,,,,"466,05",,,,,"909,99",,,,,,,,,
COLONIA LEOPOLDINA,,,AL,,,,,"559,26",,,,,,,-,,,,,,,"559,26",,,,,"1.091,99",,,,,,,,,
COQUEIRO SECO,,,AL,,,,,"466,05",,,,,,,-,,,,,,,"466,05",,,,,"909,99",,,,,,,,,
CORURIPE,,,AL,,,,,"918.468,64",,,,,,,"28.644,68",,,,,,,"947.113,32",,,,,"1.767.856,30",,,,,,,,,
FELIZ DESERTO,,,AL,,,,,"16.603,14",,,,,,,"23.202,89",,,,,,,"39.806,03",,,,,"77.723,79",,,,,,,,,
FLEXEIRAS,,,AL,,,,,"512,65",,,,,,,-,,,,,,,"512,65",,,,,"1.000,98",,,,,,,,,
IBATEGUARA,,,AL,,,,,"535,96",,,,,,,-,,,,,,,"535,96",,,,,"1.046,49",,,,,,,,,
IGREJA NOVA,,,AL,,,,,"605,86",,,,,,,-,,,,,,,"605,86",,,,,"1.182,98",,,,,,,,,
JACUIPE,,,AL,,,,,"466,05",,,,,,,-,,,,,,,"466,05",,,,,"909,99",,,,,,,,,
JAPARATINGA,,,AL,,,,,"466,05",,,,,,,-,,,,,,,"466,05",,,,,"909,99",,,,,,,,,
JEQUIA DA PRAIA,,,AL,,,,,"512,65",,,,,,,-,,,,,,,"512,65",,,,,"1.000,98",,,,,,,,,
JOAQUIM GOMES,,,AL,,,,,"605,86",,,,,,,-,,,,,,,"605,86",,,,,"1.182,98",,,,,,,,,
JUNDIA,,,AL,,,,,"466,05",,,,,,,-,,,,,,,"466,05",,,,,"909,99",,,,,,,,,
