ANADIA-AL,,,,,,AL,,,"802,86",,,,,,,-,,,,,,,"802,86",,,,,"1.615,47",,,,,,,,,
ATALAIA-AL,,,,,,AL,,,"1.037,03",,,,,,,-,,,,,,,"1.037,03",,,,,"2.086,65",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,AL,,,"702,51",,,,,,,-,,,,,,,"702,51",,,,,"1.413,54",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,AL,,,"669,05",,,,,,,-,,,,,,,"669,05",,,,,"1.346,22",,,,,,,,,
BOCA DA MATA-AL,,,,,,AL,,,"903,22",,,,,,,-,,,,,,,"903,22",,,,,"1.817,40",,,,,,,,,
BRANQUINHA-AL,,,,,,AL,,,"702,51",,,,,,,-,,,,,,,"702,51",,,,,"1.413,54",,,,,,,,,
CAJUEIRO-AL,,,,,,AL,,,"836,32",,,,,,,-,,,,,,,"836,32",,,,,"1.682,79",,,,,,,,,
CAMPESTRE-AL,,,,,,AL,,,"669,05",,,,,,,-,,,,,,,"669,05",,,,,"1.346,22",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,AL,,,"1.037,03",,,,,,,-,,,,,,,"1.037,03",,,,,"2.086,65",,,,,,,,,
CAPELA-AL,,,,,,AL,,,"836,32",,,,,,,-,,,,,,,"836,32",,,,,"1.682,79",,,,,,,,,
CHA PRETA-AL,,,,,,AL,,,"669,05",,,,,,,-,,,,,,,"669,05",,,,,"1.346,22",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,AL,,,"802,86",,,,,,,-,,,,,,,"802,86",,,,,"1.615,47",,,,,,,,,
COQUEIRO SECO-AL,,,,,,AL,,,"2.106,83",,,,,,,"927,37",,,,,,,"3.034,20",,,,,"5.879,82",,,,,,,,,
CORURIPE-AL,,,,,,AL,,,"840.188,16",,,,,,,"65.620,24",,,,,,,"905.808,40",,,,,"1.947.214,79",,,,,,,,,
FELIZ DESERTO-AL,,,,,,AL,,,"24.282,86",,,,,,,"33.282,70",,,,,,,"57.565,56",,,,,"115.829,60",,,,,,,,,
FLEXEIRAS-AL,,,,,,AL,,,"702,51",,,,,,,-,,,,,,,"702,51",,,,,"1.413,54",,,,,,,,,
IBATEGUARA-AL,,,,,,AL,,,"769,41",,,,,,,-,,,,,,,"769,41",,,,,"1.548,16",,,,,,,,,
IGREJA NOVA-AL,,,,,,AL,,,"869,77",,,,,,,-,,,,,,,"869,77",,,,,"1.750,09",,,,,,,,,
JACUIPE-AL,,,,,,AL,,,"669,05",,,,,,,-,,,,,,,"669,05",,,,,"1.346,22",,,,,,,,,
JAPARATINGA-AL,,,,,,AL,,,"669,05",,,,,,,-,,,,,,,"669,05",,,,,"1.346,22",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,AL,,,"4.349,01",,,,,,,"1.517,48",,,,,,,"5.866,49",,,,,"9.255,20",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,AL,,,"869,77",,,,,,,-,,,,,,,"869,77",,,,,"1.750,09",,,,,,,,,
JUNDIA-AL,,,,,,AL,,,"669,05",,,,,,,-,,,,,,,"669,05",,,,,"1.346,22",,,,,,,,,
JUNQUEIRO-AL,,,,,,AL,,,"869,77",,,,,,,-,,,,,,,"869,77",,,,,"1.750,09",,,,,,,,,
MACEIO-AL,,,,,,AL,,,"72.693,78",,,,,,,"10.695,71",,,,,,,"83.389,49",,,,,"183.698,33",,,,,,,,,
MARAGOGI-AL,,,,,,AL,,,"869,77",,,,,,,-,,,,,,,"869,77",,,,,"1.750,09",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,AL,,,"116.147,49",,,,,,,"86.614,98",,,,,,,"202.762,47",,,,,"437.960,22",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,AL,,,"903,22",,,,,,,-,,,,,,,"903,22",,,,,"1.817,40",,,,,,,,,
MESSIAS-AL,,,,,,AL,,,"702,51",,,,,,,-,,,,,,,"702,51",,,,,"1.413,54",,,,,,,,,
MURICI-AL,,,,,,AL,,,"903,22",,,,,,,-,,,,,,,"903,22",,,,,"1.817,40",,,,,,,,,
NOVO LINO-AL,,,,,,AL,,,"702,51",,,,,,,-,,,,,,,"702,51",,,,,"1.413,54",,,,,,,,,
PARIPUEIRA-AL,,,,,,AL,,,"669,05",,,,,,,"4.336,24",,,,,,,"5.005,29",,,,,"14.223,57",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,AL,,,"735,96",,,,,,,-,,,,,,,"735,96",,,,,"1.480,85",,,,,,,,,
PENEDO-AL,,,,,,AL,,,"1.103,94",,,,,,,-,,,,,,,"1.103,94",,,,,"2.221,28",,,,,,,,,
PIACABUCU-AL,,,,,,AL,,,"802,86",,,,,,,-,,,,,,,"802,86",,,,,"1.615,47",,,,,,,,,
PILAR-AL,,,,,,AL,,,"156.622,71",,,,,,,"100.417,48",,,,,,,"257.040,19",,,,,"591.401,11",,,,,,,,,
PINDOBA-AL,,,,,,AL,,,"669,05",,,,,,,-,,,,,,,"669,05",,,,,"1.346,22",,,,,,,,,
PORTO CALVO-AL,,,,,,AL,,,"869,77",,,,,,,-,,,,,,,"869,77",,,,,"1.750,09",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,AL,,,"702,51",,,,,,,-,,,,,,,"702,51",,,,,"1.413,54",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,AL,,,"836,32",,,,,,,-,,,,,,,"836,32",,,,,"1.682,79",,,,,,,,,
RIO LARGO-AL,,,,,,AL,,,"11.655,87",,,,,,,"6.805,99",,,,,,,"18.461,86",,,,,"39.657,72",,,,,,,,,
ROTEIRO-AL,,,,,,AL,,,"811,66",,,,,,,"91,98",,,,,,,"903,64",,,,,"1.807,03",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,AL,,,"669,05",,,,,,,-,,,,,,,"669,05",,,,,"1.346,22",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,AL,,,"702,51",,,,,,,-,,,,,,,"702,51",,,,,"1.413,54",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,AL,,,"869,77",,,,,,,-,,,,,,,"869,77",,,,,"1.750,09",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,AL,,,"936,68",,,,,,,-,,,,,,,"936,68",,,,,"1.884,72",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,AL,,,"206.150,41",,,,,,,"118.449,90",,,,,,,"324.600,31",,,,,"666.651,44",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,AL,,,"669,05",,,,,,,-,,,,,,,"669,05",,,,,"1.346,22",,,,,,,,,
SATUBA-AL,,,,,,AL,,,"33.543,43",,,,,,,"21.160,81",,,,,,,"54.704,24",,,,,"105.118,00",,,,,,,,,
TEOTONIO VILELA-AL,,,,,,AL,,,"1.003,58",,,,,,,-,,,,,,,"1.003,58",,,,,"2.019,34",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,AL,,,"1.103,94",,,,,,,-,,,,,,,"1.103,94",,,,,"2.221,28",,,,,,,,,
VICOSA-AL,,,,,,AL,,,"903,22",,,,,,,-,,,,,,,"903,22",,,,,"1.817,40",,,,,,,,,
TOTAL ALAGOAS,,,,,,,,,"1.501.636,89",,,,,,,"449.920,88",,,,,,,"1.951.557,77",,,,,"4.183.921,44",,,,,,,,,
ANAMA-AM,,,,,,AM,,,-,,,,,,,"2.156,46",,,,,,,"2.156,46",,,,,"4.217,28",,,,,,,,,
ANORI-AM,,,,,,AM,,,-,,,,,,,"2.156,46",,,,,,,"2.156,46",,,,,"4.217,28",,,,,,,,,
AUTAZES-AM,,,,,,AM,,,-,,,,,,,"5.084,14",,,,,,,"5.084,14",,,,,"10.323,24",,,,,,,,,
BERURI-AM,,,,,,AM,,,-,,,,,,,"2.156,46",,,,,,,"2.156,46",,,,,"4.217,28",,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,AM,,,-,,,,,,,"5.084,14",,,,,,,"5.084,14",,,,,"10.323,24",,,,,,,,,
CAREIRO-AM,,,,,,AM,,,-,,,,,,,"2.156,46",,,,,,,"2.156,46",,,,,"4.217,28",,,,,,,,,
COARI-AM,,,,,,AM,,,"1.718.862,45",,,,,,,"1.574.663,52",,,,,,,"3.293.525,97",,,,,"6.727.164,65",,,,,,,,,
CODAJAS-AM,,,,,,AM,,,-,,,,,,,"2.156,46",,,,,,,"2.156,46",,,,,"4.217,28",,,,,,,,,
IRANDUBA-AM,,,,,,AM,,,-,,,,,,,"5.084,14",,,,,,,"5.084,14",,,,,"10.323,24",,,,,,,,,
ITACOATIARA-AM,,,,,,AM,,,-,,,,,,,"5.084,14",,,,,,,"5.084,14",,,,,"10.323,24",,,,,,,,,
ITAPIRANGA-AM,,,,,,AM,,,-,,,,,,,"5.084,14",,,,,,,"5.084,14",,,,,"10.323,24",,,,,,,,,
MANACAPURU-AM,,,,,,AM,,,-,,,,,,,"2.156,46",,,,,,,"2.156,46",,,,,"4.217,28",,,,,,,,,
MANAQUIRI-AM,,,,,,AM,,,-,,,,,,,"2.156,46",,,,,,,"2.156,46",,,,,"4.217,28",,,,,,,,,
