ANADIA-AL,,,AL,,,,"770,47",,,,,,,,-,,,,,,"770,47",,,,,"1.512,41",,,,,,,
ATALAIA-AL,,,AL,,,,"995,19",,,,,,,,-,,,,,,"995,19",,,,,"1.953,53",,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,,"674,16",,,,,,,,-,,,,,,"674,16",,,,,"1.323,36",,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,,"642,06",,,,,,,,-,,,,,,"642,06",,,,,"1.260,34",,,,,,,
BOCA DA MATA-AL,,,AL,,,,"866,78",,,,,,,,-,,,,,,"866,78",,,,,"1.701,47",,,,,,,
BRANQUINHA-AL,,,AL,,,,"674,16",,,,,,,,-,,,,,,"674,16",,,,,"1.323,36",,,,,,,
CAJUEIRO-AL,,,AL,,,,"802,57",,,,,,,,-,,,,,,"802,57",,,,,"1.575,43",,,,,,,
CAMPESTRE -AL,,,AL,,,,"642,06",,,,,,,,-,,,,,,"642,06",,,,,"1.260,34",,,,,,,
CAMPO ALEGRE-AL,,,AL,,,,"995,19",,,,,,,,-,,,,,,"995,19",,,,,"1.953,53",,,,,,,
CAPELA-AL,,,AL,,,,"802,57",,,,,,,,-,,,,,,"802,57",,,,,"1.575,43",,,,,,,
CHA PRETA-AL,,,AL,,,,"642,06",,,,,,,,-,,,,,,"642,06",,,,,"1.260,34",,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,,"770,47",,,,,,,,-,,,,,,"770,47",,,,,"1.512,41",,,,,,,
COQUEIRO SECO-AL,,,AL,,,,"1.145,11",,,,,,,,"324,47",,,,,,"1.469,58",,,,,"2.887,72",,,,,,,
CORURIPE-AL,,,AL,,,,"747.392,10",,,,,,,,"63.528,98",,,,,,"810.921,08",,,,,"2.030.551,54",,,,,,,
FELIZ DESERTO-AL,,,AL,,,,"23.303,11",,,,,,,,"31.939,82",,,,,,"55.242,93",,,,,"108.440,35",,,,,,,
FLEXEIRAS-AL,,,AL,,,,"674,16",,,,,,,,-,,,,,,"674,16",,,,,"1.323,36",,,,,,,
IBATEGUARA-AL,,,AL,,,,"738,37",,,,,,,,-,,,,,,"738,37",,,,,"1.449,40",,,,,,,
IGREJA NOVA-AL,,,AL,,,,"834,68",,,,,,,,-,,,,,,"834,68",,,,,"1.638,45",,,,,,,
JACUIPE-AL,,,AL,,,,"642,06",,,,,,,,-,,,,,,"642,06",,,,,"1.260,34",,,,,,,
JAPARATINGA-AL,,,AL,,,,"642,06",,,,,,,,-,,,,,,"642,06",,,,,"1.260,34",,,,,,,
JEQUIA DA PRAIA-AL,,,AL,,,,"3.232,92",,,,,,,,"1.061,20",,,,,,"4.294,12",,,,,"9.398,82",,,,,,,
JOAQUIM GOMES-AL,,,AL,,,,"834,68",,,,,,,,-,,,,,,"834,68",,,,,"1.638,45",,,,,,,
JUNDIA-AL,,,AL,,,,"642,06",,,,,,,,-,,,,,,"642,06",,,,,"1.260,34",,,,,,,
JUNQUEIRO-AL,,,AL,,,,"834,68",,,,,,,,-,,,,,,"834,68",,,,,"1.638,45",,,,,,,
MACEIO-AL,,,AL,,,,"82.241,73",,,,,,,,"13.378,86",,,,,,"95.620,59",,,,,"199.145,92",,,,,,,
MARAGOGI-AL,,,AL,,,,"834,68",,,,,,,,-,,,,,,"834,68",,,,,"1.638,45",,,,,,,
MARECHAL DEODORO-AL,,,AL,,,,"145.609,03",,,,,,,,"111.450,25",,,,,,"257.059,28",,,,,"511.090,04",,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,AL,,,,"866,78",,,,,,,,-,,,,,,"866,78",,,,,"1.701,47",,,,,,,
MESSIAS-AL,,,AL,,,,"674,16",,,,,,,,-,,,,,,"674,16",,,,,"1.323,36",,,,,,,
MURICI-AL,,,AL,,,,"866,78",,,,,,,,-,,,,,,"866,78",,,,,"1.701,47",,,,,,,
NOVO LINO-AL,,,AL,,,,"674,16",,,,,,,,-,,,,,,"674,16",,,,,"1.323,36",,,,,,,
PARIPUEIRA-AL,,,AL,,,,"642,06",,,,,,,,"5.500,17",,,,,,"6.142,23",,,,,"16.878,52",,,,,,,
PASSO DE CAMARAGIBE-AL,,,AL,,,,"706,26",,,,,,,,-,,,,,,"706,26",,,,,"1.386,37",,,,,,,
PENEDO-AL,,,AL,,,,"1.059,40",,,,,,,,-,,,,,,"1.059,40",,,,,"2.079,57",,,,,,,
PIACABUCU-AL,,,AL,,,,"770,47",,,,,,,,-,,,,,,"770,47",,,,,"1.512,41",,,,,,,
PILAR-AL,,,AL,,,,"210.397,06",,,,,,,,"135.126,32",,,,,,"345.523,38",,,,,"682.105,36",,,,,,,
PINDOBA-AL,,,AL,,,,"642,06",,,,,,,,-,,,,,,"642,06",,,,,"1.260,34",,,,,,,
PORTO CALVO-AL,,,AL,,,,"834,68",,,,,,,,-,,,,,,"834,68",,,,,"1.638,45",,,,,,,
PORTO DE PEDRAS-AL,,,AL,,,,"674,16",,,,,,,,-,,,,,,"674,16",,,,,"1.323,36",,,,,,,
PORTO REAL DO COLEGIO-AL,,,AL,,,,"802,57",,,,,,,,-,,,,,,"802,57",,,,,"1.575,43",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO LARGO-AL,,,AL,,,,"9.546,98",,,,,,,,"5.474,48",,,,,,"15.021,46",,,,,"30.741,64",,,,,,,
ROTEIRO-AL,,,AL,,,,"1.218,20",,,,,,,,"371,61",,,,,,"1.589,81",,,,,"3.102,56",,,,,,,
SANTA LUZIA DO NORTE-AL,,,AL,,,,"642,06",,,,,,,,-,,,,,,"642,06",,,,,"1.260,34",,,,,,,
SANTANA DO MUNDAU-AL,,,AL,,,,"674,16",,,,,,,,-,,,,,,"674,16",,,,,"1.323,36",,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,,"834,68",,,,,,,,-,,,,,,"834,68",,,,,"1.638,45",,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,,"898,88",,,,,,,,-,,,,,,"898,88",,,,,"1.764,48",,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,,"298.843,07",,,,,,,,"185.039,06",,,,,,"483.882,13",,,,,"949.652,74",,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,,"642,06",,,,,,,,-,,,,,,"642,06",,,,,"1.260,34",,,,,,,
SATUBA-AL,,,AL,,,,"16.268,46",,,,,,,,"10.037,62",,,,,,"26.306,08",,,,,"54.153,66",,,,,,,
TEOTONIO VILELA-AL,,,AL,,,,"963,09",,,,,,,,-,,,,,,"963,09",,,,,"1.890,52",,,,,,,
UNIAO DOS PALMARES-AL,,,AL,,,,"1.059,40",,,,,,,,-,,,,,,"1.059,40",,,,,"2.079,57",,,,,,,
VICOSA-AL,,,AL,,,,"866,78",,,,,,,,-,,,,,,"866,78",,,,,"1.701,47",,,,,,,
ALAGOAS TOTAL,,,,,,,"1.570.947,59",,,,,,,,"563.232,84",,,,,,"2.134.180,43",,,,,"4.659.212,52",,,,,,,
