ANADIA-AL,,,,,AL,,,,"740,03",,,,,,,,,-,,,,,,,"740,03",,,,,,"1.466,48",,,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"986,71",,,,,,,,,-,,,,,,,"986,71",,,,,,"1.955,32",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"678,36",,,,,,,,,-,,,,,,,"678,36",,,,,,"1.344,28",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"616,69",,,,,,,,,-,,,,,,,"616,69",,,,,,"1.222,07",,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"832,54",,,,,,,,,-,,,,,,,"832,54",,,,,,"1.649,80",,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"647,53",,,,,,,,,-,,,,,,,"647,53",,,,,,"1.283,18",,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"801,70",,,,,,,,,-,,,,,,,"801,70",,,,,,"1.588,69",,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"616,69",,,,,,,,,-,,,,,,,"616,69",,,,,,"1.222,07",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"955,88",,,,,,,,,-,,,,,,,"955,88",,,,,,"1.894,22",,,,,,,,,,
CAPELA-AL,,,,,AL,,,,"740,03",,,,,,,,,-,,,,,,,"740,03",,,,,,"1.466,48",,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"616,69",,,,,,,,,-,,,,,,,"616,69",,,,,,"1.222,07",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"770,87",,,,,,,,,-,,,,,,,"770,87",,,,,,"1.527,59",,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"616,69",,,,,,,,,-,,,,,,,"616,69",,,,,,"4.340,05",,,,,,,,,,
CORURIPE-AL,,,,,AL,,,,"1.027.517,00",,,,,,,,,"65.944,51",,,,,,,"1.093.461,51",,,,,,"2.089.575,61",,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"22.165,58",,,,,,,,,"30.976,40",,,,,,,"53.141,98",,,,,,"105.308,81",,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"647,53",,,,,,,,,-,,,,,,,"647,53",,,,,,"1.283,18",,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"709,20",,,,,,,,,-,,,,,,,"709,20",,,,,,"1.405,39",,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"801,70",,,,,,,,,-,,,,,,,"801,70",,,,,,"1.588,69",,,,,,,,,,
JACUIPE-AL,,,,,AL,,,,"616,69",,,,,,,,,-,,,,,,,"616,69",,,,,,"1.222,07",,,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,"616,69",,,,,,,,,-,,,,,,,"616,69",,,,,,"1.222,07",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,"647,53",,,,,,,,,-,,,,,,,"647,53",,,,,,"1.779,34",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,"801,70",,,,,,,,,-,,,,,,,"801,70",,,,,,"1.588,69",,,,,,,,,,
JUNDIA-AL,,,,,AL,,,,"616,69",,,,,,,,,-,,,,,,,"616,69",,,,,,"1.222,07",,,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,"832,54",,,,,,,,,-,,,,,,,"832,54",,,,,,"1.649,80",,,,,,,,,,
MACEIO-AL,,,,,AL,,,,"71.558,01",,,,,,,,,"17.130,22",,,,,,,"88.688,23",,,,,,"223.470,34",,,,,,,,,,
MARAGOGI-AL,,,,,AL,,,,"832,54",,,,,,,,,-,,,,,,,"832,54",,,,,,"1.649,80",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,"113.412,82",,,,,,,,,"108.701,18",,,,,,,"222.114,00",,,,,,"455.119,11",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,"832,54",,,,,,,,,-,,,,,,,"832,54",,,,,,"1.649,80",,,,,,,,,,
MESSIAS-AL,,,,,AL,,,,"709,20",,,,,,,,,-,,,,,,,"709,20",,,,,,"1.405,39",,,,,,,,,,
MURICI-AL,,,,,AL,,,,"832,54",,,,,,,,,-,,,,,,,"832,54",,,,,,"1.649,80",,,,,,,,,,
NOVO LINO-AL,,,,,AL,,,,"647,53",,,,,,,,,-,,,,,,,"647,53",,,,,,"1.283,18",,,,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,"616,69",,,,,,,,,"12.847,67",,,,,,,"13.464,36",,,,,,"21.962,70",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,"678,36",,,,,,,,,-,,,,,,,"678,36",,,,,,"1.344,28",,,,,,,,,,
PENEDO-AL,,,,,AL,,,,"1.017,55",,,,,,,,,-,,,,,,,"1.017,55",,,,,,"2.016,43",,,,,,,,,,
PIACABUCU-AL,,,,,AL,,,,"740,03",,,,,,,,,-,,,,,,,"740,03",,,,,,"1.466,48",,,,,,,,,,
PILAR-AL,,,,,AL,,,,"194.184,44",,,,,,,,,"124.692,09",,,,,,,"318.876,53",,,,,,"615.184,91",,,,,,,,,,
PINDOBA-AL,,,,,AL,,,,"616,69",,,,,,,,,-,,,,,,,"616,69",,,,,,"1.222,07",,,,,,,,,,
PORTO CALVO-AL,,,,,AL,,,,"832,54",,,,,,,,,-,,,,,,,"832,54",,,,,,"1.649,80",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,"647,53",,,,,,,,,-,,,,,,,"647,53",,,,,,"1.283,18",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,"740,03",,,,,,,,,-,,,,,,,"740,03",,,,,,"1.466,48",,,,,,,,,,
RIO LARGO-AL,,,,,AL,,,,"14.244,31",,,,,,,,,"8.511,37",,,,,,,"22.755,68",,,,,,"43.885,08",,,,,,,,,,
ROTEIRO-AL,,,,,AL,,,,"616,69",,,,,,,,,-,,,,,,,"616,69",,,,,,"3.678,38",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,"48.734,29",,,,,,,,,"799,65",,,,,,,"49.533,94",,,,,,"52.196,54",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,"647,53",,,,,,,,,-,,,,,,,"647,53",,,,,,"1.283,18",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,"801,70",,,,,,,,,-,,,,,,,"801,70",,,,,,"1.588,69",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,"863,37",,,,,,,,,-,,,,,,,"863,37",,,,,,"1.710,90",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,"339.187,27",,,,,,,,,"240.747,60",,,,,,,"579.934,87",,,,,,"1.157.206,99",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,"616,69",,,,,,,,,-,,,,,,,"616,69",,,,,,"1.222,07",,,,,,,,,,
SATUBA-AL,,,,,AL,,,,"601.826,45",,,,,,,,,"19.773,37",,,,,,,"621.599,82",,,,,,"1.191.425,71",,,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,"955,88",,,,,,,,,-,,,,,,,"955,88",,,,,,"1.894,22",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,"1.017,55",,,,,,,,,-,,,,,,,"1.017,55",,,,,,"2.016,43",,,,,,,,,,
VICOSA-AL,,,,,AL,,,,"832,54",,,,,,,,,-,,,,,,,"832,54",,,,,,"1.649,80",,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,"2.464.836,57",,,,,,,,,"630.124,06",,,,,,,"3.094.960,63",,,,,,"6.023.609,76",,,,,,,,,,
ANAMA-AM,,,,,AM,,,,-,,,,,,,,,"2.559,66",,,,,,,"2.559,66",,,,,,"5.207,71",,,,,,,,,,
ANORI-AM,,,,,AM,,,,-,,,,,,,,,"2.559,66",,,,,,,"2.559,66",,,,,,"5.207,71",,,,,,,,,,
AUTAZES-AM,,,,,AM,,,,-,,,,,,,,,"7.259,67",,,,,,,"7.259,67",,,,,,"13.817,02",,,,,,,,,,
