ANADIA-AL,,,,,,,,AL,,,,"827,71",,,,,,,-,,,,,,"827,71",,,,,,"1.566,86",,,,,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,,"1.069,13",,,,,,,-,,,,,,"1.069,13",,,,,,"2.023,87",,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,,"793,22",,,,,,,-,,,,,,"793,22",,,,,,"1.501,57",,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,,"689,76",,,,,,,-,,,,,,"689,76",,,,,,"1.305,72",,,,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,,"931,17",,,,,,,-,,,,,,"931,17",,,,,,"1.762,72",,,,,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,,"724,25",,,,,,,-,,,,,,"724,25",,,,,,"1.371,01",,,,,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,,"896,69",,,,,,,-,,,,,,"896,69",,,,,,"1.697,44",,,,,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,,"689,76",,,,,,,-,,,,,,"689,76",,,,,,"1.305,72",,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,,"1.103,61",,,,,,,-,,,,,,"1.103,61",,,,,,"2.089,15",,,,,,,,,,,,
CAPELA-AL,,,,,,,,AL,,,,"827,71",,,,,,,-,,,,,,"827,71",,,,,,"1.566,86",,,,,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,,"689,76",,,,,,,-,,,,,,"689,76",,,,,,"1.305,72",,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,,"896,69",,,,,,,-,,,,,,"896,69",,,,,,"1.697,44",,,,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,,"113.475,49",,,,,,,"377,12",,,,,,"113.852,61",,,,,,"213.880,48",,,,,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,,"2.203.917,35",,,,,,,"77.422,55",,,,,,"2.281.339,90",,,,,,"4.279.348,17",,,,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,,,"24.950,82",,,,,,,"34.868,77",,,,,,"59.819,59",,,,,,"113.239,03",,,,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,,,"758,73",,,,,,,-,,,,,,"758,73",,,,,,"1.436,29",,,,,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,,,"793,22",,,,,,,-,,,,,,"793,22",,,,,,"1.501,57",,,,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,,,"896,69",,,,,,,-,,,,,,"896,69",,,,,,"1.697,44",,,,,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,,,"689,76",,,,,,,-,,,,,,"689,76",,,,,,"1.305,72",,,,,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,,,"689,76",,,,,,,-,,,,,,"689,76",,,,,,"1.305,72",,,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,,,"2.434,73",,,,,,,"703,92",,,,,,"3.138,65",,,,,,"6.769,76",,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,,,"896,69",,,,,,,-,,,,,,"896,69",,,,,,"1.697,44",,,,,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,,,"689,76",,,,,,,-,,,,,,"689,76",,,,,,"1.305,72",,,,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,,,"896,69",,,,,,,-,,,,,,"896,69",,,,,,"1.697,44",,,,,,,,,,,,
MACEIO-AL,,,,,,,,AL,,,,"91.000,19",,,,,,,"18.650,91",,,,,,"109.651,10",,,,,,"212.391,98",,,,,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,,,"965,66",,,,,,,-,,,,,,"965,66",,,,,,"1.828,00",,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,,,"47.758,18",,,,,,,"33.373,28",,,,,,"81.131,46",,,,,,"163.497,40",,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,,,"896,69",,,,,,,-,,,,,,"896,69",,,,,,"1.697,44",,,,,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,,,"793,22",,,,,,,-,,,,,,"793,22",,,,,,"1.501,57",,,,,,,,,,,,
MURICI-AL,,,,,,,,AL,,,,"931,17",,,,,,,-,,,,,,"931,17",,,,,,"1.762,72",,,,,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,,,"758,73",,,,,,,-,,,,,,"758,73",,,,,,"1.436,29",,,,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,,,"724,25",,,,,,,"3.272,06",,,,,,"3.996,31",,,,,,"14.548,13",,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,,,"793,22",,,,,,,-,,,,,,"793,22",,,,,,"1.501,57",,,,,,,,,,,,
PENEDO-AL,,,,,,,,AL,,,,"424.982,87",,,,,,,"98,51",,,,,,"425.081,38",,,,,,"836.992,47",,,,,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,,,"827,71",,,,,,,-,,,,,,"827,71",,,,,,"1.566,86",,,,,,,,,,,,
PILAR-AL,,,,,,,,AL,,,,"233.189,20",,,,,,,"129.265,65",,,,,,"362.454,85",,,,,,"679.543,52",,,,,,,,,,,,
PINDOBA-AL,,,,,,,,AL,,,,"689,76",,,,,,,-,,,,,,"689,76",,,,,,"1.305,72",,,,,,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,,,"931,17",,,,,,,-,,,,,,"931,17",,,,,,"1.762,72",,,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,,,"689,76",,,,,,,-,,,,,,"689,76",,,,,,"1.305,72",,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,,,"862,20",,,,,,,-,,,,,,"862,20",,,,,,"1.632,15",,,,,,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,,,"427.126,95",,,,,,,"7.091,58",,,,,,"434.218,53",,,,,,"854.058,33",,,,,,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,,,"2.163.390,00",,,,,,,"956,66",,,,,,"2.164.346,66",,,,,,"4.058.886,42",,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,,,"71.498,42",,,,,,,"396,62",,,,,,"71.895,04",,,,,,"132.329,21",,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,,,"724,25",,,,,,,-,,,,,,"724,25",,,,,,"1.371,01",,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,,,"896,69",,,,,,,-,,,,,,"896,69",,,,,,"1.697,44",,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,,,"1.000,15",,,,,,,-,,,,,,"1.000,15",,,,,,"1.893,29",,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,AL,,,,"315.628,89",,,,,,,"193.744,78",,,,,,"509.373,67",,,,,,"958.401,06",,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,AL,,,,"689,76",,,,,,,-,,,,,,"689,76",,,,,,"1.305,72",,,,,,,,,,,,
SATUBA-AL,,,,,,,,AL,,,,"10.599,36",,,,,,,"6.796,27",,,,,,"17.395,63",,,,,,"32.449,12",,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,AL,,,,"1.069,13",,,,,,,-,,,,,,"1.069,13",,,,,,"2.023,87",,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,AL,,,,"1.138,10",,,,,,,-,,,,,,"1.138,10",,,,,,"2.154,44",,,,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICOSA-AL,,,,,,,,AL,,,,"931,17",,,,,,,-,,,,,,"931,17",,,,,,"1.762,72",,,,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,,"6.162.716,00",,,,,,,"507.018,68",,,,,,"6.669.734,68",,,,,,"12.616.985,75",,,,,,,,,,,,
ANAMA-AM,,,,,,,,AM,,,,"70.255,15",,,,,,,"3.045,31",,,,,,"73.300,46",,,,,,"76.251,01",,,,,,,,,,,,
ANORI-AM,,,,,,,,AM,,,,"70.255,15",,,,,,,"3.219,40",,,,,,"73.474,55",,,,,,"76.425,10",,,,,,,,,,,,
AUTAZES-AM,,,,,,,,AM,,,,-,,,,,,,"11.315,02",,,,,,"11.315,02",,,,,,"21.090,37",,,,,,,,,,,,
BERURI-AM,,,,,,,,AM,,,,-,,,,,,,"2.999,46",,,,,,"2.999,46",,,,,,"5.950,01",,,,,,,,,,,,
CAAPIRANGA-AM,,,,,,,,AM,,,,"70.267,44",,,,,,,"147,01",,,,,,"70.414,45",,,,,,"129.650,33",,,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,AM,,,,-,,,,,,,"11.315,02",,,,,,"11.315,02",,,,,,"21.090,37",,,,,,,,,,,,
CAREIRO-AM,,,,,,,,AM,,,,-,,,,,,,"2.999,46",,,,,,"2.999,46",,,,,,"5.950,01",,,,,,,,,,,,
COARI-AM,,,,,,,,AM,,,,"3.580.660,92",,,,,,,"3.355.673,79",,,,,,"6.936.334,71",,,,,,"13.161.656,56",,,,,,,,,,,,
CODAJAS-AM,,,,,,,,AM,,,,"70.267,44",,,,,,,"3.505,28",,,,,,"73.772,72",,,,,,"135.966,94",,,,,,,,,,,,
IRANDUBA-AM,,,,,,,,AM,,,,-,,,,,,,"11.315,02",,,,,,"11.315,02",,,,,,"21.090,37",,,,,,,,,,,,
ITACOATIARA-AM,,,,,,,,AM,,,,-,,,,,,,"11.315,02",,,,,,"11.315,02",,,,,,"21.090,37",,,,,,,,,,,,
ITAPIRANGA-AM,,,,,,,,AM,,,,-,,,,,,,"11.315,02",,,,,,"11.315,02",,,,,,"21.090,37",,,,,,,,,,,,
MANACAPURU-AM,,,,,,,,AM,,,,-,,,,,,,"2.999,46",,,,,,"2.999,46",,,,,,"5.950,01",,,,,,,,,,,,
MANAQUIRI-AM,,,,,,,,AM,,,,-,,,,,,,"2.999,46",,,,,,"2.999,46",,,,,,"5.950,01",,,,,,,,,,,,
MANAUS-AM,,,,,,,,AM,,,,"422.821,25",,,,,,,"323.157,58",,,,,,"745.978,83",,,,,,"1.437.363,59",,,,,,,,,,,,
PARINTINS-AM,,,,,,,,AM,,,,-,,,,,,,"11.315,02",,,,,,"11.315,02",,,,,,"21.090,37",,,,,,,,,,,,
SILVES-AM,,,,,,,,AM,,,,-,,,,,,,"11.315,02",,,,,,"11.315,02",,,,,,"21.090,37",,,,,,,,,,,,
TEFE-AM,,,,,,,,AM,,,,"12,29",,,,,,,"3,32",,,,,,"15,61",,,,,,"73.277,42",,,,,,,,,,,,
URUCARA-AM,,,,,,,,AM,,,,-,,,,,,,"11.315,02",,,,,,"11.315,02",,,,,,"21.090,37",,,,,,,,,,,,
URUCURITUBA-AM,,,,,,,,AM,,,,-,,,,,,,"11.315,02",,,,,,"11.315,02",,,,,,"21.090,37",,,,,,,,,,,,
