ANADIA-AL,AL, 413.21 , -   , 413.21 , 741.13 
ATALAIA-AL,AL, 533.73 , -   , 533.73 , 957.29 
BARRA DE SANTO ANTONIO-AL,AL, 395.99 , -   , 395.99 , 710.24 
BARRA DE SAO MIGUEL-AL,AL, 344.34 , -   , 344.34 , 617.60 
BOCA DA MATA-AL,AL, 464.86 , -   , 464.86 , 833.77 
BRANQUINHA-AL,AL, 361.55 , -   , 361.55 , 648.48 
CAJUEIRO-AL,AL, 447.64 , -   , 447.64 , 802.88 
CAMPESTRE-AL,AL, 344.34 , -   , 344.34 , 617.60 
CAMPO ALEGRE-AL,AL, 550.94 , -   , 550.94 , 988.16 
CAPELA-AL,AL, 413.21 , -   , 413.21 , 741.13 
CHA PRETA-AL,AL, 344.34 , -   , 344.34 , 617.60 
COLONIA LEOPOLDINA-AL,AL, 447.64 , -   , 447.64 , 802.88 
COQUEIRO SECO-AL,AL," 748,890.71 ", 106.70 ," 748,997.41 "," 1,313,833.95 "
CORURIPE-AL,AL," 551,298.72 "," 40,449.11 "," 591,747.83 "," 982,629.50 "
FELIZ DESERTO-AL,AL," 12,455.93 "," 17,407.16 "," 29,863.09 "," 53,562.14 "
FLEXEIRAS-AL,AL, 378.77 , -   , 378.77 , 679.36 
IBATEGUARA-AL,AL, 395.99 , -   , 395.99 , 710.24 
IGREJA NOVA-AL,AL, 447.64 , -   , 447.64 , 802.88 
JACUIPE-AL,AL, 344.34 , -   , 344.34 , 617.60 
JAPARATINGA-AL,AL, 344.34 , -   , 344.34 , 617.60 
JEQUIA DA PRAIA-AL,AL, 378.77 , -   , 378.77 , 679.36 
JOAQUIM GOMES-AL,AL, 447.64 , -   , 447.64 , 802.88 
JUNDIA-AL,AL, 344.34 , -   , 344.34 , 617.60 
JUNQUEIRO-AL,AL, 447.64 , -   , 447.64 , 802.88 
MACEIO-AL,AL," 760,417.50 "," 18,128.91 "," 778,546.41 "," 1,371,694.21 "
MARAGOGI-AL,AL, 482.07 , -   , 482.07 , 864.64 
MARECHAL DEODORO-AL,AL," 1,013,456.67 "," 29,987.22 "," 1,043,443.89 "," 1,838,345.51 "
MATRIZ DE CAMARAGIBE-AL,AL, 447.64 , -   , 447.64 , 802.88 
MESSIAS-AL,AL, 395.99 , -   , 395.99 , 710.24 
MURICI-AL,AL, 464.86 , -   , 464.86 , 833.77 
NOVO LINO-AL,AL, 378.77 , -   , 378.77 , 679.36 
PARIPUEIRA-AL,AL," 749,173.30 "," 6,659.79 "," 755,833.09 "," 1,326,133.52 "
PASSO DE CAMARAGIBE-AL,AL, 395.99 , -   , 395.99 , 710.24 
PENEDO-AL,AL," 262,353.36 ", 83.65 ," 262,437.01 "," 476,491.93 "
PIACABUCU-AL,AL, 413.21 , -   , 413.21 , 741.13 
PILAR-AL,AL," 876,986.19 "," 201,871.75 "," 1,078,857.94 "," 1,877,072.03 "
PINDOBA-AL,AL, 344.34 , -   , 344.34 , 617.60 
PORTO CALVO-AL,AL, 464.86 , -   , 464.86 , 833.77 
PORTO DE PEDRAS-AL,AL, 344.34 , -   , 344.34 , 617.60 
PORTO REAL DO COLEGIO-AL,AL, 430.42 , -   , 430.42 , 772.00 
RIO LARGO-AL,AL," 264,620.12 "," 8,867.89 "," 273,488.01 "," 495,274.77 "
ROTEIRO-AL,AL," 752,389.69 ", 236.89 ," 752,626.58 "," 1,318,065.87 "
SANTA LUZIA DO NORTE-AL,AL, 16.45 , -   , 16.45 , 16.45 
SANTANA DO MUNDAU-AL,AL, 361.55 , -   , 361.55 , 648.48 
SAO JOSE DA LAJE-AL,AL, 447.64 , -   , 447.64 , 802.88 
SAO LUIS DO QUITUNDE-AL,AL, 499.29 , -   , 499.29 , 895.52 
SAO MIGUEL DOS CAMPOS-AL,AL," 933,063.67 "," 166,022.28 "," 1,099,085.95 "," 1,925,366.94 "
SAO MIGUEL DOS MILAGRES-AL,AL, 344.34 , -   , 344.34 , 617.60 
SATUBA-AL,AL," 12,321.06 "," 7,691.67 "," 20,012.73 "," 40,616.03 "
TEOTONIO VILELA-AL,AL, 533.73 , -   , 533.73 , 957.29 
UNIAO DOS PALMARES-AL,AL, 568.16 , -   , 568.16 ," 1,019.05 "
VICOSA-AL,AL, 464.86 , -   , 464.86 , 833.77 
ALAGOAS  TOTAL,," 6,953,816.69 "," 497,513.02 "," 7,451,329.71 "," 13,048,469.83 "
ANAMA-AM,AM," 32,350.02 "," 2,501.64 "," 34,851.66 "," 59,576.17 "
ANORI-AM,AM," 30,133.59 "," 2,610.82 "," 32,744.41 "," 57,399.56 "
AUTAZES-AM,AM, -   ," 8,855.90 "," 8,855.90 "," 12,761.24 "
BERURI-AM,AM, -   ," 2,282.95 "," 2,282.95 "," 3,604.34 "
CAAPIRANGA-AM,AM," 260,631.92 ", 174.77 ," 260,806.69 "," 488,194.09 "
CAREIRO DA VARZEA-AM,AM, -   ," 8,855.90 "," 8,855.90 "," 12,761.24 "
CAREIRO-AM,AM, -   ," 2,282.95 "," 2,282.95 "," 3,604.34 "
COARI-AM,AM," 3,124,760.05 "," 2,274,012.95 "," 5,398,773.00 "," 8,842,618.21 "
CODAJAS-AM,AM," 30,133.59 "," 2,801.59 "," 32,935.18 "," 57,780.87 "
IRANDUBA-AM,AM, -   ," 8,855.90 "," 8,855.90 "," 12,772.12 "
ITACOATIARA-AM,AM, -   ," 8,855.90 "," 8,855.90 "," 12,761.24 "
ITAPIRANGA-AM,AM, -   ," 8,855.90 "," 8,855.90 "," 12,761.24 "
MANACAPURU-AM,AM, -   ," 2,282.95 "," 2,282.95 "," 3,604.34 "
MANAQUIRI-AM,AM, -   ," 2,282.95 "," 2,282.95 "," 3,604.34 "
MANAUS-AM,AM," 26,965.60 "," 244,534.93 "," 271,500.53 "," 366,112.21 "
PARINTINS-AM,AM, -   ," 8,855.90 "," 8,855.90 "," 12,761.24 "
SILVES-AM,AM, -   ," 8,855.90 "," 8,855.90 "," 12,761.24 "
TEFE-AM,AM," 312,721.68 "," 61,113.02 "," 373,834.70 "," 676,885.75 "
URUCARA-AM,AM, -   ," 8,855.90 "," 8,855.90 "," 12,761.24 "
URUCURITUBA-AM,AM, -   ," 8,855.90 "," 8,855.90 "," 12,761.24 "
AMAZONAS  TOTAL,," 3,817,696.45 "," 2,676,584.62 "," 6,494,281.07 "," 10,677,846.26 "
LARANJAL DO JARI-AP,AP, -   ," 8,855.90 "," 8,855.90 "," 12,761.24 "
MACAPA-AP,AP, -   ," 8,855.90 "," 8,855.90 "," 12,761.24 "
