ANADIA-AL,,,AL,,,,"741,94",,,,,,-,,,,,"741,94",,,,,"741,94",,,,,,,,,
ATALAIA-AL,,,AL,,,,"958,34",,,,,,-,,,,,"958,34",,,,,"958,34",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,,"649,20",,,,,,-,,,,,"649,20",,,,,"649,20",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,,"618,28",,,,,,-,,,,,"618,28",,,,,"618,28",,,,,,,,,
BOCA DA MATA-AL,,,AL,,,,"834,69",,,,,,-,,,,,"834,69",,,,,"834,69",,,,,,,,,
BRANQUINHA-AL,,,AL,,,,"649,20",,,,,,-,,,,,"649,20",,,,,"649,20",,,,,,,,,
CAJUEIRO-AL,,,AL,,,,"772,86",,,,,,-,,,,,"772,86",,,,,"772,86",,,,,,,,,
CAMPESTRE-AL,,,AL,,,,"618,28",,,,,,-,,,,,"618,28",,,,,"618,28",,,,,,,,,
CAMPO ALEGRE-AL,,,AL,,,,"958,34",,,,,,-,,,,,"958,34",,,,,"958,34",,,,,,,,,
CAPELA-AL,,,AL,,,,"772,86",,,,,,-,,,,,"772,86",,,,,"772,86",,,,,,,,,
CHA PRETA-AL,,,AL,,,,"618,28",,,,,,-,,,,,"618,28",,,,,"618,28",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,,"741,94",,,,,,-,,,,,"741,94",,,,,"741,94",,,,,,,,,
COQUEIRO SECO-AL,,,AL,,,,"1.104,52",,,,,,"313,62",,,,,"1.418,14",,,,,"1.418,14",,,,,,,,,
CORURIPE-AL,,,AL,,,,"1.160.179,42",,,,,,"59.451,04",,,,,"1.219.630,46",,,,,"1.219.630,46",,,,,,,,,
FELIZ DESERTO-AL,,,AL,,,,"22.440,25",,,,,,"30.757,17",,,,,"53.197,42",,,,,"53.197,42",,,,,,,,,
FLEXEIRAS-AL,,,AL,,,,"649,20",,,,,,-,,,,,"649,20",,,,,"649,20",,,,,,,,,
IBATEGUARA-AL,,,AL,,,,"711,03",,,,,,-,,,,,"711,03",,,,,"711,03",,,,,,,,,
IGREJA NOVA-AL,,,AL,,,,"803,77",,,,,,-,,,,,"803,77",,,,,"803,77",,,,,,,,,
JACUIPE-AL,,,AL,,,,"618,28",,,,,,-,,,,,"618,28",,,,,"618,28",,,,,,,,,
JAPARATINGA-AL,,,AL,,,,"618,28",,,,,,-,,,,,"618,28",,,,,"618,28",,,,,,,,,
JEQUIA DA PRAIA-AL,,,AL,,,,"3.796,02",,,,,,"1.308,68",,,,,"5.104,70",,,,,"5.104,70",,,,,,,,,
JOAQUIM GOMES-AL,,,AL,,,,"803,77",,,,,,-,,,,,"803,77",,,,,"803,77",,,,,,,,,
JUNDIA-AL,,,AL,,,,"618,28",,,,,,-,,,,,"618,28",,,,,"618,28",,,,,,,,,
JUNQUEIRO-AL,,,AL,,,,"803,77",,,,,,-,,,,,"803,77",,,,,"803,77",,,,,,,,,
MACEIO-AL,,,AL,,,,"84.060,12",,,,,,"19.465,21",,,,,"103.525,33",,,,,"103.525,33",,,,,,,,,
MARAGOGI-AL,,,AL,,,,"803,77",,,,,,-,,,,,"803,77",,,,,"803,77",,,,,,,,,
MARECHAL DEODORO-AL,,,AL,,,,"142.590,63",,,,,,"111.440,13",,,,,"254.030,76",,,,,"254.030,76",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,AL,,,,"834,69",,,,,,-,,,,,"834,69",,,,,"834,69",,,,,,,,,
MESSIAS-AL,,,AL,,,,"649,20",,,,,,-,,,,,"649,20",,,,,"649,20",,,,,,,,,
MURICI-AL,,,AL,,,,"834,69",,,,,,-,,,,,"834,69",,,,,"834,69",,,,,,,,,
NOVO LINO-AL,,,AL,,,,"649,20",,,,,,-,,,,,"649,20",,,,,"649,20",,,,,,,,,
PARIPUEIRA-AL,,,AL,,,,"618,28",,,,,,"10.118,01",,,,,"10.736,29",,,,,"10.736,29",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,AL,,,,"680,11",,,,,,-,,,,,"680,11",,,,,"680,11",,,,,,,,,
PENEDO-AL,,,AL,,,,"1.020,17",,,,,,-,,,,,"1.020,17",,,,,"1.020,17",,,,,,,,,
PIACABUCU-AL,,,AL,,,,"741,94",,,,,,-,,,,,"741,94",,,,,"741,94",,,,,,,,,
