ANADIA-AL,,,AL,,,,"815,61",,,,,-,,,,,,"815,61",,,,"815,61",,,,,,,,,,,,
ATALAIA-AL,,,AL,,,,"1.053,50",,,,,-,,,,,,"1.053,50",,,,"1.053,50",,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,,"713,66",,,,,-,,,,,,"713,66",,,,"713,66",,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,,"679,67",,,,,-,,,,,,"679,67",,,,"679,67",,,,,,,,,,,,
BOCA DA MATA-AL,,,AL,,,,"917,56",,,,,-,,,,,,"917,56",,,,"917,56",,,,,,,,,,,,
BRANQUINHA-AL,,,AL,,,,"713,66",,,,,-,,,,,,"713,66",,,,"713,66",,,,,,,,,,,,
CAJUEIRO-AL,,,AL,,,,"849,59",,,,,-,,,,,,"849,59",,,,"849,59",,,,,,,,,,,,
CAMPESTRE-AL,,,AL,,,,"679,67",,,,,-,,,,,,"679,67",,,,"679,67",,,,,,,,,,,,
CAMPO ALEGRE-AL,,,AL,,,,"1.053,50",,,,,-,,,,,,"1.053,50",,,,"1.053,50",,,,,,,,,,,,
CAPELA-AL,,,AL,,,,"849,59",,,,,-,,,,,,"849,59",,,,"849,59",,,,,,,,,,,,
CHA PRETA-AL,,,AL,,,,"679,67",,,,,-,,,,,,"679,67",,,,"679,67",,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,,"815,61",,,,,-,,,,,,"815,61",,,,"815,61",,,,,,,,,,,,
COQUEIRO SECO-AL,,,AL,,,,"875,79",,,,,"126,50",,,,,,"1.002,29",,,,"1.002,29",,,,,,,,,,,,
CORURIPE-AL,,,AL,,,,"792.815,52",,,,,"61.637,10",,,,,,"854.452,62",,,,"854.452,62",,,,,,,,,,,,
FELIZ DESERTO-AL,,,AL,,,,"24.668,32",,,,,"33.811,01",,,,,,"58.479,33",,,,"58.479,33",,,,,,,,,,,,
FLEXEIRAS-AL,,,AL,,,,"713,66",,,,,-,,,,,,"713,66",,,,"713,66",,,,,,,,,,,,
IBATEGUARA-AL,,,AL,,,,"781,62",,,,,-,,,,,,"781,62",,,,"781,62",,,,,,,,,,,,
IGREJA NOVA-AL,,,AL,,,,"883,58",,,,,-,,,,,,"883,58",,,,"883,58",,,,,,,,,,,,
JACUIPE-AL,,,AL,,,,"679,67",,,,,-,,,,,,"679,67",,,,"679,67",,,,,,,,,,,,
JAPARATINGA-AL,,,AL,,,,"679,67",,,,,-,,,,,,"679,67",,,,"679,67",,,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,AL,,,,"747,64",,,,,-,,,,,,"747,64",,,,"747,64",,,,,,,,,,,,
JOAQUIM GOMES-AL,,,AL,,,,"883,58",,,,,-,,,,,,"883,58",,,,"883,58",,,,,,,,,,,,
JUNDIA-AL,,,AL,,,,"679,67",,,,,-,,,,,,"679,67",,,,"679,67",,,,,,,,,,,,
JUNQUEIRO-AL,,,AL,,,,"883,58",,,,,-,,,,,,"883,58",,,,"883,58",,,,,,,,,,,,
MACEIO-AL,,,AL,,,,"78.644,74",,,,,"17.518,95",,,,,,"96.163,69",,,,"96.163,69",,,,,,,,,,,,
MARAGOGI-AL,,,AL,,,,"883,58",,,,,-,,,,,,"883,58",,,,"883,58",,,,,,,,,,,,
MARECHAL DEODORO-AL,,,AL,,,,"103.442,51",,,,,"86.440,25",,,,,,"189.882,76",,,,"189.882,76",,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,AL,,,,"917,56",,,,,-,,,,,,"917,56",,,,"917,56",,,,,,,,,,,,
MESSIAS-AL,,,AL,,,,"713,66",,,,,-,,,,,,"713,66",,,,"713,66",,,,,,,,,,,,
MURICI-AL,,,AL,,,,"917,56",,,,,-,,,,,,"917,56",,,,"917,56",,,,,,,,,,,,
