ANADIA-AL,AL,440.72,-,440.72,6271.75
ATALAIA-AL,AL,569.26,-,569.26,8101.03
BARRA DE SANTO ANTONIO-AL,AL,422.35,-,422.35,6010.41
BARRA DE SAO MIGUEL-AL,AL,367.27,-,367.27,5226.44
BOCA DA MATA-AL,AL,495.8,-,495.8,7055.7
BRANQUINHA-AL,AL,385.63,-,385.63,5487.74
CAJUEIRO-AL,AL,477.45,-,477.45,6794.41
CAMPESTRE-AL,AL,367.27,-,367.27,5226.44
CAMPO ALEGRE-AL,AL,587.62,-,587.62,8362.36
CAPELA-AL,AL,440.72,-,440.72,6271.75
CHA PRETA-AL,AL,367.27,-,367.27,5226.44
COLONIA LEOPOLDINA-AL,AL,477.45,-,477.45,6794.41
COQUEIRO SECO-AL,AL,56284.02,99.96,56383.98,880670.62
CORURIPE-AL,AL,793105.48,38683.44,831788.92,16564143.5
FELIZ DESERTO-AL,AL,13285.22,18566.09,31851.31,453268.49
FLEXEIRAS-AL,AL,403.99,-,403.99,5749.1
IBATEGUARA-AL,AL,422.35,-,422.35,6010.41
IGREJA NOVA-AL,AL,477.45,-,477.45,6794.41
JACUIPE-AL,AL,367.27,-,367.27,5226.44
JAPARATINGA-AL,AL,367.27,-,367.27,5226.44
JEQUIA DA PRAIA-AL,AL,403.99,-,403.99,9313.98
JOAQUIM GOMES-AL,AL,477.45,-,477.45,6794.41
JUNDIA-AL,AL,367.27,-,367.27,5226.44
JUNQUEIRO-AL,AL,477.45,-,477.45,6794.41
MACEIO-AL,AL,47076.36,12686.46,59762.82,888467.83
MARAGOGI-AL,AL,514.17,-,514.17,7317.04
MARECHAL DEODORO-AL,AL,765181.35,23891.44,789072.79,12369588.1
MATRIZ DE CAMARAGIBE-AL,AL,477.45,-,477.45,6794.41
MESSIAS-AL,AL,422.35,-,422.35,6010.41
MURICI-AL,AL,495.8,-,495.8,7055.7
NOVO LINO-AL,AL,403.99,-,403.99,5749.1
PARIPUEIRA-AL,AL,2731721.09,1896.91,2733618,3087746.99
PASSO DE CAMARAGIBE-AL,AL,422.35,-,422.35,6010.41
PENEDO-AL,AL,227223.76,1.57,227225.33,3460316.88
PIACABUCU-AL,AL,440.72,-,440.72,6271.75
PILAR-AL,AL,89159.27,50219.15,139378.42,3214507.76
PINDOBA-AL,AL,367.27,-,367.27,5226.44
PORTO CALVO-AL,AL,495.8,-,495.8,7055.7
PORTO DE PEDRAS-AL,AL,367.27,-,367.27,5226.44
PORTO REAL DO COLEGIO-AL,AL,459.08,-,459.08,6533.1
RIO LARGO-AL,AL,228858.04,1249.43,230107.47,3499180.6
ROTEIRO-AL,AL,770859.85,310.93,771170.78,15677360.27
SANTA LUZIA DO NORTE-AL,AL,399.55,19.67,419.22,361830.05
SANTANA DO MUNDAU-AL,AL,385.63,-,385.63,5487.74
SAO JOSE DA LAJE-AL,AL,477.45,-,477.45,6794.41
SAO LUIS DO QUITUNDE-AL,AL,532.53,-,532.53,7578.37
SAO MIGUEL DOS CAMPOS-AL,AL,852226.02,65627.76,917853.78,15146575.75
SAO MIGUEL DOS MILAGRES-AL,AL,367.27,-,367.27,5226.44
SATUBA-AL,AL,8426.04,5162.38,13588.42,412941.2
TEOTONIO VILELA-AL,AL,569.26,-,569.26,8101.03
UNIAO DOS PALMARES-AL,AL,605.99,-,605.99,8623.67
VICOSA-AL,AL,495.8,-,495.8,7055.7
ALAGOAS  TOTAL,,6601269.53,218415.19,6819684.72,76268680.82
ANAMA-AM,AM,32774.07,1598.83,34372.9,538263.23
ANORI-AM,AM,32774.07,1705.09,34479.16,540687.15
AUTAZES-AM,AM,-,4516.05,4516.05,77367.83
BERURI-AM,AM,-,1383.64,1383.64,23472.58
CAAPIRANGA-AM,AM,32774.07,178.6,32952.67,513692.76
CAREIRO DA VARZEA-AM,AM,-,4516.05,4516.05,77367.83
CAREIRO-AM,AM,-,1383.64,1383.64,23472.58
COARI-AM,AM,1881966.86,1705781.92,3587748.78,53982043.63
CODAJAS-AM,AM,32774.07,1867.16,34641.23,538281.39
IRANDUBA-AM,AM,-,4516.05,4516.05,77367.83
ITACOATIARA-AM,AM,-,4516.05,4516.05,77367.83
ITAPIRANGA-AM,AM,-,4516.05,4516.05,77367.83
MANACAPURU-AM,AM,-,1383.64,1383.64,23472.58
MANAQUIRI-AM,AM,-,1383.64,1383.64,23472.58
MANAUS-AM,AM,226618.03,151034.15,377652.18,6126363.06
PARINTINS-AM,AM,-,4516.05,4516.05,77367.83
SILVES-AM,AM,-,4516.05,4516.05,77367.83
TEFE-AM,AM,118214.63,42557.26,160771.89,2756167.44
URUCARA-AM,AM,-,4516.05,4516.05,77367.83
URUCURITUBA-AM,AM,-,4516.05,4516.05,77367.83
AMAZONAS  TOTAL,,2357895.8,1950902.02,4308797.82,65785699.45
LARANJAL DO JARI-AP,AP,-,4516.05,4516.05,77367.83
MACAPA-AP,AP,-,4516.05,4516.05,77367.83
MAZAGAO-AP,AP,-,4516.05,4516.05,77367.83
AMAPA  TOTAL,,                         -   ,13548.15,13548.15,232103.49
ACAJUTIBA-BA,BA,1356.24,-,1356.24,17248.81
ADUSTINA-BA,BA,1356.24,-,1356.24,17248.81
AGUA FRIA-BA,BA,1356.24,-,1356.24,17248.81
AIQUARA-BA,BA,1179.34,-,1179.34,14998.96
ALAGOINHAS-BA,BA,475589.52,166859.04,642448.56,6321854.78
ALCOBACA-BA,BA,1533.15,-,1533.15,19498.68
ALMADINA-BA,BA,1179.34,-,1179.34,14998.96
AMARGOSA-BA,BA,1710.05,-,1710.05,21748.54
AMELIA RODRIGUES-BA,BA,1592.11,-,1592.11,20248.61
ANAGE-BA,BA,1592.11,-,1592.11,20248.61
ANGUERA-BA,BA,1238.31,-,1238.31,15748.91
ANTAS-BA,BA,1415.21,-,1415.21,17998.77
ANTONIO CARDOSO-BA,BA,1238.31,-,1238.31,15748.91
APORA-BA,BA,1415.21,-,1415.21,17998.77
APUAREMA-BA,BA,1179.34,-,1179.34,14998.96
ARACAS-BA,BA,275136.19,162194.38,437330.57,6938265.21
ARACI-BA,BA,1886.95,-,1886.95,23998.37
ARAMARI-BA,BA,1428.28,79.78,1508.06,28003.41
ARATACA-BA,BA,1238.31,-,1238.31,15748.91
ARATUIPE-BA,BA,1179.34,-,1179.34,14998.96
AURELINO LEAL-BA,BA,1297.28,-,1297.28,16498.87
BAIXA GRANDE-BA,BA,1533.15,-,1533.15,19498.68
BANZAE-BA,BA,1238.31,-,1238.31,15748.91
BARRA DO CHOCA-BA,BA,1710.05,-,1710.05,21748.54
BARRA DO ROCHA-BA,BA,1179.34,-,1179.34,14998.96
BARRO PRETO-BA,BA,1179.34,-,1179.34,14998.96
BARROCAS-BA,BA,1356.24,-,1356.24,17248.81
BELMONTE-BA,BA,1533.15,-,1533.15,19498.68
BELO CAMPO-BA,BA,1415.21,-,1415.21,17998.77
BIRITINGA-BA,BA,1356.24,-,1356.24,17248.81
BOA NOVA-BA,BA,1356.24,-,1356.24,17248.81
BOA VISTA DO TUPIM-BA,BA,1415.21,-,1415.21,17998.77
BOM JESUS DA SERRA-BA,BA,1238.31,-,1238.31,15748.91
BREJOES-BA,BA,1356.24,-,1356.24,17248.81
BUERAREMA-BA,BA,1474.18,-,1474.18,18748.71
CAATIBA-BA,BA,1238.31,-,1238.31,15748.91
CABACEIRAS DO PARAGUACU-BA,BA,1415.21,-,1415.21,17998.77
CACHOEIRA-BA,BA,1710.05,-,1710.05,21748.54
CAEM-BA,BA,1238.31,-,1238.31,15748.91
CAETANOS-BA,BA,1297.28,-,1297.28,16498.87
CAIRU-BA,BA,40741.04,470222.92,510963.96,6478036.92
CAMACAN-BA,BA,1651.08,-,1651.08,20998.58
CAMACARI-BA,BA,229741.46,156781.68,386523.14,5835262.96
CAMAMU-BA,BA,1710.05,-,1710.05,21748.54
CANAVIEIRAS-BA,BA,1710.05,-,1710.05,21748.54
CANDEAL-BA,BA,1179.34,-,1179.34,14998.96
CANDEIAS-BA,BA,386303.02,286125.22,672428.24,9928477.04
CANDIDO SALES-BA,BA,1592.11,-,1592.11,20248.61
CANSANCAO-BA,BA,1710.05,-,1710.05,21748.54
CANUDOS-BA,BA,1356.24,-,1356.24,17248.81
CAPELA DO ALTO ALEGRE-BA,BA,1238.31,-,1238.31,15748.91
CAPIM GROSSO-BA,BA,1592.11,-,1592.11,20248.61
CARAVELAS-BA,BA,1533.15,-,1533.15,19498.68
CARDEAL DA SILVA-BA,BA,100947.59,28535.04,129482.63,1560215.13
CASTRO ALVES-BA,BA,1592.11,-,1592.11,20248.61
CATU-BA,BA,201787.25,103879.21,305666.46,4333510.08
CICERO DANTAS-BA,BA,1710.05,-,1710.05,21748.54
CIPO-BA,BA,1356.24,-,1356.24,17248.81
COARACI-BA,BA,1533.15,-,1533.15,19498.68
CONCEICAO DA FEIRA-BA,BA,1533.15,-,1533.15,19498.68
CONCEICAO DO ALMEIDA-BA,BA,1415.21,-,1415.21,17998.77
CONCEICAO DO COITE-BA,BA,1945.92,-,1945.92,24748.33
CONCEICAO DO JACUIPE-BA,BA,1651.08,-,1651.08,20998.58
CONDE-BA,BA,2521.63,637.57,3159.2,66920.18
CORACAO DE MARIA-BA,BA,1533.15,-,1533.15,19498.68
CORONEL JOAO SA-BA,BA,1415.21,-,1415.21,17998.77
CRAVOLANDIA-BA,BA,1179.34,-,1179.34,14998.96
CRISOPOLIS-BA,BA,1533.15,-,1533.15,19498.68
CRUZ DAS ALMAS-BA,BA,1945.92,-,1945.92,24748.33
DARIO MEIRA-BA,BA,1297.28,-,1297.28,16498.87
DIAS D'AVILA-BA,BA,2004.89,-,2004.89,25498.29
