ANADIA-AL,,,,AL,,,,,"480,74",,,,,,,,-,,,,,,"480,74",,,,,,"2.997,30",,,,,,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"600,93",,,,,,,,-,,,,,,"600,93",,,,,,"3.746,62",,,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"400,62",,,,,,,,-,,,,,,"400,62",,,,,,"2.497,74",,,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"400,62",,,,,,,,-,,,,,,"400,62",,,,,,"2.497,74",,,,,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"520,81",,,,,,,,-,,,,,,"520,81",,,,,,"3.247,08",,,,,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"400,62",,,,,,,,-,,,,,,"400,62",,,,,,"2.497,74",,,,,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"480,74",,,,,,,,-,,,,,,"480,74",,,,,,"2.997,30",,,,,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"400,62",,,,,,,,-,,,,,,"400,62",,,,,,"2.497,74",,,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"600,93",,,,,,,,-,,,,,,"600,93",,,,,,"3.746,62",,,,,,,,,,,,,
CAPELA-AL,,,,AL,,,,,"520,81",,,,,,,,-,,,,,,"520,81",,,,,,"3.247,08",,,,,,,,,,,,,
CHAPRETA-AL,,,,AL,,,,,"400,62",,,,,,,,-,,,,,,"400,62",,,,,,"2.497,74",,,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"480,74",,,,,,,,-,,,,,,"480,74",,,,,,"2.997,30",,,,,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"400,62",,,,,,,,-,,,,,,"400,62",,,,,,"2.497,74",,,,,,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"47.594,94",,,,,,,,"20.285,06",,,,,,"67.880,00",,,,,,"416.027,34",,,,,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"14.115,99",,,,,,,,"19.347,73",,,,,,"33.463,72",,,,,,"208.635,40",,,,,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"440,68",,,,,,,,-,,,,,,"440,68",,,,,,"2.747,53",,,,,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"460,71",,,,,,,,-,,,,,,"460,71",,,,,,"2.872,41",,,,,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,,"500,78",,,,,,,,-,,,,,,"500,78",,,,,,"3.122,18",,,,,,,,,,,,,
JACUIPE-AL,,,,AL,,,,,"400,62",,,,,,,,-,,,,,,"400,62",,,,,,"2.497,74",,,,,,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,,"400,62",,,,,,,,-,,,,,,"400,62",,,,,,"2.497,74",,,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,,"500,78",,,,,,,,-,,,,,,"500,78",,,,,,"3.122,18",,,,,,,,,,,,,
JUNDIA-AL,,,,AL,,,,,"400,62",,,,,,,,-,,,,,,"400,62",,,,,,"2.497,74",,,,,,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,,"520,81",,,,,,,,-,,,,,,"520,81",,,,,,"3.247,08",,,,,,,,,,,,,
MACEIO-AL,,,,AL,,,,,"28.415,25",,,,,,,,"20.148,29",,,,,,"48.563,54",,,,,,"265.847,81",,,,,,,,,,,,,
MARAGOGI-AL,,,,AL,,,,,"480,74",,,,,,,,-,,,,,,"480,74",,,,,,"2.997,30",,,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,,"65.114,00",,,,,,,,"38.185,67",,,,,,"103.299,67",,,,,,"539.253,15",,,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,,"520,81",,,,,,,,-,,,,,,"520,81",,,,,,"3.247,08",,,,,,,,,,,,,
MESSIAS-AL,,,,AL,,,,,"420,65",,,,,,,,-,,,,,,"420,65",,,,,,"2.622,63",,,,,,,,,,,,,
MURICI-AL,,,,AL,,,,,"520,81",,,,,,,,-,,,,,,"520,81",,,,,,"3.247,08",,,,,,,,,,,,,
NOVO LINO-AL,,,,AL,,,,,"420,65",,,,,,,,-,,,,,,"420,65",,,,,,"2.622,63",,,,,,,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,,"400,62",,,,,,,,-,,,,,,"400,62",,,,,,"2.497,74",,,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,,"440,68",,,,,,,,-,,,,,,"440,68",,,,,,"2.747,53",,,,,,,,,,,,,
PENEDO-AL,,,,AL,,,,,"640,99",,,,,,,,-,,,,,,"640,99",,,,,,"3.996,39",,,,,,,,,,,,,
PIACABUCU-AL,,,,AL,,,,,"460,71",,,,,,,,-,,,,,,"460,71",,,,,,"2.872,41",,,,,,,,,,,,,
PILAR-AL,,,,AL,,,,,"93.291,98",,,,,,,,"44.162,62",,,,,,"137.454,60",,,,,,"907.643,33",,,,,,,,,,,,,
PINDOBA-AL,,,,AL,,,,,"400,62",,,,,,,,-,,,,,,"400,62",,,,,,"2.497,74",,,,,,,,,,,,,
PORTO CALVO-AL,,,,AL,,,,,"540,84",,,,,,,,-,,,,,,"540,84",,,,,,"3.371,98",,,,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,,,"420,65",,,,,,,,-,,,,,,"420,65",,,,,,"2.622,63",,,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,,,"480,74",,,,,,,,-,,,,,,"480,74",,,,,,"2.997,30",,,,,,,,,,,,,
RIO LARGO-AL,,,,AL,,,,,"6.552,82",,,,,,,,"3.800,22",,,,,,"10.353,04",,,,,,"22.998,24",,,,,,,,,,,,,
ROTEIRO-AL,,,,AL,,,,,"705,84",,,,,,,,"196,87",,,,,,"902,71",,,,,,"6.040,57",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
