ANADIA-AL,,,AL,,,"421,05",,,,,,,-,,,,,,,"421,05",,,,,,"3.020,55",,,,,,,,,,,,,
ATALAIA-AL,,,AL,,,"543,86",,,,,,,-,,,,,,,"543,86",,,,,,"3.902,40",,,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,"368,42",,,,,,,-,,,,,,,"368,42",,,,,,"2.643,26",,,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,"350,88",,,,,,,-,,,,,,,"350,88",,,,,,"2.518,26",,,,,,,,,,,,,
BOCA DA MATA-AL,,,AL,,,"473,68",,,,,,,-,,,,,,,"473,68",,,,,,"3.397,85",,,,,,,,,,,,,
BRANQUINHA-AL,,,AL,,,"368,42",,,,,,,-,,,,,,,"368,42",,,,,,"2.643,26",,,,,,,,,,,,,
CAJUEIRO-AL,,,AL,,,"438,60",,,,,,,-,,,,,,,"438,60",,,,,,"3.147,82",,,,,,,,,,,,,
CAMPESTRE-AL,,,AL,,,"350,88",,,,,,,-,,,,,,,"350,88",,,,,,"2.518,26",,,,,,,,,,,,,
CAMPO ALEGRE-AL,,,AL,,,"543,86",,,,,,,-,,,,,,,"543,86",,,,,,"3.902,40",,,,,,,,,,,,,
CAPELA-AL,,,AL,,,"438,60",,,,,,,-,,,,,,,"438,60",,,,,,"3.147,82",,,,,,,,,,,,,
CHA PRETA-AL,,,AL,,,"350,88",,,,,,,-,,,,,,,"350,88",,,,,,"2.518,26",,,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,"421,05",,,,,,,-,,,,,,,"421,05",,,,,,"3.020,55",,,,,,,,,,,,,
COQUEIRO SECO-AL,,,AL,,,"350,88",,,,,,,-,,,,,,,"350,88",,,,,,"2.518,26",,,,,,,,,,,,,
CORURIPE-AL,,,AL,,,"711.934,50",,,,,,,"21.850,80",,,,,,,"733.785,30",,,,,,"3.243.691,46",,,,,,,,,,,,,
