ANADIA,,,AL,,,,,,"26,78",,,,,,-,,,,,,,"26,78",,,,,,,"3.384,09",,,,,,,,
ATALAIA,,,AL,,,,,,"34,59",,,,,,-,,,,,,,"34,59",,,,,,,"4.371,14",,,,,,,,
BARRA DE SANTO ANTONIO,,,AL,,,,,,"23,43",,,,,,-,,,,,,,"23,43",,,,,,,"2.961,09",,,,,,,,
BARRA DE SAO MIGUEL,,,AL,,,,,,"22,31",,,,,,-,,,,,,,"22,31",,,,,,,"2.820,08",,,,,,,,
BOCA DA MATA,,,AL,,,,,,"30,12",,,,,,-,,,,,,,"30,12",,,,,,,"3.807,11",,,,,,,,
BRANQUINHA,,,AL,,,,,,"23,43",,,,,,-,,,,,,,"23,43",,,,,,,"2.961,09",,,,,,,,
CAJUEIRO,,,AL,,,,,,"27,89",,,,,,-,,,,,,,"27,89",,,,,,,"3.525,09",,,,,,,,
CAMPESTRE,,,AL,,,,,,"22,31",,,,,,-,,,,,,,"22,31",,,,,,,"2.820,08",,,,,,,,
CAMPO ALEGRE,,,AL,,,,,,"34,59",,,,,,-,,,,,,,"34,59",,,,,,,"4.371,14",,,,,,,,
CAPELA,,,AL,,,,,,"27,89",,,,,,-,,,,,,,"27,89",,,,,,,"3.525,09",,,,,,,,
CHA PRETA,,,AL,,,,,,"22,31",,,,,,-,,,,,,,"22,31",,,,,,,"2.820,08",,,,,,,,
COLONIA LEOPOLDINA,,,AL,,,,,,"26,78",,,,,,-,,,,,,,"26,78",,,,,,,"3.384,09",,,,,,,,
COQUEIRO SECO,,,AL,,,,,,"385,81",,,,,,"234,46",,,,,,,"620,27",,,,,,,"6.791,46",,,,,,,,
CORURIPE,,,AL,,,,,,"848.907,67",,,,,,"3.803,28",,,,,,,"852.710,95",,,,,,,"5.767.014,69",,,,,,,,
FELIZ DESERTO,,,AL,,,,,,"809,98",,,,,,"1.110,19",,,,,,,"1.920,17",,,,,,,"241.720,58",,,,,,,,
FLEXEIRAS,,,AL,,,,,,"23,43",,,,,,-,,,,,,,"23,43",,,,,,,"3.034,29",,,,,,,,
IBATEGUARA,,,AL,,,,,,"25,66",,,,,,-,,,,,,,"25,66",,,,,,,"3.243,09",,,,,,,,
IGREJA NOVA,,,AL,,,,,,"29,01",,,,,,-,,,,,,,"29,01",,,,,,,"3.666,10",,,,,,,,
JACUIPE,,,AL,,,,,,"22,31",,,,,,-,,,,,,,"22,31",,,,,,,"2.820,08",,,,,,,,
JAPARATINGA,,,AL,,,,,,"22,31",,,,,,-,,,,,,,"22,31",,,,,,,"2.820,08",,,,,,,,
JEQUIA DA PRAIA,,,AL,,,,,,"5.039,75",,,,,,"2.106,38",,,,,,,"7.146,13",,,,,,,"52.424,11",,,,,,,,
JOAQUIM GOMES,,,AL,,,,,,"29,01",,,,,,-,,,,,,,"29,01",,,,,,,"3.666,10",,,,,,,,
JUNDIA,,,AL,,,,,,"22,31",,,,,,-,,,,,,,"22,31",,,,,,,"2.820,08",,,,,,,,
JUNQUEIRO,,,AL,,,,,,"29,01",,,,,,-,,,,,,,"29,01",,,,,,,"3.666,10",,,,,,,,
MACEIO,,,AL,,,,,,"83.679,98",,,,,,"14.948,09",,,,,,,"98.628,07",,,,,,,"554.995,83",,,,,,,,
MARAGOGI,,,AL,,,,,,"29,01",,,,,,-,,,,,,,"29,01",,,,,,,"3.666,10",,,,,,,,
MARECHAL DEODORO,,,AL,,,,,,"142.032,13",,,,,,"104.372,50",,,,,,,"246.404,63",,,,,,,"1.555.901,89",,,,,,,,
MATRIZ DE CAMARAGIBE,,,AL,,,,,,"30,12",,,,,,-,,,,,,,"30,12",,,,,,,"3.733,89",,,,,,,,
MESSIAS,,,AL,,,,,,"23,43",,,,,,-,,,,,,,"23,43",,,,,,,"2.961,09",,,,,,,,
MURICI,,,AL,,,,,,"30,12",,,,,,-,,,,,,,"30,12",,,,,,,"3.807,11",,,,,,,,
NOVO LINO,,,AL,,,,,,"23,43",,,,,,-,,,,,,,"23,43",,,,,,,"2.961,09",,,,,,,,
PARIPUEIRA,,,AL,,,,,,"22,31",,,,,,"6.699,80",,,,,,,"6.722,11",,,,,,,"41.597,16",,,,,,,,
PASSO DE CAMARAGIBE,,,AL,,,,,,"24,54",,,,,,-,,,,,,,"24,54",,,,,,,"3.102,08",,,,,,,,
PENEDO,,,AL,,,,,,"36,82",,,,,,-,,,,,,,"36,82",,,,,,,"4.653,14",,,,,,,,
PIACABUCU,,,AL,,,,,,"26,78",,,,,,-,,,,,,,"26,78",,,,,,,"3.384,09",,,,,,,,
PILAR,,,AL,,,,,,"161.371,74",,,,,,"104.064,62",,,,,,,"265.436,36",,,,,,,"1.391.888,01",,,,,,,,
PINDOBA,,,AL,,,,,,"22,31",,,,,,-,,,,,,,"22,31",,,,,,,"2.820,08",,,,,,,,
PORTO CALVO,,,AL,,,,,,"29,01",,,,,,-,,,,,,,"29,01",,,,,,,"3.666,10",,,,,,,,
PORTO DE PEDRAS,,,AL,,,,,,"23,43",,,,,,-,,,,,,,"23,43",,,,,,,"2.961,09",,,,,,,,
PORTO REAL DO COLEGIO,,,AL,,,,,,"27,89",,,,,,-,,,,,,,"27,89",,,,,,,"3.525,09",,,,,,,,
RIO LARGO,,,AL,,,,,,"2.719,45",,,,,,"1.730,30",,,,,,,"4.449,75",,,,,,,"42.706,12",,,,,,,,
ROTEIRO,,,AL,,,,,,"239,51",,,,,,"140,09",,,,,,,"379,60",,,,,,,"5.130,92",,,,,,,,
SANTA LUZIA DO NORTE,,,AL,,,,,,"22,31",,,,,,-,,,,,,,"22,31",,,,,,,"2.820,08",,,,,,,,
SANTANA DO MUNDAU,,,AL,,,,,,"23,43",,,,,,-,,,,,,,"23,43",,,,,,,"2.961,09",,,,,,,,
SAO JOSE DA LAJE,,,AL,,,,,,"29,01",,,,,,-,,,,,,,"29,01",,,,,,,"3.666,10",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE,,,AL,,,,,,"31,24",,,,,,-,,,,,,,"31,24",,,,,,,"3.948,12",,,,,,,,
SAO MIGUEL DOS CAMPOS,,,AL,,,,,,"211.613,12",,,,,,"122.029,52",,,,,,,"333.642,64",,,,,,,"2.049.618,16",,,,,,,,
SAO MIGUEL DOS MILAGRES,,,AL,,,,,,"22,31",,,,,,-,,,,,,,"22,31",,,,,,,"2.820,08",,,,,,,,
SATUBA,,,AL,,,,,,"32.343,83",,,,,,"20.845,94",,,,,,,"53.189,77",,,,,,,"432.497,30",,,,,,,,
TEOTONIO VILELA,,,AL,,,,,,"33,47",,,,,,-,,,,,,,"33,47",,,,,,,"4.230,13",,,,,,,,
UNIAO DOS PALMARES,,,AL,,,,,,"36,82",,,,,,-,,,,,,,"36,82",,,,,,,"4.653,14",,,,,,,,
VICOSA,,,AL,,,,,,"30,12",,,,,,-,,,,,,,"30,12",,,,,,,"3.807,11",,,,,,,,
TOTAL ALAGOAS,,,,,,,,,"1.490.246,36",,,,,,"382.085,17",,,,,,,"1.872.331,53",,,,,,,"12.278.919,12",,,,,,,,
ANAMA,,,AM,,,,,,-,,,,,,"2.338,62",,,,,,,"2.338,62",,,,,,,"13.121,57",,,,,,,,
ANORI,,,AM,,,,,,-,,,,,,"2.338,62",,,,,,,"2.338,62",,,,,,,"13.121,57",,,,,,,,
AUTAZES,,,AM,,,,,,-,,,,,,"6.281,87",,,,,,,"6.281,87",,,,,,,"33.857,60",,,,,,,,
BERURI,,,AM,,,,,,-,,,,,,"2.338,62",,,,,,,"2.338,62",,,,,,,"13.121,57",,,,,,,,
CAREIRO DA VARZEA,,,AM,,,,,,-,,,,,,"6.281,87",,,,,,,"6.281,87",,,,,,,"33.857,60",,,,,,,,
CAREIRO,,,AM,,,,,,-,,,,,,"2.338,62",,,,,,,"2.338,62",,,,,,,"13.121,57",,,,,,,,
COARI,,,AM,,,,,,"1.778.986,83",,,,,,"1.648.533,84",,,,,,,"3.427.520,67",,,,,,,"19.573.192,16",,,,,,,,
CODAJAS,,,AM,,,,,,-,,,,,,"2.338,62",,,,,,,"2.338,62",,,,,,,"13.121,57",,,,,,,,
IRANDUBA,,,AM,,,,,,-,,,,,,"6.281,87",,,,,,,"6.281,87",,,,,,,"33.857,60",,,,,,,,
ITACOATIARA,,,AM,,,,,,-,,,,,,"6.281,87",,,,,,,"6.281,87",,,,,,,"33.857,60",,,,,,,,
ITAPIRANGA,,,AM,,,,,,-,,,,,,"6.281,87",,,,,,,"6.281,87",,,,,,,"33.857,60",,,,,,,,
MANACAPURU,,,AM,,,,,,-,,,,,,"2.338,62",,,,,,,"2.338,62",,,,,,,"13.121,57",,,,,,,,
MANAQUIRI,,,AM,,,,,,-,,,,,,"2.338,62",,,,,,,"2.338,62",,,,,,,"13.121,57",,,,,,,,
