ANADIA-AL,,,,AL,,,,,"706,95",,,,,,,-,,,,,,,,"706,95",,,,,,,"5.242,99",,,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"913,14",,,,,,,-,,,,,,,,"913,14",,,,,,,"6.772,20",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"618,58",,,,,,,-,,,,,,,,"618,58",,,,,,,"4.587,61",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"589,12",,,,,,,-,,,,,,,,"589,12",,,,,,,"4.369,14",,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"795,31",,,,,,,-,,,,,,,,"795,31",,,,,,,"5.898,37",,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"618,58",,,,,,,-,,,,,,,,"618,58",,,,,,,"4.587,61",,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"736,40",,,,,,,-,,,,,,,,"736,40",,,,,,,"5.461,44",,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"589,12",,,,,,,-,,,,,,,,"589,12",,,,,,,"4.369,14",,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"913,14",,,,,,,-,,,,,,,,"913,14",,,,,,,"6.772,20",,,,,,,,,,
CAPELA-AL,,,,AL,,,,,"736,40",,,,,,,-,,,,,,,,"736,40",,,,,,,"5.461,44",,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"589,12",,,,,,,-,,,,,,,,"589,12",,,,,,,"4.369,14",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"706,95",,,,,,,-,,,,,,,,"706,95",,,,,,,"5.242,99",,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"1.239,85",,,,,,,"419,72",,,,,,,,"1.659,57",,,,,,,"10.106,54",,,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"843.906,41",,,,,,,"59.676,54",,,,,,,,"903.582,95",,,,,,,"6.874.061,84",,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"21.381,77",,,,,,,"29.306,39",,,,,,,,"50.688,16",,,,,,,"375.923,55",,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"618,58",,,,,,,-,,,,,,,,"618,58",,,,,,,"4.587,61",,,,,,,,,,
