ANADIA-AL,,,,,,,,,AL,,,"644,39",,,,,,-,,,,,,,"644,39",,,,,,,"4.174,39",,,,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,,"832,34",,,,,,-,,,,,,,"832,34",,,,,,,"5.490,84",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,,"617,54",,,,,,-,,,,,,,"617,54",,,,,,,"3.901,53",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,,"536,99",,,,,,-,,,,,,,"536,99",,,,,,,"3.478,66",,,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,,"724,94",,,,,,-,,,,,,,"724,94",,,,,,,"4.696,19",,,,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,,"563,84",,,,,,-,,,,,,,"563,84",,,,,,,"3.652,58",,,,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,,"698,09",,,,,,-,,,,,,,"698,09",,,,,,,"4.522,26",,,,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,,"536,99",,,,,,-,,,,,,,"536,99",,,,,,,"3.478,66",,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,,"859,19",,,,,,-,,,,,,,"859,19",,,,,,,"5.466,96",,,,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,,"644,39",,,,,,-,,,,,,,"644,39",,,,,,,"4.174,39",,,,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,,"536,99",,,,,,-,,,,,,,"536,99",,,,,,,"3.478,66",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,,"698,09",,,,,,-,,,,,,,"698,09",,,,,,,"4.423,35",,,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,,"82.069,80",,,,,,"414,38",,,,,,,"82.484,18",,,,,,,"520.560,67",,,,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,,"1.166.871,81",,,,,,"71.164,96",,,,,,,"1.238.036,77",,,,,,,"11.134.726,62",,,,,,,,,,,
