ANADIA-AL,AL, 358.83 , -   , 358.83 ," 2,599.63 "
ATALAIA-AL,AL, 463.49 , -   , 463.49 ," 3,357.86 "
BARRA DE SANTO ANTONIO-AL,AL, 343.88 , -   , 343.88 ," 2,491.30 "
BARRA DE SAO MIGUEL-AL,AL, 299.02 , -   , 299.02 ," 2,166.36 "
BOCA DA MATA-AL,AL, 403.68 , -   , 403.68 ," 2,924.57 "
BRANQUINHA-AL,AL, 313.98 , -   , 313.98 ," 2,274.68 "
CAJUEIRO-AL,AL, 388.73 , -   , 388.73 ," 2,816.27 "
CAMPESTRE-AL,AL, 299.02 , -   , 299.02 ," 2,166.36 "
CAMPO ALEGRE-AL,AL, 478.44 , -   , 478.44 ," 3,466.18 "
CAPELA-AL,AL, 358.83 , -   , 358.83 ," 2,599.63 "
CHA PRETA-AL,AL, 299.02 , -   , 299.02 ," 2,166.36 "
COLONIA LEOPOLDINA-AL,AL, 388.73 , -   , 388.73 ," 2,816.27 "
COQUEIRO SECO-AL,AL," 680,859.87 ", 60.63 ," 680,920.50 "," 3,641,125.71 "
CORURIPE-AL,AL," 667,691.19 "," 37,626.06 "," 705,317.25 "," 4,692,047.44 "
FELIZ DESERTO-AL,AL," 10,816.81 "," 15,116.50 "," 25,933.31 "," 187,879.85 "
FLEXEIRAS-AL,AL, 328.93 , -   , 328.93 ," 2,383.00 "
IBATEGUARA-AL,AL, 343.88 , -   , 343.88 ," 2,491.30 "
IGREJA NOVA-AL,AL, 388.73 , -   , 388.73 ," 2,816.27 "
JACUIPE-AL,AL, 299.02 , -   , 299.02 ," 2,166.36 "
JAPARATINGA-AL,AL, 299.02 , -   , 299.02 ," 2,166.36 "
JEQUIA DA PRAIA-AL,AL, 328.93 , -   , 328.93 ," 2,383.00 "
JOAQUIM GOMES-AL,AL, 388.73 , -   , 388.73 ," 2,816.27 "
JUNDIA-AL,AL, 299.02 , -   , 299.02 ," 2,166.36 "
JUNQUEIRO-AL,AL, 388.73 , -   , 388.73 ," 2,816.27 "
MACEIO-AL,AL," 695,839.32 "," 17,156.73 "," 712,996.05 "," 3,106,566.40 "
MARAGOGI-AL,AL, 418.64 , -   , 418.64 ," 3,032.91 "
MARECHAL DEODORO-AL,AL," 846,818.66 "," 28,987.18 "," 875,805.84 "," 5,043,332.87 "
MATRIZ DE CAMARAGIBE-AL,AL, 388.73 , -   , 388.73 ," 2,816.27 "
MESSIAS-AL,AL, 343.88 , -   , 343.88 ," 2,491.30 "
MURICI-AL,AL, 403.68 , -   , 403.68 ," 2,924.57 "
NOVO LINO-AL,AL, 328.93 , -   , 328.93 ," 2,383.00 "
PARIPUEIRA-AL,AL," 672,409.77 "," 5,874.44 "," 678,284.21 "," 6,321,581.71 "
PASSO DE CAMARAGIBE-AL,AL, 343.88 , -   , 343.88 ," 2,491.30 "
PENEDO-AL,AL," 188,923.22 ", 62.61 ," 188,985.83 "," 1,365,855.84 "
PIACABUCU-AL,AL, 358.83 , -   , 358.83 ," 2,599.63 "
PILAR-AL,AL," 1,730,976.33 "," 113,670.32 "," 1,844,646.65 "," 3,842,655.86 "
PINDOBA-AL,AL, 299.02 , -   , 299.02 ," 2,166.36 "
PORTO CALVO-AL,AL, 403.68 , -   , 403.68 ," 2,924.57 "
PORTO DE PEDRAS-AL,AL, 299.02 , -   , 299.02 ," 2,166.36 "
PORTO REAL DO COLEGIO-AL,AL, 373.78 , -   , 373.78 ," 2,707.95 "
RIO LARGO-AL,AL," 189,957.60 "," 5,711.66 "," 195,669.26 "," 1,397,652.04 "
ROTEIRO-AL,AL," 647,009.78 ", 266.77 ," 647,276.55 "," 4,301,403.57 "
SANTA LUZIA DO NORTE-AL,AL, -   , -   , -   ," 1,953.93 "
SANTANA DO MUNDAU-AL,AL, 313.98 , -   , 313.98 ," 2,274.68 "
SAO JOSE DA LAJE-AL,AL, 388.73 , -   , 388.73 ," 2,816.27 "
SAO LUIS DO QUITUNDE-AL,AL, 433.59 , -   , 433.59 ," 3,141.23 "
SAO MIGUEL DOS CAMPOS-AL,AL," 826,292.59 "," 164,790.83 "," 991,083.42 "," 6,202,909.53 "
SAO MIGUEL DOS MILAGRES-AL,AL, 299.02 , -   , 299.02 ," 2,166.36 "
SATUBA-AL,AL," 14,070.58 "," 8,853.72 "," 22,924.30 "," 138,140.34 "
TEOTONIO VILELA-AL,AL, 463.49 , -   , 463.49 ," 3,357.86 "
