ANADIA-AL,,,,AL,,,,"443,01",,,,,,-,,,,,,"443,01",,,,,,,"2.516,56",,,,,,,,,,
ATALAIA-AL,,,,AL,,,,"553,76",,,,,,-,,,,,,"553,76",,,,,,,"3.145,69",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,"369,17",,,,,,-,,,,,,"369,17",,,,,,,"2.097,12",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,"369,17",,,,,,-,,,,,,"369,17",,,,,,,"2.097,12",,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,"479,92",,,,,,-,,,,,,"479,92",,,,,,,"2.726,27",,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,"369,17",,,,,,-,,,,,,"369,17",,,,,,,"2.097,12",,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,"443,01",,,,,,-,,,,,,"443,01",,,,,,,"2.516,56",,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,"369,17",,,,,,-,,,,,,"369,17",,,,,,,"2.097,12",,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,"553,76",,,,,,-,,,,,,"553,76",,,,,,,"3.145,69",,,,,,,,,,
CAPELA-AL,,,,AL,,,,"479,92",,,,,,-,,,,,,"479,92",,,,,,,"2.726,27",,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,"369,17",,,,,,-,,,,,,"369,17",,,,,,,"2.097,12",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,"443,01",,,,,,-,,,,,,"443,01",,,,,,,"2.516,56",,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,"369,17",,,,,,-,,,,,,"369,17",,,,,,,"2.097,12",,,,,,,,,,
CORURIPE-AL,,,,AL,,,,"41.622,57",,,,,,"18.637,81",,,,,,"60.260,38",,,,,,,"348.147,34",,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,"13.007,85",,,,,,"17.828,89",,,,,,"30.836,74",,,,,,,"175.171,68",,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,"406,09",,,,,,-,,,,,,"406,09",,,,,,,"2.306,85",,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,"424,55",,,,,,-,,,,,,"424,55",,,,,,,"2.411,70",,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,"461,46",,,,,,-,,,,,,"461,46",,,,,,,"2.621,40",,,,,,,,,,
