ANADIA-AL,,,AL,,,"432,35",,,,,-,,,,,,,"432,35",,,,,,,"2.599,50",,,,,,,,,,
ATALAIA-AL,,,AL,,,"558,66",,,,,-,,,,,,,"558,66",,,,,,,"3.358,54",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,"378,37",,,,,-,,,,,,,"378,37",,,,,,,"2.274,84",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,"360,57",,,,,-,,,,,,,"360,57",,,,,,,"2.167,38",,,,,,,,,,
BOCA DA MATA-AL,,,AL,,,"486,32",,,,,-,,,,,,,"486,32",,,,,,,"2.924,17",,,,,,,,,,
BRANQUINHA-AL,,,AL,,,"378,37",,,,,-,,,,,,,"378,37",,,,,,,"2.274,84",,,,,,,,,,
CAJUEIRO-AL,,,AL,,,"450,71",,,,,-,,,,,,,"450,71",,,,,,,"2.709,22",,,,,,,,,,
CAMPESTRE-AL,,,AL,,,"360,57",,,,,-,,,,,,,"360,57",,,,,,,"2.167,38",,,,,,,,,,
CAMPO ALEGRE-AL,,,AL,,,"558,66",,,,,-,,,,,,,"558,66",,,,,,,"3.358,54",,,,,,,,,,
CAPELA-AL,,,AL,,,"450,71",,,,,-,,,,,,,"450,71",,,,,,,"2.709,22",,,,,,,,,,
CHA PRETA-AL,,,AL,,,"360,57",,,,,-,,,,,,,"360,57",,,,,,,"2.167,38",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,"432,35",,,,,-,,,,,,,"432,35",,,,,,,"2.599,50",,,,,,,,,,
COQUEIRO SECO-AL,,,AL,,,"360,57",,,,,-,,,,,,,"360,57",,,,,,,"2.167,38",,,,,,,,,,
CORURIPE-AL,,,AL,,,"588.180,36",,,,,"22.414,11",,,,,,,"610.594,47",,,,,,,"2.509.906,16",,,,,,,,,,
FELIZ DESERTO-AL,,,AL,,,"12.840,75",,,,,"17.944,89",,,,,,,"30.785,64",,,,,,,"185.074,86",,,,,,,,,,
FLEXEIRAS-AL,,,AL,,,"396,18",,,,,-,,,,,,,"396,18",,,,,,,"2.382,33",,,,,,,,,,
IBATEGUARA-AL,,,AL,,,"414,54",,,,,-,,,,,,,"414,54",,,,,,,"2.492,03",,,,,,,,,,
IGREJA NOVA-AL,,,AL,,,"468,51",,,,,-,,,,,,,"468,51",,,,,,,"2.816,68",,,,,,,,,,
JACUIPE-AL,,,AL,,,"360,57",,,,,-,,,,,,,"360,57",,,,,,,"2.167,38",,,,,,,,,,
JAPARATINGA-AL,,,AL,,,"360,57",,,,,-,,,,,,,"360,57",,,,,,,"2.167,38",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,AL,,,"396,18",,,,,-,,,,,,,"396,18",,,,,,,"2.382,33",,,,,,,,,,
