ANADIA-AL,,,,,AL,,,,"683,37",,,,,,-,,,,,,,"683,37",,,,,,,,"4.551,28",,,,,,,,
ATALAIA-AL,,,,,AL,,,,"882,69",,,,,,-,,,,,,,"882,69",,,,,,,,"5.878,74",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"597,95",,,,,,-,,,,,,,"597,95",,,,,,,,"3.982,38",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"569,48",,,,,,-,,,,,,,"569,48",,,,,,,,"3.792,73",,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"768,80",,,,,,-,,,,,,,"768,80",,,,,,,,"5.120,20",,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"597,95",,,,,,-,,,,,,,"597,95",,,,,,,,"3.982,38",,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"711,85",,,,,,-,,,,,,,"711,85",,,,,,,,"4.740,94",,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"569,48",,,,,,-,,,,,,,"569,48",,,,,,,,"3.792,73",,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"882,69",,,,,,-,,,,,,,"882,69",,,,,,,,"5.878,74",,,,,,,,
CAPELA-AL,,,,,AL,,,,"711,85",,,,,,-,,,,,,,"711,85",,,,,,,,"4.740,94",,,,,,,,
CHAPRETA-AL,,,,,AL,,,,"569,48",,,,,,-,,,,,,,"569,48",,,,,,,,"3.792,73",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"683,37",,,,,,-,,,,,,,"683,37",,,,,,,,"4.551,28",,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"1.261,14",,,,,,"446,12",,,,,,,"1.707,26",,,,,,,,"13.566,35",,,,,,,,
CORURIPE-AL,,,,,AL,,,,"1.355.916,29",,,,,,"67.046,59",,,,,,,"1.422.962,88",,,,,,,,"6.655.975,23",,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"20.668,87",,,,,,"28.329,27",,,,,,,"48.998,14",,,,,,,,"326.328,47",,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"597,95",,,,,,-,,,,,,,"597,95",,,,,,,,"3.982,38",,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"654,90",,,,,,-,,,,,,,"654,90",,,,,,,,"4.361,65",,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"740,32",,,,,,-,,,,,,,"740,32",,,,,,,,"4.930,56",,,,,,,,
JACUIPE-AL,,,,,AL,,,,"569,48",,,,,,-,,,,,,,"569,48",,,,,,,,"3.792,73",,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,"569,48",,,,,,-,,,,,,,"569,48",,,,,,,,"3.792,73",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,"626,43",,,,,,-,,,,,,,"626,43",,,,,,,,"18.746,02",,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,"740,32",,,,,,-,,,,,,,"740,32",,,,,,,,"4.930,56",,,,,,,,
JUNDIA-AL,,,,,AL,,,,"569,48",,,,,,-,,,,,,,"569,48",,,,,,,,"3.792,73",,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,"740,32",,,,,,-,,,,,,,"740,32",,,,,,,,"4.930,56",,,,,,,,
MACEIO-AL,,,,,AL,,,,"75.963,24",,,,,,"17.391,47",,,,,,,"93.354,71",,,,,,,,"569.873,22",,,,,,,,
MARAGOGI-AL,,,,,AL,,,,"740,32",,,,,,-,,,,,,,"740,32",,,,,,,,"4.930,56",,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,"139.708,67",,,,,,"111.632,99",,,,,,,"251.341,66",,,,,,,,"1.521.087,46",,,,,,,,
MATRIZ D ECAMARAGIBE-AL,,,,,AL,,,,"768,80",,,,,,-,,,,,,,"768,80",,,,,,,,"5.120,20",,,,,,,,
MESSIAS-AL,,,,,AL,,,,"597,95",,,,,,-,,,,,,,"597,95",,,,,,,,"3.982,38",,,,,,,,
MURICI-AL,,,,,AL,,,,"768,80",,,,,,-,,,,,,,"768,80",,,,,,,,"5.120,20",,,,,,,,
NOVOLINO-AL,,,,,AL,,,,"597,95",,,,,,-,,,,,,,"597,95",,,,,,,,"3.982,38",,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,"569,48",,,,,,"8.583,93",,,,,,,"9.153,41",,,,,,,,"49.790,52",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,"626,43",,,,,,-,,,,,,,"626,43",,,,,,,,"4.172,02",,,,,,,,
PENEDO-AL,,,,,AL,,,,"939,64",,,,,,-,,,,,,,"939,64",,,,,,,,"6.258,03",,,,,,,,
PIACABUCU-AL,,,,,AL,,,,"683,37",,,,,,-,,,,,,,"683,37",,,,,,,,"4.551,28",,,,,,,,
PILAR-AL,,,,,AL,,,,"189.283,78",,,,,,"122.698,80",,,,,,,"311.982,58",,,,,,,,"1.983.336,36",,,,,,,,
PINDOBA-AL,,,,,AL,,,,"569,48",,,,,,-,,,,,,,"569,48",,,,,,,,"3.792,73",,,,,,,,
PORTO CALVO-AL,,,,,AL,,,,"740,32",,,,,,-,,,,,,,"740,32",,,,,,,,"4.930,56",,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,"597,95",,,,,,-,,,,,,,"597,95",,,,,,,,"3.982,38",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,"711,85",,,,,,-,,,,,,,"711,85",,,,,,,,"4.740,94",,,,,,,,
RIOLARGO-AL,,,,,AL,,,,"10.919,58",,,,,,"6.437,06",,,,,,,"17.356,64",,,,,,,,"122.240,99",,,,,,,,
ROTEIRO-AL,,,,,AL,,,,"707,61",,,,,,"89,09",,,,,,,"796,70",,,,,,,,"5.177,26",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,"569,48",,,,,,-,,,,,,,"569,48",,,,,,,,"3.792,73",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,"597,95",,,,,,-,,,,,,,"597,95",,,,,,,,"3.982,38",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,"740,32",,,,,,-,,,,,,,"740,32",,,,,,,,"4.930,56",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,"797,27",,,,,,-,,,,,,,"797,27",,,,,,,,"5.309,84",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,"185.532,80",,,,,,"107.989,94",,,,,,,"293.522,74",,,,,,,,"1.970.135,14",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,"569,48",,,,,,-,,,,,,,"569,48",,,,,,,,"3.792,73",,,,,,,,
SATUBA-AL,,,,,AL,,,,"26.920,03",,,,,,"16.959,37",,,,,,,"43.879,40",,,,,,,,"313.433,61",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,"854,22",,,,,,-,,,,,,,"854,22",,,,,,,,"5.689,12",,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,"939,64",,,,,,-,,,,,,,"939,64",,,,,,,,"6.258,03",,,,,,,,
VICOSA-AL,,,,,AL,,,,"768,80",,,,,,-,,,,,,,"768,80",,,,,,,,"5.120,20",,,,,,,,
TOTAL ALAGOAS,,,,,,,,,"2.035.669,15",,,,,,"487.604,63",,,,,,,"2.523.273,78",,,,,,,,"13.733.448,85",,,,,,,,
ANAMA-AM,,,,,AM,,,,-,,,,,,"2.280,54",,,,,,,"2.280,54",,,,,,,,"12.846,72",,,,,,,,
ANORI-AM,,,,,AM,,,,-,,,,,,"2.280,54",,,,,,,"2.280,54",,,,,,,,"12.846,72",,,,,,,,
AUTAZES-AM,,,,,AM,,,,-,,,,,,"5.280,60",,,,,,,"5.280,60",,,,,,,,"32.097,78",,,,,,,,
BERURI-AM,,,,,AM,,,,-,,,,,,"2.280,54",,,,,,,"2.280,54",,,,,,,,"12.846,72",,,,,,,,
CAREIRO DA VARZEA-AM,,,,,AM,,,,-,,,,,,"5.280,60",,,,,,,"5.280,60",,,,,,,,"32.097,78",,,,,,,,
CAREIRO-AM,,,,,AM,,,,-,,,,,,"2.280,54",,,,,,,"2.280,54",,,,,,,,"12.846,72",,,,,,,,
COARI-AM,,,,,AM,,,,"1.805.113,65",,,,,,"1.625.523,27",,,,,,,"3.430.636,92",,,,,,,,"21.083.011,38",,,,,,,,
CODAJAS-AM,,,,,AM,,,,-,,,,,,"2.280,54",,,,,,,"2.280,54",,,,,,,,"12.846,72",,,,,,,,
IRANDUBA-AM,,,,,AM,,,,-,,,,,,"5.280,60",,,,,,,"5.280,60",,,,,,,,"32.097,78",,,,,,,,
ITACOATIARA-AM,,,,,AM,,,,-,,,,,,"5.280,60",,,,,,,"5.280,60",,,,,,,,"32.097,78",,,,,,,,
ITAPIRANGA-AM,,,,,AM,,,,-,,,,,,"5.280,60",,,,,,,"5.280,60",,,,,,,,"32.097,78",,,,,,,,
MANACAPURU-AM,,,,,AM,,,,-,,,,,,"2.280,54",,,,,,,"2.280,54",,,,,,,,"12.846,72",,,,,,,,
MANAQUIRI-AM,,,,,AM,,,,-,,,,,,"2.280,54",,,,,,,"2.280,54",,,,,,,,"12.846,72",,,,,,,,
MANAUS-AM,,,,,AM,,,,"65.605,32",,,,,,"40.281,67",,,,,,,"105.886,99",,,,,,,,"5.480.223,46",,,,,,,,
PARINTINS-AM,,,,,AM,,,,-,,,,,,"5.280,60",,,,,,,"5.280,60",,,,,,,,"32.097,78",,,,,,,,
SILVES-AM,,,,,AM,,,,-,,,,,,"5.280,60",,,,,,,"5.280,60",,,,,,,,"32.097,78",,,,,,,,
URUCARA-AM,,,,,AM,,,,-,,,,,,"5.280,60",,,,,,,"5.280,60",,,,,,,,"32.097,78",,,,,,,,
URUCURITUBA-AM,,,,,AM,,,,-,,,,,,"5.280,60",,,,,,,"5.280,60",,,,,,,,"32.097,78",,,,,,,,
TOTAL AMAZONAS,,,,,,,,,"1.870.718,97",,,,,,"1.729.294,12",,,,,,,"3.600.013,09",,,,,,,,"26.942.041,90",,,,,,,,
LARANJAL DO JARI-AP,,,,,AP,,,,-,,,,,,"5.280,60",,,,,,,"5.280,60",,,,,,,,"32.097,78",,,,,,,,
MACAPA-AP,,,,,AP,,,,-,,,,,,"5.280,60",,,,,,,"5.280,60",,,,,,,,"32.097,78",,,,,,,,
MAZAGAO-AP,,,,,AP,,,,-,,,,,,"5.280,60",,,,,,,"5.280,60",,,,,,,,"32.097,78",,,,,,,,
TOTAL AMAPA,,,,,,,,,-,,,,,,"15.841,80",,,,,,,"15.841,80",,,,,,,,"96.293,34",,,,,,,,
ACAJUTIBA-BA,,,,,BA,,,,"92,64",,,,,,-,,,,,,,"92,64",,,,,,,,"481,78",,,,,,,,
ADUSTINA-BA,,,,,BA,,,,"92,64",,,,,,-,,,,,,,"92,64",,,,,,,,"481,78",,,,,,,,
AGUAFRIA-BA,,,,,BA,,,,"92,64",,,,,,-,,,,,,,"92,64",,,,,,,,"481,78",,,,,,,,
AIQUARA-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,"249.429,16",,,,,,"119.732,26",,,,,,,"369.161,42",,,,,,,,"2.376.146,13",,,,,,,,
AMARGOSA-BA,,,,,BA,,,,"112,78",,,,,,-,,,,,,,"112,78",,,,,,,,"586,53",,,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,,"108,75",,,,,,-,,,,,,,"108,75",,,,,,,,"565,56",,,,,,,,
ANAGE-BA,,,,,BA,,,,"112,78",,,,,,-,,,,,,,"112,78",,,,,,,,"586,53",,,,,,,,
ANGUERA-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
ANTAS-BA,,,,,BA,,,,"92,64",,,,,,-,,,,,,,"92,64",,,,,,,,"481,78",,,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,,"84,58",,,,,,-,,,,,,,"84,58",,,,,,,,"439,89",,,,,,,,
APORA-BA,,,,,BA,,,,"96,67",,,,,,-,,,,,,,"96,67",,,,,,,,"502,73",,,,,,,,
APUAREMA-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
ARACAS-BA,,,,,BA,,,,"188.288,79",,,,,,"85.040,45",,,,,,,"273.329,24",,,,,,,,"1.795.477,32",,,,,,,,
ARACI-BA,,,,,BA,,,,"124,86",,,,,,-,,,,,,,"124,86",,,,,,,,"649,35",,,,,,,,
ARAMARI-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
ARATUIPE-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
BAIXA GRANDE-BA,,,,,BA,,,,"104,72",,,,,,-,,,,,,,"104,72",,,,,,,,"544,62",,,,,,,,
BANZAE-BA,,,,,BA,,,,"84,58",,,,,,-,,,,,,,"84,58",,,,,,,,"439,89",,,,,,,,
BARRA DO CHOCA-BA,,,,,BA,,,,"124,86",,,,,,-,,,,,,,"124,86",,,,,,,,"649,35",,,,,,,,
BARROCAS-BA,,,,,BA,,,,"88,61",,,,,,-,,,,,,,"88,61",,,,,,,,"460,84",,,,,,,,
BELO CAMPO-BA,,,,,BA,,,,"96,67",,,,,,-,,,,,,,"96,67",,,,,,,,"502,73",,,,,,,,
BIRITINGA-BA,,,,,BA,,,,"2.164,37",,,,,,"1.056,58",,,,,,,"3.220,95",,,,,,,,"3.610,09",,,,,,,,
