ANADIA-AL,,,,,,,,AL,,"577,32",,,,,-,,,,,,,,"577,32",,,,,,,,"3.530,00",,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,"745,70",,,,,-,,,,,,,,"745,70",,,,,,,,"4.658,50",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,"553,26",,,,,-,,,,,,,,"553,26",,,,,,,,"3.283,99",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,"481,10",,,,,-,,,,,,,,"481,10",,,,,,,,"2.941,67",,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,"649,48",,,,,-,,,,,,,,"649,48",,,,,,,,"3.971,25",,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,"505,15",,,,,-,,,,,,,,"505,15",,,,,,,,"3.088,74",,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,"625,43",,,,,-,,,,,,,,"625,43",,,,,,,,"3.824,17",,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,"481,10",,,,,-,,,,,,,,"481,10",,,,,,,,"2.941,67",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,"769,76",,,,,-,,,,,,,,"769,76",,,,,,,,"4.607,77",,,,,,,,,
CAPELA-AL,,,,,,,,AL,,"577,32",,,,,-,,,,,,,,"577,32",,,,,,,,"3.530,00",,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,"481,10",,,,,-,,,,,,,,"481,10",,,,,,,,"2.941,67",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,"625,43",,,,,-,,,,,,,,"625,43",,,,,,,,"3.725,26",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,"81.952,64",,,,,"302,31",,,,,,,,"82.254,95",,,,,,,,"438.076,49",,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,"1.772.284,12",,,,,"62.692,94",,,,,,,,"1.834.977,06",,,,,,,,"9.896.689,85",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,"17.402,96",,,,,"24.320,64",,,,,,,,"41.723,60",,,,,,,,"254.023,43",,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,"529,21",,,,,-,,,,,,,,"529,21",,,,,,,,"3.136,91",,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,"553,26",,,,,-,,,,,,,,"553,26",,,,,,,,"3.382,91",,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,"625,43",,,,,-,,,,,,,,"625,43",,,,,,,,"3.824,17",,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,"481,10",,,,,-,,,,,,,,"481,10",,,,,,,,"2.941,67",,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,"481,10",,,,,-,,,,,,,,"481,10",,,,,,,,"2.941,67",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,"5.726,93",,,,,"2.183,04",,,,,,,,"7.909,97",,,,,,,,"12.903,98",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,"625,43",,,,,-,,,,,,,,"625,43",,,,,,,,"3.824,17",,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,"481,10",,,,,-,,,,,,,,"481,10",,,,,,,,"2.941,67",,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,"625,43",,,,,-,,,,,,,,"625,43",,,,,,,,"3.923,09",,,,,,,,,
MACEIO-AL,,,,,,,,AL,,"96.961,77",,,,,"25.461,57",,,,,,,,"122.423,34",,,,,,,,"641.577,55",,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,"673,54",,,,,-,,,,,,,,"673,54",,,,,,,,"4.019,43",,,,,,,,,
