ANADIA-AL,AL, 291.42 , -   , 291.42 ," 2,240.80 "
ATALAIA-AL,AL, 376.41 , -   , 376.41 ," 2,894.37 "
BARRA DE SANTO ANTONIO-AL,AL, 279.27 , -   , 279.27 ," 2,147.42 "
BARRA DE SAO MIGUEL-AL,AL, 242.85 , -   , 242.85 ," 1,867.34 "
BOCA DA MATA-AL,AL, 327.84 , -   , 327.84 ," 2,520.89 "
BRANQUINHA-AL,AL, 254.99 , -   , 254.99 ," 1,960.70 "
CAJUEIRO-AL,AL, 315.70 , -   , 315.70 ," 2,427.54 "
CAMPESTRE-AL,AL, 242.85 , -   , 242.85 ," 1,867.34 "
CAMPO ALEGRE-AL,AL, 388.56 , -   , 388.56 ," 2,987.74 "
CAPELA-AL,AL, 291.42 , -   , 291.42 ," 2,240.80 "
CHA PRETA-AL,AL, 242.85 , -   , 242.85 ," 1,867.34 "
COLONIA LEOPOLDINA-AL,AL, 315.70 , -   , 315.70 ," 2,427.54 "
COQUEIRO SECO-AL,AL," 544,725.30 ", 60.19 ," 544,785.49 "," 2,960,205.21 "
CORURIPE-AL,AL," 563,322.19 "," 29,804.08 "," 593,126.27 "," 3,986,730.19 "
FELIZ DESERTO-AL,AL," 8,784.66 "," 12,276.56 "," 21,061.22 "," 161,946.54 "
FLEXEIRAS-AL,AL, 267.13 , -   , 267.13 ," 2,054.07 "
IBATEGUARA-AL,AL, 279.27 , -   , 279.27 ," 2,147.42 "
IGREJA NOVA-AL,AL, 315.70 , -   , 315.70 ," 2,427.54 "
JACUIPE-AL,AL, 242.85 , -   , 242.85 ," 1,867.34 "
JAPARATINGA-AL,AL, 242.85 , -   , 242.85 ," 1,867.34 "
JEQUIA DA PRAIA-AL,AL, 267.13 , -   , 267.13 ," 2,054.07 "
JOAQUIM GOMES-AL,AL, 315.70 , -   , 315.70 ," 2,427.54 "
JUNDIA-AL,AL, 242.85 , -   , 242.85 ," 1,867.34 "
JUNQUEIRO-AL,AL, 315.70 , -   , 315.70 ," 2,427.54 "
MACEIO-AL,AL," 555,579.97 "," 14,593.99 "," 570,173.96 "," 2,393,570.35 "
MARAGOGI-AL,AL, 339.99 , -   , 339.99 ," 2,614.27 "
MARECHAL DEODORO-AL,AL," 624,837.37 "," 23,552.69 "," 648,390.06 "," 4,167,527.03 "
MATRIZ DE CAMARAGIBE-AL,AL, 315.70 , -   , 315.70 ," 2,427.54 "
MESSIAS-AL,AL, 279.27 , -   , 279.27 ," 2,147.42 "
MURICI-AL,AL, 327.84 , -   , 327.84 ," 2,520.89 "
NOVO LINO-AL,AL, 267.13 , -   , 267.13 ," 2,054.07 "
PARIPUEIRA-AL,AL," 544,687.77 "," 4,575.64 "," 549,263.41 "," 5,643,297.50 "
PASSO DE CAMARAGIBE-AL,AL, 279.27 , -   , 279.27 ," 2,147.42 "
PENEDO-AL,AL," 194,730.28 ", 53.56 ," 194,783.84 "," 1,176,870.01 "
PIACABUCU-AL,AL, 291.42 , -   , 291.42 ," 2,240.80 "
PILAR-AL,AL," 280,692.42 "," 69,439.06 "," 350,131.48 "," 1,998,009.21 "
PINDOBA-AL,AL, 242.85 , -   , 242.85 ," 1,867.34 "
PORTO CALVO-AL,AL, 327.84 , -   , 327.84 ," 2,520.89 "
PORTO DE PEDRAS-AL,AL, 242.85 , -   , 242.85 ," 1,867.34 "
PORTO REAL DO COLEGIO-AL,AL, 303.56 , -   , 303.56 ," 2,334.17 "
RIO LARGO-AL,AL," 195,904.96 "," 4,863.81 "," 200,768.77 "," 1,201,982.78 "
ROTEIRO-AL,AL," 545,373.14 ", 230.16 ," 545,603.30 "," 3,654,127.02 "
SANTA LUZIA DO NORTE-AL,AL, 271.72 , -   , 271.72 ," 1,953.93 "
SANTANA DO MUNDAU-AL,AL, 254.99 , -   , 254.99 ," 1,960.70 "
SAO JOSE DA LAJE-AL,AL, 315.70 , -   , 315.70 ," 2,427.54 "
SAO LUIS DO QUITUNDE-AL,AL, 352.13 , -   , 352.13 ," 2,707.64 "
SAO MIGUEL DOS CAMPOS-AL,AL," 703,657.73 "," 139,973.06 "," 843,630.79 "," 5,211,826.11 "
SAO MIGUEL DOS MILAGRES-AL,AL, 242.85 , -   , 242.85 ," 1,867.34 "
SATUBA-AL,AL," 13,990.36 "," 8,843.65 "," 22,834.01 "," 115,216.04 "
TEOTONIO VILELA-AL,AL, 376.41 , -   , 376.41 ," 2,894.37 "
UNIAO DOS PALMARES-AL,AL, 400.70 , -   , 400.70 ," 3,081.12 "
VICOSA-AL,AL, 327.84 , -   , 327.84 ," 2,520.89 "
ALAGOAS  TOTAL,," 4,788,105.25 "," 308,266.45 "," 5,096,371.70 "," 32,762,053.69 "
ANAMA-AM,AM," 23,491.19 "," 1,469.33 "," 24,960.52 "," 171,229.41 "
ANORI-AM,AM," 23,491.19 "," 1,574.29 "," 25,065.48 "," 171,722.27 "
AUTAZES-AM,AM, -   ," 3,781.47 "," 3,781.47 "," 21,115.77 "
BERURI-AM,AM, -   ," 1,300.17 "," 1,300.17 "," 6,825.11 "
CAAPIRANGA-AM,AM," 23,491.19 ", 148.49 ," 23,639.68 "," 164,267.04 "
CAREIRO DA VARZEA-AM,AM, -   ," 3,781.47 "," 3,781.47 "," 21,115.77 "
CAREIRO-AM,AM, -   ," 1,300.17 "," 1,300.17 "," 6,825.11 "
COARI-AM,AM," 1,806,677.17 "," 1,615,174.93 "," 3,421,852.10 "," 20,090,702.99 "
CODAJAS-AM,AM," 23,491.19 "," 1,707.71 "," 25,198.90 "," 172,406.40 "
IRANDUBA-AM,AM, -   ," 3,781.47 "," 3,781.47 "," 21,115.77 "
ITACOATIARA-AM,AM, -   ," 3,781.47 "," 3,781.47 "," 21,115.77 "
ITAPIRANGA-AM,AM, -   ," 3,781.47 "," 3,781.47 "," 21,115.77 "
MANACAPURU-AM,AM, -   ," 1,300.17 "," 1,300.17 "," 6,825.11 "
MANAQUIRI-AM,AM, -   ," 1,300.17 "," 1,300.17 "," 6,825.11 "
MANAUS-AM,AM," 194,329.58 "," 124,068.75 "," 318,398.33 "," 1,854,191.70 "
PARINTINS-AM,AM, -   ," 3,781.47 "," 3,781.47 "," 21,115.77 "
SILVES-AM,AM, -   ," 3,781.47 "," 3,781.47 "," 21,115.77 "
TEFE-AM,AM," 165,845.82 "," 79,768.09 "," 245,613.91 "," 1,297,724.66 "
URUCARA-AM,AM, -   ," 3,781.47 "," 3,781.47 "," 21,115.77 "
URUCURITUBA-AM,AM, -   ," 3,781.47 "," 3,781.47 "," 21,115.77 "
AMAZONAS  TOTAL,," 2,260,817.33 "," 1,863,145.50 "," 4,123,962.83 "," 24,139,586.84 "
LARANJAL DO JARI-AP,AP, -   ," 3,781.47 "," 3,781.47 "," 21,115.77 "
MACAPA-AP,AP, -   ," 3,781.47 "," 3,781.47 "," 21,115.77 "
MAZAGAO-AP,AP, -   ," 3,781.47 "," 3,781.47 "," 21,115.77 "
AMAPA  TOTAL,, -   ," 11,344.41 "," 11,344.41 "," 63,347.31 "
ACAJUTIBA-BA,BA," 1,436.93 ", -   ," 1,436.93 "," 8,542.64 "
ADUSTINA-BA,BA," 1,436.93 ", -   ," 1,436.93 "," 8,542.64 "
AGUA FRIA-BA,BA," 1,436.93 ", -   ," 1,436.93 "," 8,542.64 "
AIQUARA-BA,BA," 1,249.50 ", -   ," 1,249.50 "," 7,428.39 "
ALAGOINHAS-BA,BA," 703,750.43 "," 135,183.04 "," 838,933.47 "," 5,445,739.77 "
ALCOBACA-BA,BA," 1,624.36 ", -   ," 1,624.36 "," 9,656.93 "
ALMADINA-BA,BA," 1,249.50 ", -   ," 1,249.50 "," 7,428.39 "
AMARGOSA-BA,BA," 1,811.78 ", -   ," 1,811.78 "," 10,771.18 "
AMELIA RODRIGUES-BA,BA," 1,686.83 ", -   ," 1,686.83 "," 10,028.33 "
ANAGE-BA,BA," 1,686.83 ", -   ," 1,686.83 "," 10,028.33 "
ANGUERA-BA,BA," 1,311.98 ", -   ," 1,311.98 "," 7,799.81 "
ANTAS-BA,BA," 1,499.40 ", -   ," 1,499.40 "," 8,914.07 "
ANTONIO CARDOSO-BA,BA," 1,311.98 ", -   ," 1,311.98 "," 7,799.81 "
