ANADIA-AL,,,,,AL,,,,"491,07",,,,,,,,-,,,,,,"491,07",,,,,,,,,,"1.187,65",,,,,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"613,84",,,,,,,,-,,,,,,"613,84",,,,,,,,,,"1.484,55",,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"409,23",,,,,,,,-,,,,,,"409,23",,,,,,,,,,"989,70",,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"409,23",,,,,,,,-,,,,,,"409,23",,,,,,,,,,"989,70",,,,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"532,00",,,,,,,,-,,,,,,"532,00",,,,,,,,,,"1.286,62",,,,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"409,23",,,,,,,,-,,,,,,"409,23",,,,,,,,,,"989,70",,,,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"491,07",,,,,,,,-,,,,,,"491,07",,,,,,,,,,"1.187,65",,,,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"409,23",,,,,,,,-,,,,,,"409,23",,,,,,,,,,"989,70",,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"613,84",,,,,,,,-,,,,,,"613,84",,,,,,,,,,"1.484,55",,,,,,,,,,,,
CAPELA-AL,,,,,AL,,,,"532,00",,,,,,,,-,,,,,,"532,00",,,,,,,,,,"1.286,62",,,,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"409,23",,,,,,,,-,,,,,,"409,23",,,,,,,,,,"989,70",,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"491,07",,,,,,,,-,,,,,,"491,07",,,,,,,,,,"1.187,65",,,,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"409,23",,,,,,,,-,,,,,,"409,23",,,,,,,,,,"989,70",,,,,,,,,,,,
CORURIPE-AL,,,,,AL,,,,"43.313,82",,,,,,,,"20.536,54",,,,,,"63.850,36",,,,,,,,,,"169.571,89",,,,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"14.419,26",,,,,,,,"19.763,47",,,,,,"34.182,73",,,,,,,,,,"82.669,79",,,,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"450,15",,,,,,,,-,,,,,,"450,15",,,,,,,,,,"1.088,68",,,,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"470,61",,,,,,,,-,,,,,,"470,61",,,,,,,,,,"1.138,16",,,,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"511,53",,,,,,,,-,,,,,,"511,53",,,,,,,,,,"1.237,13",,,,,,,,,,,,
JACUIPE-AL,,,,,AL,,,,"409,23",,,,,,,,-,,,,,,"409,23",,,,,,,,,,"989,70",,,,,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,"409,23",,,,,,,,-,,,,,,"409,23",,,,,,,,,,"989,70",,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,"511,53",,,,,,,,-,,,,,,"511,53",,,,,,,,,,"1.237,13",,,,,,,,,,,,
JUNDIA-AL,,,,,AL,,,,"409,23",,,,,,,,-,,,,,,"409,23",,,,,,,,,,"989,70",,,,,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,"532,00",,,,,,,,-,,,,,,"532,00",,,,,,,,,,"1.286,62",,,,,,,,,,,,
MACEIO-AL,,,,,AL,,,,"23.594,21",,,,,,,,"9.907,50",,,,,,"33.501,71",,,,,,,,,,"113.022,59",,,,,,,,,,,,
MARAGOGI-AL,,,,,AL,,,,"491,07",,,,,,,,-,,,,,,"491,07",,,,,,,,,,"1.187,65",,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,"46.580,48",,,,,,,,"22.266,29",,,,,,"68.846,77",,,,,,,,,,"206.927,64",,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,"532,00",,,,,,,,-,,,,,,"532,00",,,,,,,,,,"1.286,62",,,,,,,,,,,,
MESSIAS-AL,,,,,AL,,,,"429,69",,,,,,,,-,,,,,,"429,69",,,,,,,,,,"1.039,19",,,,,,,,,,,,
MURICI-AL,,,,,AL,,,,"532,00",,,,,,,,-,,,,,,"532,00",,,,,,,,,,"1.286,62",,,,,,,,,,,,
NOVO LINO-AL,,,,,AL,,,,"429,69",,,,,,,,-,,,,,,"429,69",,,,,,,,,,"1.039,19",,,,,,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,"409,23",,,,,,,,-,,,,,,"409,23",,,,,,,,,,"989,70",,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,"450,15",,,,,,,,-,,,,,,"450,15",,,,,,,,,,"1.088,68",,,,,,,,,,,,
PENEDO-AL,,,,,AL,,,,"654,76",,,,,,,,-,,,,,,"654,76",,,,,,,,,,"1.583,53",,,,,,,,,,,,
PIACABUCU-AL,,,,,AL,,,,"470,61",,,,,,,,-,,,,,,"470,61",,,,,,,,,,"1.138,16",,,,,,,,,,,,
PILAR-AL,,,,,AL,,,,"87.819,30",,,,,,,,"43.522,54",,,,,,"131.341,84",,,,,,,,,,"414.540,62",,,,,,,,,,,,
PINDOBA-AL,,,,,AL,,,,"409,23",,,,,,,,-,,,,,,"409,23",,,,,,,,,,"989,70",,,,,,,,,,,,
PORTO CALVO-AL,,,,,AL,,,,"552,46",,,,,,,,-,,,,,,"552,46",,,,,,,,,,"1.336,11",,,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,"429,69",,,,,,,,-,,,,,,"429,69",,,,,,,,,,"1.039,19",,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,"491,07",,,,,,,,-,,,,,,"491,07",,,,,,,,,,"1.187,65",,,,,,,,,,,,
RIO LARGO-AL,,,,,AL,,,,"1.625,71",,,,,,,,"613,60",,,,,,"2.239,31",,,,,,,,,,"6.334,82",,,,,,,,,,,,
ROTEIRO-AL,,,,,AL,,,,"710,10",,,,,,,,"194,20",,,,,,"904,30",,,,,,,,,,"2.531,85",,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,"20.174,69",,,,,,,,-,,,,,,"20.174,69",,,,,,,,,,"62.985,49",,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,"450,15",,,,,,,,-,,,,,,"450,15",,,,,,,,,,"1.088,68",,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,"532,00",,,,,,,,-,,,,,,"532,00",,,,,,,,,,"1.286,62",,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,"572,92",,,,,,,,-,,,,,,"572,92",,,,,,,,,,"1.385,59",,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,"61.763,01",,,,,,,,"23.397,33",,,,,,"85.160,34",,,,,,,,,,"265.571,41",,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,"409,23",,,,,,,,-,,,,,,"409,23",,,,,,,,,,"989,70",,,,,,,,,,,,
SATUBA-AL,,,,,AL,,,,"3.421,19",,,,,,,,"1.928,52",,,,,,"5.349,71",,,,,,,,,,"12.698,19",,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,"593,38",,,,,,,,-,,,,,,"593,38",,,,,,,,,,"1.435,07",,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,"654,76",,,,,,,,-,,,,,,"654,76",,,,,,,,,,"1.583,53",,,,,,,,,,,,
