ANADIA,,,AL,,,"631,82",,,,,,,-,,,,,,,,"631,82",,,,,,,"1.723,81",,,,,,,,,,,,,
ATALAIA,,,AL,,,"816,11",,,,,,,-,,,,,,,,"816,11",,,,,,,"2.226,60",,,,,,,,,,,,,
BARRA DE SANTO ANTONIO,,,AL,,,"552,84",,,,,,,-,,,,,,,,"552,84",,,,,,,"1.508,33",,,,,,,,,,,,,
BARRA DE SAO MIGUEL,,,AL,,,"526,52",,,,,,,-,,,,,,,,"526,52",,,,,,,"1.436,51",,,,,,,,,,,,,
BOCA DA MATA,,,AL,,,"710,80",,,,,,,-,,,,,,,,"710,80",,,,,,,"1.939,29",,,,,,,,,,,,,
BRANQUINHA,,,AL,,,"552,84",,,,,,,-,,,,,,,,"552,84",,,,,,,"1.508,33",,,,,,,,,,,,,
CAJUEIRO,,,AL,,,"658,15",,,,,,,-,,,,,,,,"658,15",,,,,,,"1.795,64",,,,,,,,,,,,,
CAMPESTRE,,,AL,,,"526,52",,,,,,,-,,,,,,,,"526,52",,,,,,,"1.436,51",,,,,,,,,,,,,
CAMPO ALEGRE,,,AL,,,"816,11",,,,,,,-,,,,,,,,"816,11",,,,,,,"2.226,60",,,,,,,,,,,,,
CAPELA,,,AL,,,"658,15",,,,,,,-,,,,,,,,"658,15",,,,,,,"1.795,64",,,,,,,,,,,,,
CHA PRETA,,,AL,,,"526,52",,,,,,,-,,,,,,,,"526,52",,,,,,,"1.436,51",,,,,,,,,,,,,
COLONIA LEOPOLDINA,,,AL,,,"631,82",,,,,,,-,,,,,,,,"631,82",,,,,,,"1.723,81",,,,,,,,,,,,,
COQUEIRO SECO,,,AL,,,"526,52",,,,,,,-,,,,,,,,"526,52",,,,,,,"1.436,51",,,,,,,,,,,,,
CORURIPE,,,AL,,,"1.089.233,11",,,,,,,"31.797,99",,,,,,,,"1.121.031,10",,,,,,,"2.888.887,40",,,,,,,,,,,,,
FELIZ DESERTO,,,AL,,,"18.757,40",,,,,,,"26.213,46",,,,,,,,"44.970,86",,,,,,,"122.694,65",,,,,,,,,,,,,
FLEXEIRAS,,,AL,,,"579,17",,,,,,,-,,,,,,,,"579,17",,,,,,,"1.580,15",,,,,,,,,,,,,
IBATEGUARA,,,AL,,,"605,50",,,,,,,-,,,,,,,,"605,50",,,,,,,"1.651,99",,,,,,,,,,,,,
IGREJA NOVA,,,AL,,,"684,48",,,,,,,-,,,,,,,,"684,48",,,,,,,"1.867,46",,,,,,,,,,,,,
JACUIPE,,,AL,,,"526,52",,,,,,,-,,,,,,,,"526,52",,,,,,,"1.436,51",,,,,,,,,,,,,
JAPARATINGA,,,AL,,,"526,52",,,,,,,-,,,,,,,,"526,52",,,,,,,"1.436,51",,,,,,,,,,,,,
JEQUIA DA PRAIA,,,AL,,,"579,17",,,,,,,-,,,,,,,,"579,17",,,,,,,"1.580,15",,,,,,,,,,,,,
JOAQUIM GOMES,,,AL,,,"684,48",,,,,,,-,,,,,,,,"684,48",,,,,,,"1.867,46",,,,,,,,,,,,,
JUNDIA,,,AL,,,"526,52",,,,,,,-,,,,,,,,"526,52",,,,,,,"1.436,51",,,,,,,,,,,,,
JUNQUEIRO,,,AL,,,"684,48",,,,,,,-,,,,,,,,"684,48",,,,,,,"1.867,46",,,,,,,,,,,,,
MACEIO,,,AL,,,"81.042,72",,,,,,,"17.994,43",,,,,,,,"99.037,15",,,,,,,"255.276,34",,,,,,,,,,,,,
MARAGOGI,,,AL,,,"684,48",,,,,,,-,,,,,,,,"684,48",,,,,,,"1.867,46",,,,,,,,,,,,,
MARECHAL DEODORO,,,AL,,,"152.446,51",,,,,,,"84.200,03",,,,,,,,"236.646,54",,,,,,,"642.834,61",,,,,,,,,,,,,
MATRIZ DE CAMARAGIBE,,,AL,,,"684,48",,,,,,,-,,,,,,,,"684,48",,,,,,,"1.867,46",,,,,,,,,,,,,
MESSIAS,,,AL,,,"552,84",,,,,,,-,,,,,,,,"552,84",,,,,,,"1.508,33",,,,,,,,,,,,,
MURICI,,,AL,,,"710,80",,,,,,,-,,,,,,,,"710,80",,,,,,,"1.939,29",,,,,,,,,,,,,
NOVO LINO,,,AL,,,"552,84",,,,,,,-,,,,,,,,"552,84",,,,,,,"1.508,33",,,,,,,,,,,,,
PARIPUEIRA,,,AL,,,"526,52",,,,,,,"9.647,17",,,,,,,,"10.173,69",,,,,,,"12.423,26",,,,,,,,,,,,,
PASSO DE CAMARAGIBE,,,AL,,,"579,17",,,,,,,-,,,,,,,,"579,17",,,,,,,"1.580,15",,,,,,,,,,,,,
PENEDO,,,AL,,,"868,76",,,,,,,-,,,,,,,,"868,76",,,,,,,"2.370,24",,,,,,,,,,,,,
PIACABUCU,,,AL,,,"631,82",,,,,,,-,,,,,,,,"631,82",,,,,,,"1.723,81",,,,,,,,,,,,,
PILAR,,,AL,,,"134.294,28",,,,,,,"86.144,36",,,,,,,,"220.438,64",,,,,,,"635.345,80",,,,,,,,,,,,,
PINDOBA,,,AL,,,"526,52",,,,,,,-,,,,,,,,"526,52",,,,,,,"1.436,51",,,,,,,,,,,,,
PORTO CALVO,,,AL,,,"684,48",,,,,,,-,,,,,,,,"684,48",,,,,,,"1.867,46",,,,,,,,,,,,,
PORTO DE PEDRAS,,,AL,,,"552,84",,,,,,,-,,,,,,,,"552,84",,,,,,,"1.508,33",,,,,,,,,,,,,
PORTO REAL DO COLEGIO,,,AL,,,"658,15",,,,,,,-,,,,,,,,"658,15",,,,,,,"1.795,64",,,,,,,,,,,,,
RIO LARGO,,,AL,,,"3.773,41",,,,,,,"1.873,50",,,,,,,,"5.646,91",,,,,,,"11.637,09",,,,,,,,,,,,,
ROTEIRO,,,AL,,,"1.043,92",,,,,,,"333,72",,,,,,,,"1.377,64",,,,,,,"3.748,46",,,,,,,,,,,,,
SANTA LUZIA DO NORTE,,,AL,,,"526,52",,,,,,,-,,,,,,,,"526,52",,,,,,,"1.436,51",,,,,,,,,,,,,
SANTANA DO MUNDAU,,,AL,,,"552,84",,,,,,,-,,,,,,,,"552,84",,,,,,,"1.508,33",,,,,,,,,,,,,
SAO JOSE DA LAJE,,,AL,,,"684,48",,,,,,,-,,,,,,,,"684,48",,,,,,,"1.867,46",,,,,,,,,,,,,
SAO LUIS DO QUITUNDE,,,AL,,,"737,13",,,,,,,-,,,,,,,,"737,13",,,,,,,"2.011,12",,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS,,,AL,,,"131.856,40",,,,,,,"35.073,08",,,,,,,,"166.929,48",,,,,,,"460.814,61",,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES,,,AL,,,"526,52",,,,,,,-,,,,,,,,"526,52",,,,,,,"1.436,51",,,,,,,,,,,,,
SATUBA,,,AL,,,"53.229,59",,,,,,,"33.959,52",,,,,,,,"87.189,11",,,,,,,"212.727,19",,,,,,,,,,,,,
TEOTONIO VILELA,,,AL,,,"789,78",,,,,,,-,,,,,,,,"789,78",,,,,,,"2.154,76",,,,,,,,,,,,,
UNIAO DOS PALMARES,,,AL,,,"868,76",,,,,,,-,,,,,,,,"868,76",,,,,,,"2.370,24",,,,,,,,,,,,,
VICOSA,,,AL,,,"710,80",,,,,,,-,,,,,,,,"710,80",,,,,,,"1.939,29",,,,,,,,,,,,,
ANAMA,,,AM,,,-,,,,,,,"2.614,94",,,,,,,,"2.614,94",,,,,,,"7.682,23",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
