ANADIA,,,,AL,,,,,"589,77",,,,,,,-,,,,,,,"589,77",,,,,,,,,"1.757,02",,,,,,,,,,,
ATALAIA,,,,AL,,,,,"761,78",,,,,,,-,,,,,,,"761,78",,,,,,,,,"2.269,49",,,,,,,,,,,
BARRA DE SANTO ANTONIO,,,,AL,,,,,"516,05",,,,,,,-,,,,,,,"516,05",,,,,,,,,"1.537,40",,,,,,,,,,,
BARRA DE SAO MIGUEL,,,,AL,,,,,"491,47",,,,,,,-,,,,,,,"491,47",,,,,,,,,"1.464,19",,,,,,,,,,,
BOCA DA MATA,,,,AL,,,,,"663,49",,,,,,,-,,,,,,,"663,49",,,,,,,,,"1.976,66",,,,,,,,,,,
BRANQUINHA,,,,AL,,,,,"516,05",,,,,,,-,,,,,,,"516,05",,,,,,,,,"1.537,40",,,,,,,,,,,
CAJUEIRO,,,,AL,,,,,"614,34",,,,,,,-,,,,,,,"614,34",,,,,,,,,"1.830,23",,,,,,,,,,,
CAMPESTRE,,,,AL,,,,,"491,47",,,,,,,-,,,,,,,"491,47",,,,,,,,,"1.464,19",,,,,,,,,,,
CAMPO ALEGRE,,,,AL,,,,,"761,78",,,,,,,-,,,,,,,"761,78",,,,,,,,,"2.269,49",,,,,,,,,,,
CAPELA,,,,AL,,,,,"614,34",,,,,,,-,,,,,,,"614,34",,,,,,,,,"1.830,23",,,,,,,,,,,
CHA PRETA,,,,AL,,,,,"491,47",,,,,,,-,,,,,,,"491,47",,,,,,,,,"1.464,19",,,,,,,,,,,
COLONIA LEOPOLDINA,,,,AL,,,,,"589,77",,,,,,,-,,,,,,,"589,77",,,,,,,,,"1.757,02",,,,,,,,,,,
COQUEIRO SECO,,,,AL,,,,,"828,04",,,,,,,"217,09",,,,,,,"1.045,13",,,,,,,,,"3.065,61",,,,,,,,,,,
CORURIPE,,,,AL,,,,,"770.821,31",,,,,,,"44.410,55",,,,,,,"815.231,86",,,,,,,,,"2.354.057,31",,,,,,,,,,,
FELIZ DESERTO,,,,AL,,,,,"17.508,86",,,,,,,"24.468,63",,,,,,,"41.977,49",,,,,,,,,"125.058,57",,,,,,,,,,,
FLEXEIRAS,,,,AL,,,,,"540,62",,,,,,,-,,,,,,,"540,62",,,,,,,,,"1.610,60",,,,,,,,,,,
IBATEGUARA,,,,AL,,,,,"565,19",,,,,,,-,,,,,,,"565,19",,,,,,,,,"1.683,81",,,,,,,,,,,
IGREJA NOVA,,,,AL,,,,,"638,91",,,,,,,-,,,,,,,"638,91",,,,,,,,,"1.903,44",,,,,,,,,,,
JACUIPE,,,,AL,,,,,"491,47",,,,,,,-,,,,,,,"491,47",,,,,,,,,"1.464,19",,,,,,,,,,,
JAPARATINGA,,,,AL,,,,,"491,47",,,,,,,-,,,,,,,"491,47",,,,,,,,,"1.464,19",,,,,,,,,,,
JEQUIA DA PRAIA,,,,AL,,,,,"6.532,88",,,,,,,"2.516,75",,,,,,,"9.049,63",,,,,,,,,"18.217,21",,,,,,,,,,,
JOAQUIM GOMES,,,,AL,,,,,"638,91",,,,,,,-,,,,,,,"638,91",,,,,,,,,"1.903,44",,,,,,,,,,,
JUNDIA,,,,AL,,,,,"491,47",,,,,,,-,,,,,,,"491,47",,,,,,,,,"1.464,19",,,,,,,,,,,
JUNQUEIRO,,,,AL,,,,,"638,91",,,,,,,-,,,,,,,"638,91",,,,,,,,,"1.903,44",,,,,,,,,,,
MACEIO,,,,AL,,,,,"67.302,02",,,,,,,"10.766,22",,,,,,,"78.068,24",,,,,,,,,"222.636,04",,,,,,,,,,,
MARAGOGI,,,,AL,,,,,"638,91",,,,,,,-,,,,,,,"638,91",,,,,,,,,"1.903,44",,,,,,,,,,,
MARECHAL DEODORO,,,,AL,,,,,"143.886,36",,,,,,,"99.140,95",,,,,,,"243.027,31",,,,,,,,,"673.609,31",,,,,,,,,,,
MATRIZ DE CAMARAGIBE,,,,AL,,,,,"638,91",,,,,,,-,,,,,,,"638,91",,,,,,,,,"1.903,44",,,,,,,,,,,
MESSIAS,,,,AL,,,,,"516,05",,,,,,,-,,,,,,,"516,05",,,,,,,,,"1.537,40",,,,,,,,,,,
MURICI,,,,AL,,,,,"663,49",,,,,,,-,,,,,,,"663,49",,,,,,,,,"1.976,66",,,,,,,,,,,
NOVO LINO,,,,AL,,,,,"516,05",,,,,,,-,,,,,,,"516,05",,,,,,,,,"1.537,40",,,,,,,,,,,
PARIPUEIRA,,,,AL,,,,,"491,47",,,,,,,"5.495,61",,,,,,,"5.987,08",,,,,,,,,"17.491,99",,,,,,,,,,,
PASSO DE CAMARAGIBE,,,,AL,,,,,"540,62",,,,,,,-,,,,,,,"540,62",,,,,,,,,"1.610,60",,,,,,,,,,,
PENEDO,,,,AL,,,,,"810,93",,,,,,,-,,,,,,,"810,93",,,,,,,,,"2.415,91",,,,,,,,,,,
PIACABUCU,,,,AL,,,,,"589,77",,,,,,,-,,,,,,,"589,77",,,,,,,,,"1.757,02",,,,,,,,,,,
PILAR,,,,AL,,,,,"115.018,42",,,,,,,"73.743,08",,,,,,,"188.761,50",,,,,,,,,"536.487,32",,,,,,,,,,,
PINDOBA,,,,AL,,,,,"491,47",,,,,,,-,,,,,,,"491,47",,,,,,,,,"1.464,19",,,,,,,,,,,
PORTO CALVO,,,,AL,,,,,"638,91",,,,,,,-,,,,,,,"638,91",,,,,,,,,"1.903,44",,,,,,,,,,,
PORTO DE PEDRAS,,,,AL,,,,,"516,05",,,,,,,-,,,,,,,"516,05",,,,,,,,,"1.537,40",,,,,,,,,,,
PORTO REAL DO COLEGIO,,,,AL,,,,,"614,34",,,,,,,-,,,,,,,"614,34",,,,,,,,,"1.830,23",,,,,,,,,,,
RIO LARGO,,,,AL,,,,,"3.657,35",,,,,,,"1.835,94",,,,,,,"5.493,29",,,,,,,,,"21.213,74",,,,,,,,,,,
ROTEIRO,,,,AL,,,,,"643,24",,,,,,,"97,89",,,,,,,"741,13",,,,,,,,,"2.373,51",,,,,,,,,,,
