ANADIA-AL,,,,AL,,,"820,32",,,,,,,,-,,,,,,"820,32",,,,,,,"2.332,73",,,,,,,,,,,,
ATALAIA-AL,,,,AL,,,"1.059,59",,,,,,,,-,,,,,,"1.059,59",,,,,,,"3.013,12",,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,"717,78",,,,,,,,-,,,,,,"717,78",,,,,,,"2.041,14",,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,"683,60",,,,,,,,-,,,,,,"683,60",,,,,,,"1.943,94",,,,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,"922,86",,,,,,,,-,,,,,,"922,86",,,,,,,"2.624,33",,,,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,"717,78",,,,,,,,-,,,,,,"717,78",,,,,,,"2.041,14",,,,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,"854,50",,,,,,,,-,,,,,,"854,50",,,,,,,"2.429,93",,,,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,"683,60",,,,,,,,-,,,,,,"683,60",,,,,,,"1.943,94",,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,"1.059,59",,,,,,,,-,,,,,,"1.059,59",,,,,,,"3.013,12",,,,,,,,,,,,
CAPELA-AL,,,,AL,,,"854,50",,,,,,,,-,,,,,,"854,50",,,,,,,"2.429,93",,,,,,,,,,,,
CHA PRETA-AL,,,,AL,,,"683,60",,,,,,,,-,,,,,,"683,60",,,,,,,"1.943,94",,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,"820,32",,,,,,,,-,,,,,,"820,32",,,,,,,"2.332,73",,,,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,"1.140,62",,,,,,,,"294,77",,,,,,"1.435,39",,,,,,,"4.323,11",,,,,,,,,,,,
CORURIPE-AL,,,,AL,,,"877.040,06",,,,,,,,"68.304,79",,,,,,"945.344,85",,,,,,,"2.975.896,39",,,,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,"24.810,90",,,,,,,,"34.006,44",,,,,,"58.817,34",,,,,,,"167.257,69",,,,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,"717,78",,,,,,,,-,,,,,,"717,78",,,,,,,"2.041,14",,,,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,"786,14",,,,,,,,-,,,,,,"786,14",,,,,,,"2.235,54",,,,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,"888,68",,,,,,,,-,,,,,,"888,68",,,,,,,"2.527,13",,,,,,,,,,,,
JACUIPE-AL,,,,AL,,,"683,60",,,,,,,,-,,,,,,"683,60",,,,,,,"1.943,94",,,,,,,,,,,,
JAPARATINGA-AL,,,,AL,,,"683,60",,,,,,,,-,,,,,,"683,60",,,,,,,"1.943,94",,,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,"1.094,17",,,,,,,,"143,72",,,,,,"1.237,89",,,,,,,"10.636,71",,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,"888,68",,,,,,,,-,,,,,,"888,68",,,,,,,"2.527,13",,,,,,,,,,,,
JUNDIA-AL,,,,AL,,,"683,60",,,,,,,,-,,,,,,"683,60",,,,,,,"1.943,94",,,,,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,"888,68",,,,,,,,-,,,,,,"888,68",,,,,,,"2.527,13",,,,,,,,,,,,
MACEIO-AL,,,,AL,,,"93.925,70",,,,,,,,"22.371,41",,,,,,"116.297,11",,,,,,,"315.443,03",,,,,,,,,,,,
MARAGOGI-AL,,,,AL,,,"888,68",,,,,,,,-,,,,,,"888,68",,,,,,,"2.527,13",,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,"153.747,67",,,,,,,,"118.512,99",,,,,,"272.260,66",,,,,,,"783.350,70",,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,"922,86",,,,,,,,-,,,,,,"922,86",,,,,,,"2.624,33",,,,,,,,,,,,
MESSIAS-AL,,,,AL,,,"717,78",,,,,,,,-,,,,,,"717,78",,,,,,,"2.041,14",,,,,,,,,,,,
MURICI-AL,,,,AL,,,"922,86",,,,,,,,-,,,,,,"922,86",,,,,,,"2.624,33",,,,,,,,,,,,
NOVO LINO-AL,,,,AL,,,"717,78",,,,,,,,-,,,,,,"717,78",,,,,,,"2.041,14",,,,,,,,,,,,
PARIPUEIRA-AL,,,,AL,,,"683,60",,,,,,,,"11.678,19",,,,,,"12.361,79",,,,,,,"29.240,31",,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,"751,96",,,,,,,,-,,,,,,"751,96",,,,,,,"2.138,33",,,,,,,,,,,,
PENEDO-AL,,,,AL,,,"1.127,95",,,,,,,,-,,,,,,"1.127,95",,,,,,,"3.207,52",,,,,,,,,,,,
PIACABUCU-AL,,,,AL,,,"820,32",,,,,,,,-,,,,,,"820,32",,,,,,,"2.332,73",,,,,,,,,,,,
PILAR-AL,,,,AL,,,"239.352,17",,,,,,,,"153.764,85",,,,,,"393.117,02",,,,,,,"1.075.222,38",,,,,,,,,,,,
PINDOBA-AL,,,,AL,,,"683,60",,,,,,,,-,,,,,,"683,60",,,,,,,"1.943,94",,,,,,,,,,,,
PORTO CALVO-AL,,,,AL,,,"888,68",,,,,,,,-,,,,,,"888,68",,,,,,,"2.527,13",,,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,"717,78",,,,,,,,-,,,,,,"717,78",,,,,,,"2.041,14",,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,"854,50",,,,,,,,-,,,,,,"854,50",,,,,,,"2.429,93",,,,,,,,,,,,
RIO LARGO-AL,,,,AL,,,"11.212,50",,,,,,,,"6.504,53",,,,,,"17.717,03",,,,,,,"48.458,67",,,,,,,,,,,,
ROTEIRO-AL,,,,AL,,,"1.368,90",,,,,,,,"442,02",,,,,,"1.810,92",,,,,,,"4.913,48",,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,"683,60",,,,,,,,-,,,,,,"683,60",,,,,,,"1.943,94",,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,"717,78",,,,,,,,-,,,,,,"717,78",,,,,,,"2.041,14",,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,"888,68",,,,,,,,-,,,,,,"888,68",,,,,,,"2.527,13",,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,"957,04",,,,,,,,-,,,,,,"957,04",,,,,,,"2.721,52",,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,"328.762,79",,,,,,,,"209.894,56",,,,,,"538.657,35",,,,,,,"1.488.310,09",,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,"683,60",,,,,,,,-,,,,,,"683,60",,,,,,,"1.943,94",,,,,,,,,,,,
SATUBA-AL,,,,AL,,,"25.331,64",,,,,,,,"15.853,89",,,,,,"41.185,53",,,,,,,"95.339,19",,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,"1.025,41",,,,,,,,-,,,,,,"1.025,41",,,,,,,"2.915,93",,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,"1.127,95",,,,,,,,-,,,,,,"1.127,95",,,,,,,"3.207,52",,,,,,,,,,,,
VICOSA-AL,,,,AL,,,"922,86",,,,,,,,-,,,,,,"922,86",,,,,,,"2.624,33",,,,,,,,,,,,
