ANADIA-AL,,,,,,,,AL,,,"826,38",,,,,,,,-,,,,,,,"826,38",,,,,,,,,,"2.596,05",,,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,"1.101,84",,,,,,,,-,,,,,,,"1.101,84",,,,,,,,,,"3.461,40",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,"757,51",,,,,,,,-,,,,,,,"757,51",,,,,,,,,,"2.379,71",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,"688,65",,,,,,,,-,,,,,,,"688,65",,,,,,,,,,"2.163,38",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,"929,68",,,,,,,,-,,,,,,,"929,68",,,,,,,,,,"2.920,56",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,"723,08",,,,,,,,-,,,,,,,"723,08",,,,,,,,,,"2.271,54",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,"895,24",,,,,,,,-,,,,,,,"895,24",,,,,,,,,,"2.812,38",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,"688,65",,,,,,,,-,,,,,,,"688,65",,,,,,,,,,"2.163,38",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,"1.067,41",,,,,,,,-,,,,,,,"1.067,41",,,,,,,,,,"3.353,24",,,,,,,,,,
CAPELA-AL,,,,,,,,AL,,,"826,38",,,,,,,,-,,,,,,,"826,38",,,,,,,,,,"2.596,05",,,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,"688,65",,,,,,,,-,,,,,,,"688,65",,,,,,,,,,"2.163,38",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,"860,81",,,,,,,,-,,,,,,,"860,81",,,,,,,,,,"2.704,22",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,"792,41",,,,,,,,"66,93",,,,,,,"859,34",,,,,,,,,,"3.259,73",,,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,"645.467,83",,,,,,,,"54.276,81",,,,,,,"699.744,64",,,,,,,,,,"2.167.280,89",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,,"24.751,76",,,,,,,,"34.590,59",,,,,,,"59.342,35",,,,,,,,,,"186.422,65",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,,"723,08",,,,,,,,-,,,,,,,"723,08",,,,,,,,,,"2.271,54",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,,"791,95",,,,,,,,-,,,,,,,"791,95",,,,,,,,,,"2.487,88",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,,"895,24",,,,,,,,-,,,,,,,"895,24",,,,,,,,,,"2.812,38",,,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,,"688,65",,,,,,,,-,,,,,,,"688,65",,,,,,,,,,"2.163,38",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,,"688,65",,,,,,,,-,,,,,,,"688,65",,,,,,,,,,"2.163,38",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,,"7.176,58",,,,,,,,"2.710,47",,,,,,,"9.887,05",,,,,,,,,,"51.018,76",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,,"895,24",,,,,,,,-,,,,,,,"895,24",,,,,,,,,,"2.812,38",,,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,,"688,99",,,,,,,,-,,,,,,,"688,99",,,,,,,,,,"2.167,93",,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,,"929,68",,,,,,,,-,,,,,,,"929,68",,,,,,,,,,"2.920,56",,,,,,,,,,
MACEIO-AL,,,,,,,,AL,,,"56.789,32",,,,,,,,"14.599,51",,,,,,,"71.388,83",,,,,,,,,,"219.058,19",,,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,,"929,68",,,,,,,,-,,,,,,,"929,68",,,,,,,,,,"2.920,56",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,,"67.674,11",,,,,,,,"56.660,14",,,,,,,"124.334,25",,,,,,,,,,"379.914,14",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,,"929,68",,,,,,,,-,,,,,,,"929,68",,,,,,,,,,"2.920,56",,,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,,"791,95",,,,,,,,-,,,,,,,"791,95",,,,,,,,,,"2.487,88",,,,,,,,,,
MURICI-AL,,,,,,,,AL,,,"929,68",,,,,,,,-,,,,,,,"929,68",,,,,,,,,,"2.920,56",,,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,,"723,08",,,,,,,,-,,,,,,,"723,08",,,,,,,,,,"2.271,54",,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,,"688,65",,,,,,,,"5.858,99",,,,,,,"6.547,64",,,,,,,,,,"20.339,01",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,,"757,51",,,,,,,,-,,,,,,,"757,51",,,,,,,,,,"2.379,71",,,,,,,,,,
PENEDO-AL,,,,,,,,AL,,,"388.171,47",,,,,,,,-,,,,,,,"388.171,47",,,,,,,,,,"1.195.531,32",,,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,,"826,38",,,,,,,,-,,,,,,,"826,38",,,,,,,,,,"2.596,05",,,,,,,,,,
PILAR-AL,,,,,,,,AL,,,"77.012,63",,,,,,,,"49.051,29",,,,,,,"126.063,92",,,,,,,,,,"428.275,00",,,,,,,,,,
PINDOBA-AL,,,,,,,,AL,,,"688,65",,,,,,,,-,,,,,,,"688,65",,,,,,,,,,"2.163,38",,,,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,,"929,68",,,,,,,,-,,,,,,,"929,68",,,,,,,,,,"2.920,56",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,,"723,08",,,,,,,,-,,,,,,,"723,08",,,,,,,,,,"2.271,54",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,,"826,38",,,,,,,,-,,,,,,,"826,38",,,,,,,,,,"2.596,05",,,,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,,"12.733,10",,,,,,,,"7.457,76",,,,,,,"20.190,86",,,,,,,,,,"62.796,56",,,,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,,"688,65",,,,,,,,-,,,,,,,"688,65",,,,,,,,,,"2.588,15",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,,"32.160,51",,,,,,,,"275,15",,,,,,,"32.435,66",,,,,,,,,,"96.935,37",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,,"723,08",,,,,,,,-,,,,,,,"723,08",,,,,,,,,,"2.271,54",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,,"895,24",,,,,,,,-,,,,,,,"895,24",,,,,,,,,,"2.812,38",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,,"964,11",,,,,,,,-,,,,,,,"964,11",,,,,,,,,,"3.028,73",,,,,,,,,,
