ANADIA-AL,AL, 424.60 , -   , 424.60 ," 1,165.73 "
ATALAIA-AL,AL, 548.44 , -   , 548.44 ," 1,505.73 "
BARRA DE SANTO ANTONIO-AL,AL, 406.91 , -   , 406.91 ," 1,117.15 "
BARRA DE SAO MIGUEL-AL,AL, 353.83 , -   , 353.83 , 971.43 
BOCA DA MATA-AL,AL, 477.68 , -   , 477.68 ," 1,311.45 "
BRANQUINHA-AL,AL, 371.52 , -   , 371.52 ," 1,020.00 "
CAJUEIRO-AL,AL, 459.98 , -   , 459.98 ," 1,262.86 "
CAMPESTRE-AL,AL, 353.83 , -   , 353.83 , 971.43 
CAMPO ALEGRE-AL,AL, 566.13 , -   , 566.13 ," 1,554.29 "
CAPELA-AL,AL, 424.60 , -   , 424.60 ," 1,165.73 "
CHA PRETA-AL,AL, 353.83 , -   , 353.83 , 971.43 
COLONIA LEOPOLDINA-AL,AL, 459.98 , -   , 459.98 ," 1,262.86 "
COQUEIRO SECO-AL,AL," 654,680.46 ", 86.46 ," 654,766.92 "," 1,968,600.87 "
CORURIPE-AL,AL," 465,128.95 "," 41,617.38 "," 506,746.33 "," 1,489,375.83 "
FELIZ DESERTO-AL,AL," 12,799.38 "," 17,887.13 "," 30,686.51 "," 84,248.65 "
FLEXEIRAS-AL,AL, 389.22 , -   , 389.22 ," 1,068.58 "
IBATEGUARA-AL,AL, 406.91 , -   , 406.91 ," 1,117.15 "
IGREJA NOVA-AL,AL, 459.98 , -   , 459.98 ," 1,262.86 "
JACUIPE-AL,AL, 353.83 , -   , 353.83 , 971.43 
JAPARATINGA-AL,AL, 353.83 , -   , 353.83 , 971.43 
JEQUIA DA PRAIA-AL,AL, 389.22 , -   , 389.22 ," 1,068.58 "
JOAQUIM GOMES-AL,AL, 459.98 , -   , 459.98 ," 1,262.86 "
JUNDIA-AL,AL, 353.83 , -   , 353.83 , 971.43 
JUNQUEIRO-AL,AL, 459.98 , -   , 459.98 ," 1,262.86 "
MACEIO-AL,AL," 666,448.85 "," 16,827.41 "," 683,276.26 "," 2,054,970.47 "
MARAGOGI-AL,AL, 495.37 , -   , 495.37 ," 1,360.01 "
