ANADIA-AL,,,,AL,,,,,"148,03",,,,,,,,,-,,,,,,"148,03",,,,,,,,"762,75",,,,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"185,03",,,,,,,,,-,,,,,,"185,03",,,,,,,,"953,43",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"123,35",,,,,,,,,-,,,,,,"123,35",,,,,,,,"635,63",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"123,35",,,,,,,,,-,,,,,,"123,35",,,,,,,,"635,63",,,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"160,36",,,,,,,,,-,,,,,,"160,36",,,,,,,,"826,32",,,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"123,35",,,,,,,,,-,,,,,,"123,35",,,,,,,,"635,63",,,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"148,03",,,,,,,,,-,,,,,,"148,03",,,,,,,,"762,75",,,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"123,35",,,,,,,,,-,,,,,,"123,35",,,,,,,,"635,63",,,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"185,03",,,,,,,,,-,,,,,,"185,03",,,,,,,,"953,43",,,,,,,,,,,
CAPELA-AL,,,,AL,,,,,"160,36",,,,,,,,,-,,,,,,"160,36",,,,,,,,"826,32",,,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"123,35",,,,,,,,,-,,,,,,"123,35",,,,,,,,"635,63",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"148,03",,,,,,,,,-,,,,,,"148,03",,,,,,,,"762,75",,,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"8.778,01",,,,,,,,,"767,43",,,,,,"9.545,44",,,,,,,,"36.511,76",,,,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"15.921,88",,,,,,,,,"6.324,11",,,,,,"22.245,99",,,,,,,,"99.821,58",,,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"4.346,58",,,,,,,,,"5.979,23",,,,,,"10.325,81",,,,,,,,"53.095,25",,,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"135,69",,,,,,,,,-,,,,,,"135,69",,,,,,,,"699,18",,,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"141,86",,,,,,,,,-,,,,,,"141,86",,,,,,,,"730,96",,,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,,"154,19",,,,,,,,,-,,,,,,"154,19",,,,,,,,"794,53",,,,,,,,,,,
JACUIPE-AL,,,,AL,,,,,"123,35",,,,,,,,,-,,,,,,"123,35",,,,,,,,"635,63",,,,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,,"123,35",,,,,,,,,-,,,,,,"123,35",,,,,,,,"635,63",,,,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,,"154,19",,,,,,,,,-,,,,,,"154,19",,,,,,,,"794,53",,,,,,,,,,,
JUNDIA-AL,,,,AL,,,,,"123,35",,,,,,,,,-,,,,,,"123,35",,,,,,,,"635,63",,,,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,,"160,36",,,,,,,,,-,,,,,,"160,36",,,,,,,,"826,32",,,,,,,,,,,
MACEIO-AL,,,,AL,,,,,"10.818,21",,,,,,,,,"11.698,38",,,,,,"22.516,59",,,,,,,,"77.328,90",,,,,,,,,,,
MARAGOGI-AL,,,,AL,,,,,"148,03",,,,,,,,,-,,,,,,"148,03",,,,,,,,"762,75",,,,,,,,,,,
