ANADIA,,,,AL,,,,,"629,41",,,,,,,,-,,,,,,,"629,41",,,,,,,,"2.941,18",,,,,,,,,
ATALAIA,,,,AL,,,,,"812,98",,,,,,,,-,,,,,,,"812,98",,,,,,,,"3.799,03",,,,,,,,,
BARRA DE SANTO ANTONIO,,,,AL,,,,,"550,73",,,,,,,,-,,,,,,,"550,73",,,,,,,,"2.573,53",,,,,,,,,
BARRA DE SAO MIGUEL,,,,AL,,,,,"524,50",,,,,,,,-,,,,,,,"524,50",,,,,,,,"2.450,98",,,,,,,,,
BOCA DA MATA,,,,AL,,,,,"708,08",,,,,,,,-,,,,,,,"708,08",,,,,,,,"3.308,83",,,,,,,,,
BRANQUINHA,,,,AL,,,,,"550,73",,,,,,,,-,,,,,,,"550,73",,,,,,,,"2.573,53",,,,,,,,,
CAJUEIRO,,,,AL,,,,,"655,63",,,,,,,,-,,,,,,,"655,63",,,,,,,,"3.063,73",,,,,,,,,
CAMPESTRE,,,,AL,,,,,"524,50",,,,,,,,-,,,,,,,"524,50",,,,,,,,"2.450,98",,,,,,,,,
CAMPO ALEGRE,,,,AL,,,,,"812,98",,,,,,,,-,,,,,,,"812,98",,,,,,,,"3.799,03",,,,,,,,,
CAPELA,,,,AL,,,,,"655,63",,,,,,,,-,,,,,,,"655,63",,,,,,,,"3.063,73",,,,,,,,,
CHA PRETA,,,,AL,,,,,"524,50",,,,,,,,-,,,,,,,"524,50",,,,,,,,"2.450,98",,,,,,,,,
COLONIA LEOPOLDINA,,,,AL,,,,,"629,41",,,,,,,,-,,,,,,,"629,41",,,,,,,,"2.941,18",,,,,,,,,
COQUEIRO SECO,,,,AL,,,,,"816,02",,,,,,,,"188,03",,,,,,,"1.004,05",,,,,,,,"3.344,34",,,,,,,,,
CORURIPE,,,,AL,,,,,"862.401,70",,,,,,,,"30.857,87",,,,,,,"893.259,57",,,,,,,,"4.874.771,00",,,,,,,,,
FELIZ DESERTO,,,,AL,,,,,"18.685,63",,,,,,,,"26.113,17",,,,,,,"44.798,80",,,,,,,,"209.342,37",,,,,,,,,
FLEXEIRAS,,,,AL,,,,,"576,96",,,,,,,,-,,,,,,,"576,96",,,,,,,,"2.696,07",,,,,,,,,
IBATEGUARA,,,,AL,,,,,"603,18",,,,,,,,-,,,,,,,"603,18",,,,,,,,"2.818,63",,,,,,,,,
IGREJA NOVA,,,,AL,,,,,"681,86",,,,,,,,-,,,,,,,"681,86",,,,,,,,"3.186,28",,,,,,,,,
