ANADIA,,,,AL,,,,,,"574,29",,,,,,,,-,,,,,,,"574,29",,,,,,,,,"2.861,53",,,,,,,,
ATALAIA,,,,AL,,,,,,"741,80",,,,,,,,-,,,,,,,"741,80",,,,,,,,,"3.696,17",,,,,,,,
BARRA DE SANTO ANTONIO,,,,AL,,,,,,"502,51",,,,,,,,-,,,,,,,"502,51",,,,,,,,,"2.503,86",,,,,,,,
BARRA DE SAO MIGUEL,,,,AL,,,,,,"478,58",,,,,,,,-,,,,,,,"478,58",,,,,,,,,"2.384,62",,,,,,,,
BOCA DA MATA,,,,AL,,,,,,"646,08",,,,,,,,-,,,,,,,"646,08",,,,,,,,,"3.219,24",,,,,,,,
BRANQUINHA,,,,AL,,,,,,"502,51",,,,,,,,-,,,,,,,"502,51",,,,,,,,,"2.503,86",,,,,,,,
CAJUEIRO,,,,AL,,,,,,"598,22",,,,,,,,-,,,,,,,"598,22",,,,,,,,,"2.980,77",,,,,,,,
CAMPESTRE,,,,AL,,,,,,"478,58",,,,,,,,-,,,,,,,"478,58",,,,,,,,,"2.384,62",,,,,,,,
CAMPO ALEGRE,,,,AL,,,,,,"741,80",,,,,,,,-,,,,,,,"741,80",,,,,,,,,"3.696,17",,,,,,,,
CAPELA,,,,AL,,,,,,"598,22",,,,,,,,-,,,,,,,"598,22",,,,,,,,,"2.980,77",,,,,,,,
CHA PRETA,,,,AL,,,,,,"478,58",,,,,,,,-,,,,,,,"478,58",,,,,,,,,"2.384,62",,,,,,,,
COLONIA LEOPOLDINA,,,,AL,,,,,,"574,29",,,,,,,,-,,,,,,,"574,29",,,,,,,,,"2.861,53",,,,,,,,
COQUEIRO SECO,,,,AL,,,,,,"865,33",,,,,,,,"249,45",,,,,,,"1.114,78",,,,,,,,,"5.162,54",,,,,,,,
CORURIPE,,,,AL,,,,,,"903.608,60",,,,,,,,"46.786,44",,,,,,,"950.395,04",,,,,,,,,"4.095.300,16",,,,,,,,
FELIZ DESERTO,,,,AL,,,,,,"17.369,73",,,,,,,,"23.807,39",,,,,,,"41.177,12",,,,,,,,,"204.253,05",,,,,,,,
