ANADIA-AL,,,,,AL,,,,,"741,57",,,,,,,,,,-,,,,,,,,"741,57",,,,,,,,,"3.845,02",,,,,,,,
ATALAIA-AL,,,,,AL,,,,,"957,86",,,,,,,,,,-,,,,,,,,"957,86",,,,,,,,,"4.966,49",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,,"648,87",,,,,,,,,,-,,,,,,,,"648,87",,,,,,,,,"3.364,39",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,,"617,97",,,,,,,,,,-,,,,,,,,"617,97",,,,,,,,,"3.204,17",,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,,"834,27",,,,,,,,,,-,,,,,,,,"834,27",,,,,,,,,"4.325,66",,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,,"648,87",,,,,,,,,,-,,,,,,,,"648,87",,,,,,,,,"3.364,39",,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,,"772,47",,,,,,,,,,-,,,,,,,,"772,47",,,,,,,,,"4.005,23",,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,,"617,97",,,,,,,,,,-,,,,,,,,"617,97",,,,,,,,,"3.204,17",,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,,"957,86",,,,,,,,,,-,,,,,,,,"957,86",,,,,,,,,"4.966,49",,,,,,,,
CAPELA-AL,,,,,AL,,,,,"772,47",,,,,,,,,,-,,,,,,,,"772,47",,,,,,,,,"4.005,23",,,,,,,,
CHA PRETA-AL,,,,,AL,,,,,"617,97",,,,,,,,,,-,,,,,,,,"617,97",,,,,,,,,"3.204,17",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,,"741,57",,,,,,,,,,-,,,,,,,,"741,57",,,,,,,,,"3.845,02",,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,,"1.240,93",,,,,,,,,,"401,81",,,,,,,,"1.642,74",,,,,,,,,"6.709,75",,,,,,,,
CORURIPE-AL,,,,,AL,,,,,"1.012.325,54",,,,,,,,,,"61.711,06",,,,,,,,"1.074.036,60",,,,,,,,,"5.084.170,09",,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,,"22.428,98",,,,,,,,,,"30.741,72",,,,,,,,"53.170,70",,,,,,,,,"275.689,09",,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,,"648,87",,,,,,,,,,-,,,,,,,,"648,87",,,,,,,,,"3.364,39",,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,,"710,67",,,,,,,,,,-,,,,,,,,"710,67",,,,,,,,,"3.684,81",,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,,"803,37",,,,,,,,,,-,,,,,,,,"803,37",,,,,,,,,"4.165,45",,,,,,,,
JACUIPE-AL,,,,,AL,,,,,"617,97",,,,,,,,,,-,,,,,,,,"617,97",,,,,,,,,"3.204,17",,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,,"617,97",,,,,,,,,,-,,,,,,,,"617,97",,,,,,,,,"3.204,17",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,,"1.420,23",,,,,,,,,,"310,99",,,,,,,,"1.731,22",,,,,,,,,"10.643,74",,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,,"803,37",,,,,,,,,,-,,,,,,,,"803,37",,,,,,,,,"4.165,45",,,,,,,,
JUNDIA-AL,,,,,AL,,,,,"617,97",,,,,,,,,,-,,,,,,,,"617,97",,,,,,,,,"3.204,17",,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,,"803,37",,,,,,,,,,-,,,,,,,,"803,37",,,,,,,,,"4.165,45",,,,,,,,
MACEIO-AL,,,,,AL,,,,,"72.852,11",,,,,,,,,,"17.850,99",,,,,,,,"90.703,10",,,,,,,,,"456.033,42",,,,,,,,
MARAGOGI-AL,,,,,AL,,,,,"803,37",,,,,,,,,,-,,,,,,,,"803,37",,,,,,,,,"4.165,45",,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,,"108.432,84",,,,,,,,,,"97.498,74",,,,,,,,"205.931,58",,,,,,,,,"934.289,36",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,,"834,27",,,,,,,,,,-,,,,,,,,"834,27",,,,,,,,,"4.325,66",,,,,,,,
MESSIAS-AL,,,,,AL,,,,,"648,87",,,,,,,,,,-,,,,,,,,"648,87",,,,,,,,,"3.364,39",,,,,,,,
MURICI-AL,,,,,AL,,,,,"834,27",,,,,,,,,,-,,,,,,,,"834,27",,,,,,,,,"4.325,66",,,,,,,,
NOVO LINO-AL,,,,,AL,,,,,"648,87",,,,,,,,,,-,,,,,,,,"648,87",,,,,,,,,"3.364,39",,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,,"617,97",,,,,,,,,,"8.846,86",,,,,,,,"9.464,83",,,,,,,,,"47.096,75",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,,"679,77",,,,,,,,,,-,,,,,,,,"679,77",,,,,,,,,"3.524,60",,,,,,,,
PENEDO-AL,,,,,AL,,,,,"1.019,66",,,,,,,,,,-,,,,,,,,"1.019,66",,,,,,,,,"5.286,92",,,,,,,,
PIACABUCU-AL,,,,,AL,,,,,"741,57",,,,,,,,,,-,,,,,,,,"741,57",,,,,,,,,"3.845,02",,,,,,,,
