ANADIA-AL,,,,,,,,,,AL,,,,"138,02",,,,,,,,-,,,,,,"138,02",,,,,,,,,"2.846,19",,,,,,,
ATALAIA-AL,,,,,,,,,,AL,,,,"178,28",,,,,,,,-,,,,,,"178,28",,,,,,,,,"3.676,34",,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,,AL,,,,"132,27",,,,,,,,-,,,,,,"132,27",,,,,,,,,"2.727,59",,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,,AL,,,,"115,02",,,,,,,,-,,,,,,"115,02",,,,,,,,,"2.371,81",,,,,,,
BOCA DA MATA-AL,,,,,,,,,,AL,,,,"155,28",,,,,,,,-,,,,,,"155,28",,,,,,,,,"3.201,96",,,,,,,
BRANQUINHA-AL,,,,,,,,,,AL,,,,"120,77",,,,,,,,-,,,,,,"120,77",,,,,,,,,"2.490,41",,,,,,,
CAJUEIRO-AL,,,,,,,,,,AL,,,,"149,52",,,,,,,,-,,,,,,"149,52",,,,,,,,,"3.083,36",,,,,,,
CAMPESTRE-AL,,,,,,,,,,AL,,,,"115,02",,,,,,,,-,,,,,,"115,02",,,,,,,,,"2.371,81",,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,,AL,,,,"184,03",,,,,,,,-,,,,,,"184,03",,,,,,,,,"3.794,92",,,,,,,
CAPELA-AL,,,,,,,,,,AL,,,,"138,02",,,,,,,,-,,,,,,"138,02",,,,,,,,,"2.846,19",,,,,,,
CHA PRETA-AL,,,,,,,,,,AL,,,,"115,02",,,,,,,,-,,,,,,"115,02",,,,,,,,,"2.371,81",,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,,AL,,,,"149,52",,,,,,,,-,,,,,,"149,52",,,,,,,,,"3.083,36",,,,,,,
COQUEIRO SECO-AL,,,,,,,,,,AL,,,,"91.044,86",,,,,,,,"364,13",,,,,,"91.408,99",,,,,,,,,"418.480,46",,,,,,,
CORURIPE-AL,,,,,,,,,,AL,,,,"2.145.119,19",,,,,,,,"17.822,09",,,,,,"2.162.941,28",,,,,,,,,"10.275.522,93",,,,,,,
FELIZ DESERTO-AL,,,,,,,,,,AL,,,,"4.160,72",,,,,,,,"5.814,60",,,,,,"9.975,32",,,,,,,,,"205.697,84",,,,,,,
FLEXEIRAS-AL,,,,,,,,,,AL,,,,"126,52",,,,,,,,-,,,,,,"126,52",,,,,,,,,"2.609,00",,,,,,,
IBATEGUARA-AL,,,,,,,,,,AL,,,,"132,27",,,,,,,,-,,,,,,"132,27",,,,,,,,,"2.727,59",,,,,,,
IGREJA NOVA-AL,,,,,,,,,,AL,,,,"149,52",,,,,,,,-,,,,,,"149,52",,,,,,,,,"3.083,36",,,,,,,
JACUIPE-AL,,,,,,,,,,AL,,,,"115,02",,,,,,,,-,,,,,,"115,02",,,,,,,,,"2.371,81",,,,,,,
JAPARATINGA-AL,,,,,,,,,,AL,,,,"115,02",,,,,,,,-,,,,,,"115,02",,,,,,,,,"2.371,81",,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,,AL,,,,"3.080,59",,,,,,,,"1.240,71",,,,,,"4.321,30",,,,,,,,,"24.674,74",,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,,AL,,,,"149,52",,,,,,,,-,,,,,,"149,52",,,,,,,,,"3.083,36",,,,,,,
JUNDIA-AL,,,,,,,,,,AL,,,,"115,02",,,,,,,,-,,,,,,"115,02",,,,,,,,,"2.371,81",,,,,,,
JUNQUEIRO-AL,,,,,,,,,,AL,,,,"149,52",,,,,,,,-,,,,,,"149,52",,,,,,,,,"3.083,36",,,,,,,
MACEIO-AL,,,,,,,,,,AL,,,,"109.711,21",,,,,,,,"25.964,22",,,,,,"135.675,43",,,,,,,,,"618.351,75",,,,,,,
MARAGOGI-AL,,,,,,,,,,AL,,,,"161,03",,,,,,,,-,,,,,,"161,03",,,,,,,,,"3.320,56",,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,,AL,,,,"35.158,23",,,,,,,,"30.356,36",,,,,,"65.514,59",,,,,,,,,"762.000,33",,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,,AL,,,,"149,52",,,,,,,,-,,,,,,"149,52",,,,,,,,,"3.083,36",,,,,,,
MESSIAS-AL,,,,,,,,,,AL,,,,"132,27",,,,,,,,-,,,,,,"132,27",,,,,,,,,"2.727,59",,,,,,,
MURICI-AL,,,,,,,,,,AL,,,,"155,28",,,,,,,,-,,,,,,"155,28",,,,,,,,,"3.201,96",,,,,,,
NOVO LINO-AL,,,,,,,,,,AL,,,,"126,52",,,,,,,,-,,,,,,"126,52",,,,,,,,,"2.609,00",,,,,,,
PARIPUEIRA-AL,,,,,,,,,,AL,,,,"120,77",,,,,,,,"8.716,73",,,,,,"8.837,50",,,,,,,,,"41.604,94",,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,,AL,,,,"132,27",,,,,,,,-,,,,,,"132,27",,,,,,,,,"2.727,59",,,,,,,
PIACABUCU-AL,,,,,,,,,,AL,,,,"138,02",,,,,,,,-,,,,,,"138,02",,,,,,,,,"2.846,19",,,,,,,
PILAR-AL,,,,,,,,,,AL,,,,"196.656,53",,,,,,,,"118.500,92",,,,,,"315.157,45",,,,,,,,,"1.242.195,99",,,,,,,
PINDOBA-AL,,,,,,,,,,AL,,,,"115,02",,,,,,,,-,,,,,,"115,02",,,,,,,,,"2.371,81",,,,,,,
PORTO CALVO-AL,,,,,,,,,,AL,,,,"155,28",,,,,,,,-,,,,,,"155,28",,,,,,,,,"3.201,96",,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,,AL,,,,"115,02",,,,,,,,-,,,,,,"115,02",,,,,,,,,"2.371,81",,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,,AL,,,,"143,77",,,,,,,,-,,,,,,"143,77",,,,,,,,,"2.964,77",,,,,,,
RIO LARGO-AL,,,,,,,,,,AL,,,,"3.541,18",,,,,,,,"2.157,94",,,,,,"5.699,12",,,,,,,,,"55.306,73",,,,,,,
ROTEIRO-AL,,,,,,,,,,AL,,,,"92.053,91",,,,,,,,"1.312,22",,,,,,"93.366,13",,,,,,,,,"427.439,20",,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,,AL,,,,"90.901,62",,,,,,,,"257,64",,,,,,"91.159,26",,,,,,,,,"419.106,60",,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,,AL,,,,"120,77",,,,,,,,-,,,,,,"120,77",,,,,,,,,"2.490,41",,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,,AL,,,,"149,52",,,,,,,,-,,,,,,"149,52",,,,,,,,,"3.083,36",,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,,AL,,,,"166,78",,,,,,,,-,,,,,,"166,78",,,,,,,,,"3.439,16",,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,,,AL,,,,"285.791,69",,,,,,,,"176.388,66",,,,,,"462.180,35",,,,,,,,,"2.154.435,07",,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,,,AL,,,,"115,02",,,,,,,,-,,,,,,"115,02",,,,,,,,,"2.371,81",,,,,,,
SATUBA-AL,,,,,,,,,,AL,,,,"12.375,55",,,,,,,,"7.982,23",,,,,,"20.357,78",,,,,,,,,"90.147,69",,,,,,,
TEOTONIO VILELA-AL,,,,,,,,,,AL,,,,"178,28",,,,,,,,-,,,,,,"178,28",,,,,,,,,"3.676,34",,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,,,AL,,,,"189,78",,,,,,,,-,,,,,,"189,78",,,,,,,,,"3.913,51",,,,,,,
VICOSA-AL,,,,,,,,,,AL,,,,"155,28",,,,,,,,-,,,,,,"155,28",,,,,,,,,"3.201,96",,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,,,,"3.075.058,66",,,,,,,,"396.878,45",,,,,,"3.471.937,11",,,,,,,,,"16.845.135,27",,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAMA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"4.059,14",,,,,,"4.059,14",,,,,,,,,"15.815,45",,,,,,,
ANORI-AM,,,,,,,,,,AM,,,,-,,,,,,,,"4.059,14",,,,,,"4.059,14",,,,,,,,,"15.815,45",,,,,,,
AUTAZES-AM,,,,,,,,,,AM,,,,-,,,,,,,,"10.862,01",,,,,,"10.862,01",,,,,,,,,"43.277,89",,,,,,,
BERURI-AM,,,,,,,,,,AM,,,,-,,,,,,,,"4.059,14",,,,,,"4.059,14",,,,,,,,,"15.815,45",,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"10.862,01",,,,,,"10.862,01",,,,,,,,,"43.277,89",,,,,,,
CAREIRO-AM,,,,,,,,,,AM,,,,-,,,,,,,,"4.059,14",,,,,,"4.059,14",,,,,,,,,"15.815,45",,,,,,,
COARI-AM,,,,,,,,,,AM,,,,"2.961.832,66",,,,,,,,"2.893.153,58",,,,,,"5.854.986,24",,,,,,,,,"26.731.791,02",,,,,,,
CODAJAS-AM,,,,,,,,,,AM,,,,-,,,,,,,,"4.059,14",,,,,,"4.059,14",,,,,,,,,"15.815,45",,,,,,,
IRANDUBA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"10.862,01",,,,,,"10.862,01",,,,,,,,,"43.277,89",,,,,,,
ITACOATIARA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"10.862,01",,,,,,"10.862,01",,,,,,,,,"43.277,89",,,,,,,
ITAPIRANGA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"10.862,01",,,,,,"10.862,01",,,,,,,,,"43.277,89",,,,,,,
MANACAPURU-AM,,,,,,,,,,AM,,,,-,,,,,,,,"4.059,14",,,,,,"4.059,14",,,,,,,,,"15.815,45",,,,,,,
MANAQUIRI-AM,,,,,,,,,,AM,,,,-,,,,,,,,"4.059,14",,,,,,"4.059,14",,,,,,,,,"15.815,45",,,,,,,
MANAUS-AM,,,,,,,,,,AM,,,,"2.135.530,37",,,,,,,,"135.581,52",,,,,,"2.271.111,89",,,,,,,,,"10.365.903,12",,,,,,,
PARINTINS-AM,,,,,,,,,,AM,,,,-,,,,,,,,"10.862,01",,,,,,"10.862,01",,,,,,,,,"43.277,89",,,,,,,
SILVES-AM,,,,,,,,,,AM,,,,-,,,,,,,,"10.862,01",,,,,,"10.862,01",,,,,,,,,"43.277,89",,,,,,,
TEFE-AM,,,,,,,,,,AM,,,,"90.801,63",,,,,,,,"313,77",,,,,,"91.115,40",,,,,,,,,"91.115,51",,,,,,,
URUCARA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"10.862,01",,,,,,"10.862,01",,,,,,,,,"43.277,89",,,,,,,
URUCURITUBA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"10.862,01",,,,,,"10.862,01",,,,,,,,,"43.277,89",,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,,,,,"5.188.164,66",,,,,,,,"3.155.220,94",,,,,,"8.343.385,60",,,,,,,,,"37.689.018,81",,,,,,,
LARANJAL DO JARI-AP,,,,,,,,,,AP,,,,-,,,,,,,,"10.862,01",,,,,,"10.862,01",,,,,,,,,"43.277,89",,,,,,,
MACAPA-AP,,,,,,,,,,AP,,,,-,,,,,,,,"10.862,01",,,,,,"10.862,01",,,,,,,,,"43.277,89",,,,,,,
MAZAGAO-AP,,,,,,,,,,AP,,,,-,,,,,,,,"10.862,01",,,,,,"10.862,01",,,,,,,,,"43.277,89",,,,,,,
AMAPA  TOTAL,,,,,,,,,,,,,,-,,,,,,,,"32.586,03",,,,,,"32.586,03",,,,,,,,,"129.833,67",,,,,,,
ACAJUTIBA-BA,,,,,,,,,,BA,,,,"1.018,00",,,,,,,,-,,,,,,"1.018,00",,,,,,,,,"5.012,77",,,,,,,
ADUSTINA-BA,,,,,,,,,,BA,,,,"1.018,00",,,,,,,,-,,,,,,"1.018,00",,,,,,,,,"5.012,77",,,,,,,
AGUA FRIA-BA,,,,,,,,,,BA,,,,"1.018,00",,,,,,,,-,,,,,,"1.018,00",,,,,,,,,"5.012,77",,,,,,,
AIQUARA-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
ALAGOINHAS-BA,,,,,,,,,,BA,,,,"479.650,36",,,,,,,,"282.076,73",,,,,,"761.727,09",,,,,,,,,"3.766.780,75",,,,,,,
ALCOBACA-BA,,,,,,,,,,BA,,,,"1.150,78",,,,,,,,-,,,,,,"1.150,78",,,,,,,,,"5.666,60",,,,,,,
ALMADINA-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
AMARGOSA-BA,,,,,,,,,,BA,,,,"1.283,57",,,,,,,,-,,,,,,"1.283,57",,,,,,,,,"6.320,45",,,,,,,
AMELIA RODRIGUES-BA,,,,,,,,,,BA,,,,"1.195,05",,,,,,,,-,,,,,,"1.195,05",,,,,,,,,"5.884,56",,,,,,,
ANAGE-BA,,,,,,,,,,BA,,,,"1.195,05",,,,,,,,-,,,,,,"1.195,05",,,,,,,,,"5.884,56",,,,,,,
ANGUERA-BA,,,,,,,,,,BA,,,,"929,48",,,,,,,,-,,,,,,"929,48",,,,,,,,,"4.576,87",,,,,,,
ANTAS-BA,,,,,,,,,,BA,,,,"1.062,26",,,,,,,,-,,,,,,"1.062,26",,,,,,,,,"5.230,70",,,,,,,
ANTONIO CARDOSO-BA,,,,,,,,,,BA,,,,"929,48",,,,,,,,-,,,,,,"929,48",,,,,,,,,"4.576,87",,,,,,,
APORA-BA,,,,,,,,,,BA,,,,"1.062,26",,,,,,,,-,,,,,,"1.062,26",,,,,,,,,"5.230,70",,,,,,,
APUAREMA-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
ARACAS-BA,,,,,,,,,,BA,,,,"341.541,45",,,,,,,,"174.368,07",,,,,,"515.909,52",,,,,,,,,"2.290.380,94",,,,,,,
ARACI-BA,,,,,,,,,,BA,,,,"1.416,35",,,,,,,,-,,,,,,"1.416,35",,,,,,,,,"6.974,29",,,,,,,
ARAMARI-BA,,,,,,,,,,BA,,,,"929,48",,,,,,,,-,,,,,,"929,48",,,,,,,,,"4.576,87",,,,,,,
ARATACA-BA,,,,,,,,,,BA,,,,"929,48",,,,,,,,-,,,,,,"929,48",,,,,,,,,"4.576,87",,,,,,,
ARATUIPE-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
AURELINO LEAL-BA,,,,,,,,,,BA,,,,"973,74",,,,,,,,-,,,,,,"973,74",,,,,,,,,"4.794,81",,,,,,,
BAIXA GRANDE-BA,,,,,,,,,,BA,,,,"1.150,78",,,,,,,,-,,,,,,"1.150,78",,,,,,,,,"5.666,60",,,,,,,
BANZAE-BA,,,,,,,,,,BA,,,,"929,48",,,,,,,,-,,,,,,"929,48",,,,,,,,,"4.576,87",,,,,,,
BARRA DO CHOCA-BA,,,,,,,,,,BA,,,,"1.283,57",,,,,,,,-,,,,,,"1.283,57",,,,,,,,,"6.320,45",,,,,,,
BARRA DO ROCHA-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
BARRO PRETO-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
BARROCAS-BA,,,,,,,,,,BA,,,,"1.018,00",,,,,,,,-,,,,,,"1.018,00",,,,,,,,,"5.012,77",,,,,,,
BELMONTE-BA,,,,,,,,,,BA,,,,"1.150,78",,,,,,,,-,,,,,,"1.150,78",,,,,,,,,"5.666,60",,,,,,,
BELO CAMPO-BA,,,,,,,,,,BA,,,,"1.062,26",,,,,,,,-,,,,,,"1.062,26",,,,,,,,,"5.230,70",,,,,,,
BIRITINGA-BA,,,,,,,,,,BA,,,,"1.018,00",,,,,,,,-,,,,,,"1.018,00",,,,,,,,,"5.012,77",,,,,,,
BOA NOVA-BA,,,,,,,,,,BA,,,,"1.018,00",,,,,,,,-,,,,,,"1.018,00",,,,,,,,,"5.012,77",,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,,,,BA,,,,"1.062,26",,,,,,,,-,,,,,,"1.062,26",,,,,,,,,"5.230,70",,,,,,,
