ANADIA-AL,AL,361.52, -   ,361.52,"1,949.38"
ATALAIA-AL,AL,466.97, -   ,466.97,"2,517.96"
BARRA DE SANTO ANTONIO-AL,AL,346.46, -   ,346.46,"1,868.15"
BARRA DE SAO MIGUEL-AL,AL,301.27, -   ,301.27,"1,624.49"
BOCA DA MATA-AL,AL,406.72, -   ,406.72,"2,193.05"
BRANQUINHA-AL,AL,316.33, -   ,316.33,"1,705.71"
CAJUEIRO-AL,AL,391.65, -   ,391.65,"2,111.84"
CAMPESTRE-AL,AL,301.27, -   ,301.27,"1,624.49"
CAMPO ALEGRE-AL,AL,482.03, -   ,482.03,"2,599.18"
CAPELA-AL,AL,361.52, -   ,361.52,"1,949.38"
CHA PRETA-AL,AL,301.27, -   ,301.27,"1,624.49"
COLONIA LEOPOLDINA-AL,AL,391.65, -   ,391.65,"2,111.84"
COQUEIRO SECO-AL,AL,"513,513.62",57.68,"513,571.30","2,415,419.72"
CORURIPE-AL,AL,"502,604.13","36,211.58","538,815.71","3,393,603.92"
FELIZ DESERTO-AL,AL,"10,898.02","15,229.98","26,128.00","140,885.32"
FLEXEIRAS-AL,AL,331.4, -   ,331.4,"1,786.94"
IBATEGUARA-AL,AL,346.46, -   ,346.46,"1,868.15"
IGREJA NOVA-AL,AL,391.65, -   ,391.65,"2,111.84"
JACUIPE-AL,AL,301.27, -   ,301.27,"1,624.49"
JAPARATINGA-AL,AL,301.27, -   ,301.27,"1,624.49"
JEQUIA DA PRAIA-AL,AL,331.4, -   ,331.4,"1,786.94"
JOAQUIM GOMES-AL,AL,391.65, -   ,391.65,"2,111.84"
JUNDIA-AL,AL,301.27, -   ,301.27,"1,624.49"
JUNQUEIRO-AL,AL,391.65, -   ,391.65,"2,111.84"
MACEIO-AL,AL,"542,859.68","14,216.90","557,076.58","1,823,396.39"
MARAGOGI-AL,AL,421.78, -   ,421.78,"2,274.28"
MARECHAL DEODORO-AL,AL,"701,902.45","26,971.54","728,873.99","3,519,136.97"
