ANADIA,,,,,AL,,,,"560,47",,,,,,-,,,,,,"560,47",,,,,,,,"6.655,17",,,,,,,
ATALAIA,,,,,AL,,,,"723,94",,,,,,-,,,,,,"723,94",,,,,,,,"8.596,29",,,,,,,
BARRA DE SANTO ANTONIO,,,,,AL,,,,"490,41",,,,,,-,,,,,,"490,41",,,,,,,,"5.823,28",,,,,,,
BARRA DE SAO MIGUEL,,,,,AL,,,,"467,06",,,,,,-,,,,,,"467,06",,,,,,,,"5.545,97",,,,,,,
BOCA DA MATA,,,,,AL,,,,"630,53",,,,,,-,,,,,,"630,53",,,,,,,,"7.487,09",,,,,,,
BRANQUINHA,,,,,AL,,,,"490,41",,,,,,-,,,,,,"490,41",,,,,,,,"5.823,28",,,,,,,
CAJUEIRO,,,,,AL,,,,"583,82",,,,,,-,,,,,,"583,82",,,,,,,,"6.932,47",,,,,,,
CAMPESTRE,,,,,AL,,,,"467,06",,,,,,-,,,,,,"467,06",,,,,,,,"5.545,97",,,,,,,
CAMPO ALEGRE,,,,,AL,,,,"723,94",,,,,,-,,,,,,"723,94",,,,,,,,"8.596,29",,,,,,,
CAPELA,,,,,AL,,,,"583,82",,,,,,-,,,,,,"583,82",,,,,,,,"6.932,47",,,,,,,
CHA PRETA,,,,,AL,,,,"467,06",,,,,,-,,,,,,"467,06",,,,,,,,"5.545,97",,,,,,,
COLONIA LEOPOLDINA,,,,,AL,,,,"560,47",,,,,,-,,,,,,"560,47",,,,,,,,"6.655,17",,,,,,,
COQUEIRO SECO,,,,,AL,,,,"729,60",,,,,,"169,34",,,,,,"898,94",,,,,,,,"8.497,09",,,,,,,
CORURIPE,,,,,AL,,,,"746.694,99",,,,,,"40.821,86",,,,,,"787.516,85",,,,,,,,"9.669.748,37",,,,,,,
FELIZ DESERTO,,,,,AL,,,,"16.639,10",,,,,,"23.253,14",,,,,,"39.892,24",,,,,,,,"473.691,68",,,,,,,
FLEXEIRAS,,,,,AL,,,,"513,76",,,,,,-,,,,,,"513,76",,,,,,,,"6.100,57",,,,,,,
IBATEGUARA,,,,,AL,,,,"537,12",,,,,,-,,,,,,"537,12",,,,,,,,"6.377,87",,,,,,,
IGREJA NOVA,,,,,AL,,,,"607,18",,,,,,-,,,,,,"607,18",,,,,,,,"7.209,79",,,,,,,
JACUIPE,,,,,AL,,,,"467,06",,,,,,-,,,,,,"467,06",,,,,,,,"5.545,97",,,,,,,
JAPARATINGA,,,,,AL,,,,"467,06",,,,,,-,,,,,,"467,06",,,,,,,,"5.545,97",,,,,,,
JEQUIA DA PRAIA,,,,,AL,,,,"5.886,48",,,,,,"2.256,54",,,,,,"8.143,02",,,,,,,,"13.729,83",,,,,,,
JOAQUIM GOMES,,,,,AL,,,,"607,18",,,,,,-,,,,,,"607,18",,,,,,,,"7.209,79",,,,,,,
JUNDIA,,,,,AL,,,,"467,06",,,,,,-,,,,,,"467,06",,,,,,,,"5.545,97",,,,,,,
JUNQUEIRO,,,,,AL,,,,"607,18",,,,,,-,,,,,,"607,18",,,,,,,,"7.209,79",,,,,,,
MACEIO,,,,,AL,,,,"58.982,24",,,,,,"11.139,86",,,,,,"70.122,10",,,,,,,,"839.624,86",,,,,,,
MARAGOGI,,,,,AL,,,,"607,18",,,,,,-,,,,,,"607,18",,,,,,,,"7.209,79",,,,,,,
MARECHAL DEODORO,,,,,AL,,,,"100.933,87",,,,,,"75.634,68",,,,,,"176.568,55",,,,,,,,"2.090.052,71",,,,,,,
