ANADIA-AL,,,,,AL,,,,"700,74",,,,,,,,-,,,,,,,"700,74",,,,,,,"7.963,64",,,,,,,
ATALAIA-AL,,,,,AL,,,,"905,12",,,,,,,,-,,,,,,,"905,12",,,,,,,"10.286,38",,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"613,15",,,,,,,,-,,,,,,,"613,15",,,,,,,"6.968,19",,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"583,95",,,,,,,,-,,,,,,,"583,95",,,,,,,"6.636,34",,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"788,33",,,,,,,,-,,,,,,,"788,33",,,,,,,"8.959,09",,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"613,15",,,,,,,,-,,,,,,,"613,15",,,,,,,"6.968,19",,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"729,94",,,,,,,,-,,,,,,,"729,94",,,,,,,"8.295,45",,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"583,95",,,,,,,,-,,,,,,,"583,95",,,,,,,"6.636,34",,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"905,12",,,,,,,,-,,,,,,,"905,12",,,,,,,"10.286,38",,,,,,,
CAPELA-AL,,,,,AL,,,,"729,94",,,,,,,,-,,,,,,,"729,94",,,,,,,"8.295,45",,,,,,,
CHA PRETA-AL,,,,,AL,,,,"583,95",,,,,,,,-,,,,,,,"583,95",,,,,,,"6.636,34",,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"700,74",,,,,,,,-,,,,,,,"700,74",,,,,,,"7.963,64",,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"583,95",,,,,,,,-,,,,,,,"583,95",,,,,,,"14.618,26",,,,,,,
CORURIPE-AL,,,,,AL,,,,"848.971,76",,,,,,,,"55.844,12",,,,,,,"904.815,88",,,,,,,"10.463.515,65",,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"21.194,07",,,,,,,,"29.049,12",,,,,,,"50.243,19",,,,,,,"570.994,86",,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"613,15",,,,,,,,-,,,,,,,"613,15",,,,,,,"6.968,19",,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"671,54",,,,,,,,-,,,,,,,"671,54",,,,,,,"7.631,81",,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"759,13",,,,,,,,-,,,,,,,"759,13",,,,,,,"8.627,28",,,,,,,
JACUIPE-AL,,,,,AL,,,,"583,95",,,,,,,,-,,,,,,,"583,95",,,,,,,"6.636,34",,,,,,,
JAPARATINGA-AL,,,,,AL,,,,"583,95",,,,,,,,-,,,,,,,"583,95",,,,,,,"6.636,34",,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,"1.342,56",,,,,,,,"294,09",,,,,,,"1.636,65",,,,,,,"20.070,17",,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,"759,13",,,,,,,,-,,,,,,,"759,13",,,,,,,"8.627,28",,,,,,,
JUNDIA-AL,,,,,AL,,,,"583,95",,,,,,,,-,,,,,,,"583,95",,,,,,,"6.636,34",,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,"759,13",,,,,,,,-,,,,,,,"759,13",,,,,,,"8.627,28",,,,,,,
MACEIO-AL,,,,,AL,,,,"65.078,72",,,,,,,,"13.563,45",,,,,,,"78.642,17",,,,,,,"1.009.237,30",,,,,,,
MARAGOGI-AL,,,,,AL,,,,"759,13",,,,,,,,-,,,,,,,"759,13",,,,,,,"8.627,28",,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,"112.314,30",,,,,,,,"106.605,30",,,,,,,"218.919,60",,,,,,,"2.226.294,34",,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,"788,33",,,,,,,,-,,,,,,,"788,33",,,,,,,"8.959,09",,,,,,,
MESSIAS-AL,,,,,AL,,,,"613,15",,,,,,,,-,,,,,,,"613,15",,,,,,,"6.968,19",,,,,,,
MURICI-AL,,,,,AL,,,,"788,33",,,,,,,,-,,,,,,,"788,33",,,,,,,"8.959,09",,,,,,,
NOVO LINO-AL,,,,,AL,,,,"613,15",,,,,,,,-,,,,,,,"613,15",,,,,,,"6.968,19",,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,"583,95",,,,,,,,"10.172,97",,,,,,,"10.756,92",,,,,,,"112.254,23",,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,"642,34",,,,,,,,-,,,,,,,"642,34",,,,,,,"7.299,99",,,,,,,
PENEDO-AL,,,,,AL,,,,"963,52",,,,,,,,-,,,,,,,"963,52",,,,,,,"10.950,02",,,,,,,
PIACABUCU-AL,,,,,AL,,,,"700,74",,,,,,,,-,,,,,,,"700,74",,,,,,,"7.963,64",,,,,,,
PILAR-AL,,,,,AL,,,,"194.571,22",,,,,,,,"124.971,13",,,,,,,"319.542,35",,,,,,,"3.398.302,52",,,,,,,
PINDOBA-AL,,,,,AL,,,,"583,95",,,,,,,,-,,,,,,,"583,95",,,,,,,"6.636,34",,,,,,,
PORTO CALVO-AL,,,,,AL,,,,"759,13",,,,,,,,-,,,,,,,"759,13",,,,,,,"8.627,28",,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,"613,15",,,,,,,,-,,,,,,,"613,15",,,,,,,"6.968,19",,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,"729,94",,,,,,,,-,,,,,,,"729,94",,,,,,,"8.295,45",,,,,,,
RIO LARGO-AL,,,,,AL,,,,"13.554,81",,,,,,,,"8.121,38",,,,,,,"21.676,19",,,,,,,"191.463,54",,,,,,,
ROTEIRO-AL,,,,,AL,,,,"583,95",,,,,,,,-,,,,,,,"583,95",,,,,,,"13.556,42",,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,"1.662,41",,,,,,,,"695,60",,,,,,,"2.358,01",,,,,,,"27.440,57",,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,"613,15",,,,,,,,-,,,,,,,"613,15",,,,,,,"6.968,19",,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,"759,13",,,,,,,,-,,,,,,,"759,13",,,,,,,"8.627,28",,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,"817,53",,,,,,,,-,,,,,,,"817,53",,,,,,,"9.290,92",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,"310.754,62",,,,,,,,"218.121,91",,,,,,,"528.876,53",,,,,,,"5.827.101,07",,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,"583,95",,,,,,,,-,,,,,,,"583,95",,,,,,,"6.636,34",,,,,,,
SATUBA-AL,,,,,AL,,,,"500.601,79",,,,,,,,"17.858,47",,,,,,,"518.460,26",,,,,,,"1.283.120,25",,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,"875,93",,,,,,,,-,,,,,,,"875,93",,,,,,,"9.954,56",,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,"963,52",,,,,,,,-,,,,,,,"963,52",,,,,,,"10.950,02",,,,,,,
VICOSA-AL,,,,,AL,,,,"788,33",,,,,,,,-,,,,,,,"788,33",,,,,,,"8.959,09",,,,,,,
ALAGOAS TOTAL,,,,,,,,,"2.099.506,52",,,,,,,,"585.297,54",,,,,,,"2.684.804,06",,,,,,,"25.472.864,62",,,,,,,
ANAMA-AM,,,,,AM,,,,-,,,,,,,,"2.446,54",,,,,,,"2.446,54",,,,,,,"23.833,54",,,,,,,
ANORI-AM,,,,,AM,,,,-,,,,,,,,"2.446,54",,,,,,,"2.446,54",,,,,,,"23.833,54",,,,,,,
AUTAZES-AM,,,,,AM,,,,-,,,,,,,,"7.528,85",,,,,,,"7.528,85",,,,,,,"67.431,87",,,,,,,
BERURI-AM,,,,,AM,,,,-,,,,,,,,"2.446,54",,,,,,,"2.446,54",,,,,,,"23.833,54",,,,,,,
CAREIRO DA VARZEA-AM,,,,,AM,,,,-,,,,,,,,"7.528,85",,,,,,,"7.528,85",,,,,,,"67.431,87",,,,,,,
CAREIRO-AM,,,,,AM,,,,-,,,,,,,,"2.446,54",,,,,,,"2.446,54",,,,,,,"23.833,54",,,,,,,
COARI-AM,,,,,AM,,,,"1.604.070,22",,,,,,,,"1.652.454,96",,,,,,,"3.256.525,18",,,,,,,"35.428.502,17",,,,,,,
CODAJAS-AM,,,,,AM,,,,-,,,,,,,,"2.446,54",,,,,,,"2.446,54",,,,,,,"23.833,54",,,,,,,
IRANDUBA-AM,,,,,AM,,,,-,,,,,,,,"7.528,85",,,,,,,"7.528,85",,,,,,,"67.431,87",,,,,,,
ITACOATIARA-AM,,,,,AM,,,,-,,,,,,,,"7.528,85",,,,,,,"7.528,85",,,,,,,"67.431,87",,,,,,,
ITAPIRANGA-AM,,,,,AM,,,,-,,,,,,,,"7.528,85",,,,,,,"7.528,85",,,,,,,"67.431,87",,,,,,,
MANACAPURU-AM,,,,,AM,,,,-,,,,,,,,"2.446,54",,,,,,,"2.446,54",,,,,,,"23.833,54",,,,,,,
MANAQUIRI-AM,,,,,AM,,,,-,,,,,,,,"2.446,54",,,,,,,"2.446,54",,,,,,,"23.833,54",,,,,,,
MANAUS-AM,,,,,AM,,,,"700.355,21",,,,,,,,"100.702,33",,,,,,,"801.057,54",,,,,,,"8.909.809,10",,,,,,,
