ANADIA-AL,,,,,,,,AL,,"628,34",,,,,,,,-,,,,,,"628,34",,,,,,,"8.198,69",,,,,,,,
ATALAIA-AL,,,,,,,,AL,,"837,78",,,,,,,,-,,,,,,"837,78",,,,,,,"10.931,57",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,"575,97",,,,,,,,-,,,,,,"575,97",,,,,,,"7.515,45",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,"523,61",,,,,,,,-,,,,,,"523,61",,,,,,,"6.832,23",,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,"706,88",,,,,,,,-,,,,,,"706,88",,,,,,,"9.223,52",,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,"549,79",,,,,,,,-,,,,,,"549,79",,,,,,,"7.173,83",,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,"680,70",,,,,,,,-,,,,,,"680,70",,,,,,,"8.881,89",,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,"523,61",,,,,,,,-,,,,,,"523,61",,,,,,,"6.832,23",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,"811,60",,,,,,,,-,,,,,,"811,60",,,,,,,"10.589,97",,,,,,,,
CAPELA-AL,,,,,,,,AL,,"628,34",,,,,,,,-,,,,,,"628,34",,,,,,,"8.198,69",,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,"523,61",,,,,,,,-,,,,,,"523,61",,,,,,,"6.832,23",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,"654,52",,,,,,,,-,,,,,,"654,52",,,,,,,"8.540,30",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,"602,41",,,,,,,,"50,82",,,,,,"653,23",,,,,,,"9.238,44",,,,,,,,
CORURIPE-AL,,,,,,,,AL,,"728.762,04",,,,,,,,"52.199,87",,,,,,"780.961,91",,,,,,,"8.362.430,51",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,"18.820,04",,,,,,,,"26.301,01",,,,,,"45.121,05",,,,,,,"588.748,42",,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,"549,79",,,,,,,,-,,,,,,"549,79",,,,,,,"7.173,83",,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,"602,16",,,,,,,,-,,,,,,"602,16",,,,,,,"7.857,07",,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,"680,70",,,,,,,,-,,,,,,"680,70",,,,,,,"8.881,89",,,,,,,,
JACUIPE-AL,,,,,,,,AL,,"523,61",,,,,,,,-,,,,,,"523,61",,,,,,,"6.832,23",,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,"523,61",,,,,,,,-,,,,,,"523,61",,,,,,,"6.832,23",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,"2.104,39",,,,,,,,"652,93",,,,,,"2.757,32",,,,,,,"67.067,68",,,,,,,,
