ANADIA-AL,AL, 398.61 , -   , 398.61 ," 4,117.41 "
ATALAIA-AL,AL, 514.87 , -   , 514.87 ," 5,318.33 "
BARRA DE SANTO ANTONIO-AL,AL, 382.00 , -   , 382.00 ," 3,945.85 "
BARRA DE SAO MIGUEL-AL,AL, 332.17 , -   , 332.17 ," 3,431.15 "
BOCA DA MATA-AL,AL, 448.44 , -   , 448.44 ," 4,632.10 "
BRANQUINHA-AL,AL, 348.78 , -   , 348.78 ," 3,602.71 "
CAJUEIRO-AL,AL, 431.83 , -   , 431.83 ," 4,460.53 "
CAMPESTRE-AL,AL, 332.17 , -   , 332.17 ," 3,431.15 "
CAMPO ALEGRE-AL,AL, 531.48 , -   , 531.48 ," 5,489.87 "
CAPELA-AL,AL, 398.61 , -   , 398.61 ," 4,117.41 "
CHA PRETA-AL,AL, 332.17 , -   , 332.17 ," 3,431.15 "
COLONIA LEOPOLDINA-AL,AL, 431.83 , -   , 431.83 ," 4,460.53 "
COQUEIRO SECO-AL,AL," 625,899.03 ", 125.42 ," 626,024.45 "," 6,444,077.06 "
CORURIPE-AL,AL," 650,567.05 "," 39,130.72 "," 689,697.77 "," 5,781,362.95 "
FELIZ DESERTO-AL,AL," 12,015.94 "," 16,792.28 "," 28,808.22 "," 297,571.72 "
FLEXEIRAS-AL,AL, 365.39 , -   , 365.39 ," 3,774.28 "
IBATEGUARA-AL,AL, 382.00 , -   , 382.00 ," 3,945.85 "
IGREJA NOVA-AL,AL, 431.83 , -   , 431.83 ," 4,460.53 "
JACUIPE-AL,AL, 332.17 , -   , 332.17 ," 3,431.15 "
JAPARATINGA-AL,AL, 332.17 , -   , 332.17 ," 3,431.15 "
JEQUIA DA PRAIA-AL,AL, 365.39 , -   , 365.39 ," 3,774.28 "
JOAQUIM GOMES-AL,AL, 431.83 , -   , 431.83 ," 4,460.53 "
JUNDIA-AL,AL, 332.17 , -   , 332.17 ," 3,431.15 "
JUNQUEIRO-AL,AL, 431.83 , -   , 431.83 ," 4,460.53 "
MACEIO-AL,AL," 636,034.29 "," 18,116.51 "," 654,150.80 "," 6,719,793.74 "
MARAGOGI-AL,AL, 465.05 , -   , 465.05 ," 4,803.64 "
MARECHAL DEODORO-AL,AL," 634,409.42 "," 39,142.00 "," 673,551.42 "," 8,878,761.86 "
MATRIZ DE CAMARAGIBE-AL,AL, 431.83 , -   , 431.83 ," 4,460.53 "
MESSIAS-AL,AL, 382.00 , -   , 382.00 ," 3,945.85 "
MURICI-AL,AL, 448.44 , -   , 448.44 ," 4,632.10 "
NOVO LINO-AL,AL, 365.39 , -   , 365.39 ," 3,774.28 "
PARIPUEIRA-AL,AL," 625,777.74 "," 7,343.39 "," 633,121.13 "," 6,501,563.50 "
PASSO DE CAMARAGIBE-AL,AL, 382.00 , -   , 382.00 ," 3,945.85 "
PENEDO-AL,AL," 579,199.87 ", -   ," 579,199.87 "," 3,471,162.29 "
PIACABUCU-AL,AL, 398.61 , -   , 398.61 ," 4,117.41 "
PILAR-AL,AL," 703,382.76 "," 77,019.40 "," 780,402.16 "," 8,638,626.69 "
PINDOBA-AL,AL, 332.17 , -   , 332.17 ," 3,431.15 "
PORTO CALVO-AL,AL, 448.44 , -   , 448.44 ," 4,632.10 "
PORTO DE PEDRAS-AL,AL, 332.17 , -   , 332.17 ," 3,431.15 "
PORTO REAL DO COLEGIO-AL,AL, 415.22 , -   , 415.22 ," 4,288.95 "
RIO LARGO-AL,AL," 584,643.68 ", 568.63 ," 585,212.31 "," 3,291,943.86 "
ROTEIRO-AL,AL," 626,330.30 ", 460.08 ," 626,790.38 "," 6,465,101.36 "
SANTA LUZIA DO NORTE-AL,AL, -   , -   , -   , 16.45 
SANTANA DO MUNDAU-AL,AL, 348.78 , -   , 348.78 ," 3,602.71 "
SAO JOSE DA LAJE-AL,AL, 431.83 , -   , 431.83 ," 4,460.53 "
SAO LUIS DO QUITUNDE-AL,AL, 481.65 , -   , 481.65 ," 4,975.20 "
SAO MIGUEL DOS CAMPOS-AL,AL," 797,862.25 "," 158,239.96 "," 956,102.21 "," 9,567,173.58 "
SAO MIGUEL DOS MILAGRES-AL,AL, 332.17 , -   , 332.17 ," 3,431.15 "
SATUBA-AL,AL," 10,563.09 "," 6,100.97 "," 16,664.06 "," 186,769.90 "
TEOTONIO VILELA-AL,AL, 514.87 , -   , 514.87 ," 5,318.33 "
UNIAO DOS PALMARES-AL,AL, 548.09 , -   , 548.09 ," 5,661.46 "
VICOSA-AL,AL, 448.44 , -   , 448.44 ," 4,632.10 "
ALAGOAS  TOTAL,," 6,502,480.31 "," 363,039.36 "," 6,865,519.67 "," 66,407,077.09 "
ANAMA-AM,AM, -   , -   , -   ," 266,486.14 "
ANORI-AM,AM," 595,950.87 "," 2,261.02 "," 598,211.89 "," 4,915,072.80 "
AUTAZES-AM,AM, -   ," 9,497.03 "," 9,497.03 "," 75,654.98 "
BERURI-AM,AM, -   ," 1,678.52 "," 1,678.52 "," 19,214.22 "
CAAPIRANGA-AM,AM," 144,727.46 ", 179.82 ," 144,907.28 "," 2,245,471.34 "
CAREIRO DA VARZEA-AM,AM, -   ," 9,497.03 "," 9,497.03 "," 75,654.98 "
