ANADIA-AL,,,,,AL,,,,"342,08",,,,,,-,,,,,,"342,08",,,,,,,"2.098,29",,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"427,61",,,,,,-,,,,,,"427,61",,,,,,,"2.622,87",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"285,07",,,,,,-,,,,,,"285,07",,,,,,,"1.748,59",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"285,07",,,,,,-,,,,,,"285,07",,,,,,,"1.748,59",,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"370,59",,,,,,-,,,,,,"370,59",,,,,,,"2.273,15",,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"285,07",,,,,,-,,,,,,"285,07",,,,,,,"1.748,59",,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"342,08",,,,,,-,,,,,,"342,08",,,,,,,"2.098,29",,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"285,07",,,,,,-,,,,,,"285,07",,,,,,,"1.748,59",,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"427,61",,,,,,-,,,,,,"427,61",,,,,,,"2.622,87",,,,,,,,,
CAPELA-AL,,,,,AL,,,,"370,59",,,,,,-,,,,,,"370,59",,,,,,,"2.273,15",,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"285,07",,,,,,-,,,,,,"285,07",,,,,,,"1.748,59",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"342,08",,,,,,-,,,,,,"342,08",,,,,,,"2.098,29",,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"13.985,70",,,,,,"41,03",,,,,,"14.026,73",,,,,,,"96.600,47",,,,,,,,,
CORURIPE-AL,,,,,AL,,,,"30.140,79",,,,,,"14.329,17",,,,,,"44.469,96",,,,,,,"273.885,59",,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"10.044,69",,,,,,"13.767,51",,,,,,"23.812,20",,,,,,,"146.061,29",,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"313,58",,,,,,-,,,,,,"313,58",,,,,,,"1.923,43",,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"327,83",,,,,,-,,,,,,"327,83",,,,,,,"2.010,85",,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"356,34",,,,,,-,,,,,,"356,34",,,,,,,"2.185,72",,,,,,,,,
JACUIPE-AL,,,,,AL,,,,"285,07",,,,,,-,,,,,,"285,07",,,,,,,"1.748,59",,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,"285,07",,,,,,-,,,,,,"285,07",,,,,,,"1.748,59",,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,"356,34",,,,,,-,,,,,,"356,34",,,,,,,"2.185,72",,,,,,,,,
