ANADIA-AL,,,,AL,,,"470,37",,,,,,-,,,,,,"470,37",,,,,,"4.467,93",,,,,,,,,,
ATALAIA-AL,,,,AL,,,"607,56",,,,,,-,,,,,,"607,56",,,,,,"5.767,56",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,"411,57",,,,,,-,,,,,,"411,57",,,,,,"3.908,26",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,"391,97",,,,,,-,,,,,,"391,97",,,,,,"3.724,41",,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,"529,17",,,,,,-,,,,,,"529, 17",,,,,,"5.021,78",,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,"411,57",,,,,,-,,,,,,"411,57",,,,,,"3.908,26",,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,"489,97",,,,,,-,,,,,,"489,97",,,,,,"4.654,05",,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,"391,97",,,,,,-,,,,,,"391,97",,,,,,"3.724,41",,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,"607,56",,,,,,-,,,,,,"607,56",,,,,,"5.767,56",,,,,,,,,,
CAPELA-AL,,,,AL,,,"489,97",,,,,,-,,,,,,"489,97",,,,,,"4.654,05",,,,,,,,,,
CHAPRETA-AL,,,,AL,,,"391,97",,,,,,-,,,,,,"391,97",,,,,,"3.724,41",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,"470,37",,,,,,-,,,,,,"470,37",,,,,,"4.467,93",,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,"391,97",,,,,,-,,,,,,"391,97",,,,,,"3.724,41",,,,,,,,,,
CORURIPE-AL,,,,AL,,,"831.347,36",,,,,,"24.158,26",,,,,,"855.505,63",,,,,,"5.701.253,51",,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,"13.964,09",,,,,,"19.514,81",,,,,,"33.478,90",,,,,,"317.948,60",,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,"431,17",,,,,,-,,,,,,"431,17",,,,,,"4.092,14",,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,"450,77",,,,,,-,,,,,,"450,77",,,,,,"4.278,24",,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,"509,57",,,,,,-,,,,,,"509,57",,,,,,"4.837,90",,,,,,,,,,
