ANADIA-AL,,,,,AL,,,,"877,59",,,,,-,,,,,,"877,59",,,,,,"7.729,18",,,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"1.133,55",,,,,-,,,,,,"1.133,55",,,,,,"9.983,54",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"767,89",,,,,-,,,,,,"767,89",,,,,,"6.763,04",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"731,32",,,,,-,,,,,,"731,32",,,,,,"6.440,97",,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"987,29",,,,,-,,,,,,"987,29",,,,,,"8.695,35",,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"767,89",,,,,-,,,,,,"767,89",,,,,,"6.763,04",,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"914,16",,,,,-,,,,,,"914,16",,,,,,"8.051,27",,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"731,32",,,,,-,,,,,,"731,32",,,,,,"6.440,97",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"1.133,55",,,,,-,,,,,,"1.133,55",,,,,,"9.983,54",,,,,,,,,,
CAPELA-AL,,,,,AL,,,,"914,16",,,,,-,,,,,,"914,16",,,,,,"8.051,27",,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"731,32",,,,,-,,,,,,"731,32",,,,,,"6.440,97",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"877,59",,,,,-,,,,,,"877,59",,,,,,"7.729,18",,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"1.740,04",,,,,"650,62",,,,,,"2.390,66",,,,,,"22.236,58",,,,,,,,,,
CORURIPE-AL,,,,,AL,,,,"1.470.896,82",,,,,"79.014,35",,,,,,"1.549.911,17",,,,,,"11.871.816,86",,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"26.542,92",,,,,"36.380,39",,,,,,"62.923,31",,,,,,"554.184,89",,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"767,89",,,,,-,,,,,,"767,89",,,,,,"6.763,04",,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"841,02",,,,,-,,,,,,"841,02",,,,,,"7.407,14",,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"950,72",,,,,-,,,,,,"950,72",,,,,,"8.373,28",,,,,,,,,,
JACUIPE-AL,,,,,AL,,,,"731,32",,,,,-,,,,,,"731,32",,,,,,"6.440,97",,,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,"731,32",,,,,-,,,,,,"731,32",,,,,,"6.440,97",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,"6.014,51",,,,,"2.188,22",,,,,,"8.202,73",,,,,,"40.683,84",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,"950,72",,,,,-,,,,,,"950,72",,,,,,"8.373,28",,,,,,,,,,
JUNDIA-AL,,,,,AL,,,,"731,32",,,,,-,,,,,,"731,32",,,,,,"6.440,97",,,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,"950,72",,,,,-,,,,,,"950,72",,,,,,"8.373,28",,,,,,,,,,
MACEIO-AL,,,,,AL,,,,"102.759,96",,,,,"19.452,67",,,,,,"122.212,63",,,,,,"1.013.189,22",,,,,,,,,,
MARAGOGI-AL,,,,,AL,,,,"950,72",,,,,-,,,,,,"950,72",,,,,,"8.373,28",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,"159.599,45",,,,,"120.708,17",,,,,,"280.307,62",,,,,,"2.601.469,96",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,"987,29",,,,,-,,,,,,"987,29",,,,,,"8.695,35",,,,,,,,,,
MESSIAS-AL,,,,,AL,,,,"767,89",,,,,-,,,,,,"767,89",,,,,,"6.763,04",,,,,,,,,,
MURICI-AL,,,,,AL,,,,"987,29",,,,,-,,,,,,"987,29",,,,,,"8.695,35",,,,,,,,,,
NOVO LINO-AL,,,,,AL,,,,"767,89",,,,,-,,,,,,"767,89",,,,,,"6.763,04",,,,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,"731,32",,,,,"9.019,88",,,,,,"9.751,20",,,,,,"85.061,77",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,"804,46",,,,,-,,,,,,"804,46",,,,,,"7.085,10",,,,,,,,,,
PENEDO-AL,,,,,AL,,,,"1.206,69",,,,,-,,,,,,"1.206,69",,,,,,"10.627,66",,,,,,,,,,
PIACABUCU-AL,,,,,AL,,,,"877,59",,,,,-,,,,,,"877,59",,,,,,"7.729,18",,,,,,,,,,
PILAR-AL,,,,,AL,,,,"213.075,84",,,,,"136.773,52",,,,,,"349.849,36",,,,,,"3.378.694,95",,,,,,,,,,
PINDOBA-AL,,,,,AL,,,,"731,32",,,,,-,,,,,,"731,32",,,,,,"6.440,97",,,,,,,,,,
PORTO CALVO-AL,,,,,AL,,,,"950,72",,,,,-,,,,,,"950,72",,,,,,"8.373,28",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,"767,89",,,,,-,,,,,,"767,89",,,,,,"6.763,04",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,"914,16",,,,,-,,,,,,"914,16",,,,,,"8.051,27",,,,,,,,,,
RIO LARGO-AL,,,,,AL,,,,"11.134,93",,,,,"6.403,71",,,,,,"17.538,64",,,,,,"191.433,83",,,,,,,,,,
ROTEIRO-AL,,,,,AL,,,,"731,32",,,,,-,,,,,,"731,32",,,,,,"7.901,51",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,"731,32",,,,,-,,,,,,"731,32",,,,,,"6.440,97",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,"767,89",,,,,-,,,,,,"767,89",,,,,,"6.763,04",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,"950,72",,,,,-,,,,,,"950,72",,,,,,"8.373,28",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,"1.023,86",,,,,-,,,,,,"1.023,86",,,,,,"9.017,40",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,"285.925,99",,,,,"174.064,78",,,,,,"459.990,77",,,,,,"3.486.020,75",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,"731,32",,,,,-,,,,,,"731,32",,,,,,"6.440,97",,,,,,,,,,
SATUBA-AL,,,,,AL,,,,"27.682,11",,,,,"17.336,08",,,,,,"45.018,19",,,,,,"479.811,95",,,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,"1.096,99",,,,,-,,,,,,"1.096,99",,,,,,"9.661,50",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,"1.206,69",,,,,-,,,,,,"1.206,69",,,,,,"10.627,66",,,,,,,,,,
VICOSA-AL,,,,,AL,,,,"987,29",,,,,-,,,,,,"987,29",,,,,,"8.695,35",,,,,,,,,,
