ANADIA-AL,,,,,AL,,,,"690,42",,,,,,,-,,,,,,,,"690,42",,,,,,"7.262,90",,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"891,80",,,,,,,-,,,,,,,,"891,80",,,,,,"9.381,26",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"604,12",,,,,,,-,,,,,,,,"604,12",,,,,,"6.355,04",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"575,35",,,,,,,-,,,,,,,,"575,35",,,,,,"6.052,39",,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"776,72",,,,,,,-,,,,,,,,"776,72",,,,,,"8.170,76",,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"604,12",,,,,,,-,,,,,,,,"604,12",,,,,,"6.355,04",,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"719,19",,,,,,,-,,,,,,,,"719,19",,,,,,"7.565,51",,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"575,35",,,,,,,-,,,,,,,,"575,35",,,,,,"6.052,39",,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"891,80",,,,,,,-,,,,,,,,"891,80",,,,,,"9.381,26",,,,,,,,,
CAPELA-AL,,,,,AL,,,,"719,19",,,,,,,-,,,,,,,,"719,19",,,,,,"7.565,51",,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"575,35",,,,,,,-,,,,,,,,"575,35",,,,,,"6.052,39",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"690,42",,,,,,,-,,,,,,,,"690,42",,,,,,"7.262,90",,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"664,71",,,,,,,"62,69",,,,,,,,"727,40",,,,,,"14.034,31",,,,,,,,,
CORURIPE-AL,,,,,AL,,,,"879.244,53",,,,,,,"55.737,79",,,,,,,,"934.982,32",,,,,,"9.558.699,77",,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"20.882,00",,,,,,,"28.621,40",,,,,,,,"49.503,40",,,,,,"520.751,67",,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"604,12",,,,,,,-,,,,,,,,"604,12",,,,,,"6.355,04",,,,,,,,,
