ANADIA-AL,,,,,,,,,AL,,"732,04",,,,,,-,,,,,,,"732,04",,,,,,"6.072,31",,,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,"945,55",,,,,,-,,,,,,,"945,55",,,,,,"7.942,32",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,"701,54",,,,,,-,,,,,,,"701,54",,,,,,"5.720,37",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,"610,03",,,,,,-,,,,,,,"610,03",,,,,,"5.060,25",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,"823,54",,,,,,-,,,,,,,"823,54",,,,,,"6.831,35",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,"640,53",,,,,,-,,,,,,,"640,53",,,,,,"5.313,25",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,"793,04",,,,,,-,,,,,,,"793,04",,,,,,"6.578,34",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,"610,03",,,,,,-,,,,,,,"610,03",,,,,,"5.060,25",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,"976,05",,,,,,-,,,,,,,"976,05",,,,,,"7.997,52",,,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,"732,04",,,,,,-,,,,,,,"732,04",,,,,,"6.072,31",,,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,"610,03",,,,,,-,,,,,,,"610,03",,,,,,"5.060,25",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,"793,04",,,,,,-,,,,,,,"793,04",,,,,,"6.479,43",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,"78.838,57",,,,,,"307,68",,,,,,,"79.146,25",,,,,,"753.653,56",,,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,"1.740.983,71",,,,,,"75.275,09",,,,,,,"1.816.258,80",,,,,,"16.442.276,63",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,"22.066,86",,,,,,"30.838,43",,,,,,,"52.905,29",,,,,,"437.759,48",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,"671,03",,,,,,-,,,,,,,"671,03",,,,,,"5.467,35",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,"701,54",,,,,,-,,,,,,,"701,54",,,,,,"5.819,29",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,"793,04",,,,,,-,,,,,,,"793,04",,,,,,"6.578,34",,,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,"610,03",,,,,,-,,,,,,,"610,03",,,,,,"5.060,25",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,"610,03",,,,,,-,,,,,,,"610,03",,,,,,"5.060,25",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,"3.980,27",,,,,,"1.389,88",,,,,,,"5.370,15",,,,,,"41.095,76",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,"793,04",,,,,,-,,,,,,,"793,04",,,,,,"6.578,34",,,,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,"610,03",,,,,,-,,,,,,,"610,03",,,,,,"5.060,25",,,,,,,,,,
