ANADIA-AL,AL, 388.08 , -   , 388.08 ," 3,698.65 "
ATALAIA-AL,AL, 501.28 , -   , 501.28 ," 4,777.44 "
BARRA DE SANTO ANTONIO-AL,AL, 371.91 , -   , 371.91 ," 3,544.52 "
BARRA DE SAO MIGUEL-AL,AL, 323.40 , -   , 323.40 ," 3,082.21 "
BOCA DA MATA-AL,AL, 436.60 , -   , 436.60 ," 4,160.98 "
BRANQUINHA-AL,AL, 339.57 , -   , 339.57 ," 3,236.32 "
CAJUEIRO-AL,AL, 420.43 , -   , 420.43 ," 4,006.89 "
CAMPESTRE-AL,AL, 323.40 , -   , 323.40 ," 3,082.21 "
CAMPO ALEGRE-AL,AL, 517.45 , -   , 517.45 ," 4,931.55 "
CAPELA-AL,AL, 388.08 , -   , 388.08 ," 3,698.65 "
CHA PRETA-AL,AL, 323.40 , -   , 323.40 ," 3,082.21 "
COLONIA LEOPOLDINA-AL,AL, 420.43 , -   , 420.43 ," 4,006.89 "
COQUEIRO SECO-AL,AL," 606,178.66 ", 94.30 ," 606,272.96 "," 5,533,146.55 "
CORURIPE-AL,AL," 212,872.27 "," 37,053.27 "," 249,925.54 "," 5,877,936.82 "
FELIZ DESERTO-AL,AL," 11,698.66 "," 16,348.88 "," 28,047.54 "," 267,308.31 "
FLEXEIRAS-AL,AL, 355.74 , -   , 355.74 ," 3,390.44 "
IBATEGUARA-AL,AL, 371.91 , -   , 371.91 ," 3,544.52 "
IGREJA NOVA-AL,AL, 420.43 , -   , 420.43 ," 4,006.89 "
JACUIPE-AL,AL, 323.40 , -   , 323.40 ," 3,082.21 "
JAPARATINGA-AL,AL, 323.40 , -   , 323.40 ," 3,082.21 "
JEQUIA DA PRAIA-AL,AL, 355.74 , -   , 355.74 ," 3,390.44 "
JOAQUIM GOMES-AL,AL, 420.43 , -   , 420.43 ," 4,006.89 "
JUNDIA-AL,AL, 323.40 , -   , 323.40 ," 3,082.21 "
JUNQUEIRO-AL,AL, 420.43 , -   , 420.43 ," 4,006.89 "
MACEIO-AL,AL," 617,346.94 "," 15,475.43 "," 632,822.37 "," 5,085,043.69 "
MARAGOGI-AL,AL, 452.77 , -   , 452.77 ," 4,315.11 "
MARECHAL DEODORO-AL,AL," 791,085.01 "," 21,546.88 "," 812,631.89 "," 7,417,194.85 "
MATRIZ DE CAMARAGIBE-AL,AL, 420.43 , -   , 420.43 ," 4,006.89 "
MESSIAS-AL,AL, 371.91 , -   , 371.91 ," 3,544.52 "
MURICI-AL,AL, 436.60 , -   , 436.60 ," 4,160.98 "
NOVO LINO-AL,AL, 355.74 , -   , 355.74 ," 3,390.44 "
PARIPUEIRA-AL,AL," 606,071.83 "," 5,071.91 "," 611,143.74 "," 8,231,946.69 "
PASSO DE CAMARAGIBE-AL,AL, 371.91 , -   , 371.91 ," 3,544.52 "
PENEDO-AL,AL," 191,279.20 ", 13.17 ," 191,292.37 "," 1,987,584.03 "
PIACABUCU-AL,AL, 388.08 , -   , 388.08 ," 3,698.65 "
PILAR-AL,AL," 665,912.48 "," 83,821.95 "," 749,734.43 "," 6,215,223.66 "
PINDOBA-AL,AL, 323.40 , -   , 323.40 ," 3,082.21 "
PORTO CALVO-AL,AL, 436.60 , -   , 436.60 ," 4,160.98 "
PORTO DE PEDRAS-AL,AL, 323.40 , -   , 323.40 ," 3,082.21 "
PORTO REAL DO COLEGIO-AL,AL, 404.26 , -   , 404.26 ," 3,852.77 "
RIO LARGO-AL,AL," 192,425.78 "," 4,900.68 "," 197,326.46 "," 2,039,070.63 "
ROTEIRO-AL,AL," 416,504.87 ", 325.02 ," 416,829.89 "," 5,828,571.22 "
SANTA LUZIA DO NORTE-AL,AL, -   , -   , -   ," 1,954.31 "
SANTANA DO MUNDAU-AL,AL, 339.57 , -   , 339.57 ," 3,236.32 "
SAO JOSE DA LAJE-AL,AL, 420.43 , -   , 420.43 ," 4,006.89 "
SAO LUIS DO QUITUNDE-AL,AL, 468.94 , -   , 468.94 ," 4,469.23 "
SAO MIGUEL DOS CAMPOS-AL,AL," 738,546.68 "," 123,917.04 "," 862,463.72 "," 8,998,927.88 "
SAO MIGUEL DOS MILAGRES-AL,AL, 323.40 , -   , 323.40 ," 3,082.21 "
SATUBA-AL,AL," 14,355.17 "," 9,019.20 "," 23,374.37 "," 208,996.96 "
TEOTONIO VILELA-AL,AL, 501.28 , -   , 501.28 ," 4,777.44 "
UNIAO DOS PALMARES-AL,AL, 533.62 , -   , 533.62 ," 5,085.68 "
VICOSA-AL,AL, 436.60 , -   , 436.60 ," 4,160.98 "
ALAGOAS  TOTAL,," 5,079,655.40 "," 317,587.73 "," 5,397,243.13 "," 57,839,464.85 "
ANAMA-AM,AM," 22,558.84 "," 1,524.28 "," 24,083.12 "," 279,030.81 "
ANORI-AM,AM," 22,558.84 "," 1,633.92 "," 24,192.76 "," 280,003.16 "
AUTAZES-AM,AM, -   ," 4,124.64 "," 4,124.64 "," 39,548.69 "
BERURI-AM,AM, -   ," 1,305.45 "," 1,305.45 "," 13,192.28 "
CAAPIRANGA-AM,AM," 22,558.84 ", 184.65 ," 22,743.49 "," 265,551.05 "
CAREIRO DA VARZEA-AM,AM, -   ," 4,124.64 "," 4,124.64 "," 39,548.69 "
CAREIRO-AM,AM, -   ," 1,305.45 "," 1,305.45 "," 13,192.28 "
COARI-AM,AM," 1,764,568.76 "," 1,599,258.27 "," 3,363,827.03 "," 34,214,478.41 "
CODAJAS-AM,AM," 22,558.84 "," 1,801.11 "," 24,359.95 "," 281,393.78 "
IRANDUBA-AM,AM, -   ," 4,124.64 "," 4,124.64 "," 39,548.69 "
ITACOATIARA-AM,AM, -   ," 4,124.64 "," 4,124.64 "," 39,548.69 "
ITAPIRANGA-AM,AM, -   ," 4,124.64 "," 4,124.64 "," 39,548.69 "
MANACAPURU-AM,AM, -   ," 1,305.45 "," 1,305.45 "," 13,192.28 "
MANAQUIRI-AM,AM, -   ," 1,305.45 "," 1,305.45 "," 13,192.28 "
MANAUS-AM,AM, -   , -   , -   ," 2,570,395.51 "
PARINTINS-AM,AM, -   ," 4,124.64 "," 4,124.64 "," 39,548.69 "
SILVES-AM,AM, -   ," 4,124.64 "," 4,124.64 "," 39,548.69 "
TEFE-AM,AM," 180,972.88 "," 85,287.81 "," 266,260.69 "," 2,395,805.86 "
URUCARA-AM,AM, -   ," 4,124.64 "," 4,124.64 "," 39,548.69 "
URUCURITUBA-AM,AM, -   ," 4,124.64 "," 4,124.64 "," 39,548.69 "
AMAZONAS  TOTAL,," 2,035,777.00 "," 1,732,033.60 "," 3,767,810.60 "," 40,695,365.91 "
LARANJAL DO JARI-AP,AP, -   ," 4,124.64 "," 4,124.64 "," 39,548.69 "
MACAPA-AP,AP, -   ," 4,124.64 "," 4,124.64 "," 39,548.69 "
MAZAGAO-AP,AP, -   ," 4,124.64 "," 4,124.64 "," 39,548.69 "
AMAPA  TOTAL,, -   ," 12,373.92 "," 12,373.92 "," 118,646.07 "
ACAJUTIBA-BA,BA," 1,307.77 ", -   ," 1,307.77 "," 13,220.47 "
ADUSTINA-BA,BA," 1,307.77 ", -   ," 1,307.77 "," 13,220.47 "
AGUA FRIA-BA,BA," 1,307.77 ", -   ," 1,307.77 "," 13,220.47 "
AIQUARA-BA,BA," 1,137.19 ", -   ," 1,137.19 "," 11,496.06 "
ALAGOINHAS-BA,BA," 775,188.45 "," 152,469.16 "," 927,657.61 "," 9,352,281.04 "
ALCOBACA-BA,BA," 1,478.34 ", -   ," 1,478.34 "," 14,944.90 "
ALMADINA-BA,BA," 1,137.19 ", -   ," 1,137.19 "," 11,496.06 "
AMARGOSA-BA,BA," 1,648.92 ", -   ," 1,648.92 "," 16,669.31 "
AMELIA RODRIGUES-BA,BA," 1,535.20 ", -   ," 1,535.20 "," 15,519.69 "
ANAGE-BA,BA," 1,535.20 ", -   ," 1,535.20 "," 15,519.69 "
ANGUERA-BA,BA," 1,194.05 ", -   ," 1,194.05 "," 12,070.86 "
ANTAS-BA,BA," 1,364.63 ", -   ," 1,364.63 "," 13,795.28 "
ANTONIO CARDOSO-BA,BA," 1,194.05 ", -   ," 1,194.05 "," 12,070.86 "
APORA-BA,BA," 1,364.63 ", -   ," 1,364.63 "," 13,795.28 "
APUAREMA-BA,BA," 1,137.19 ", -   ," 1,137.19 "," 11,496.06 "
ARACAS-BA,BA," 230,129.56 "," 137,503.03 "," 367,632.59 "," 3,805,112.46 "
ARACI-BA,BA," 1,819.50 ", -   ," 1,819.50 "," 18,393.71 "
ARAMARI-BA,BA," 1,523.73 ", 138.46 ," 1,662.19 "," 15,349.83 "
ARATACA-BA,BA," 1,194.05 ", -   ," 1,194.05 "," 12,070.86 "
ARATUIPE-BA,BA," 1,137.19 ", -   ," 1,137.19 "," 11,496.06 "
AURELINO LEAL-BA,BA," 1,250.91 ", -   ," 1,250.91 "," 12,645.68 "
BAIXA GRANDE-BA,BA," 1,478.34 ", -   ," 1,478.34 "," 14,944.90 "
BANZAE-BA,BA," 1,194.05 ", -   ," 1,194.05 "," 12,070.86 "
BARRA DO CHOCA-BA,BA," 1,648.92 ", -   ," 1,648.92 "," 16,669.31 "
BARRA DO ROCHA-BA,BA," 1,137.19 ", -   ," 1,137.19 "," 11,496.06 "
BARRO PRETO-BA,BA," 1,137.19 ", -   ," 1,137.19 "," 11,496.06 "
BARROCAS-BA,BA," 1,307.77 ", -   ," 1,307.77 "," 13,220.47 "
BELMONTE-BA,BA," 1,478.34 ", -   ," 1,478.34 "," 14,944.90 "
BELO CAMPO-BA,BA," 1,364.63 ", -   ," 1,364.63 "," 13,795.28 "
BIRITINGA-BA,BA," 1,307.77 ", -   ," 1,307.77 "," 13,220.47 "
BOA NOVA-BA,BA," 1,307.77 ", -   ," 1,307.77 "," 13,220.47 "
BOA VISTA DO TUPIM-BA,BA," 1,364.63 ", -   ," 1,364.63 "," 13,795.28 "
BOM JESUS DA SERRA-BA,BA," 1,194.05 ", -   ," 1,194.05 "," 12,070.86 "
BREJOES-BA,BA," 1,307.77 ", -   ," 1,307.77 "," 13,220.47 "
BUERAREMA-BA,BA," 1,421.49 ", -   ," 1,421.49 "," 14,370.09 "
CAATIBA-BA,BA," 1,194.05 ", -   ," 1,194.05 "," 12,070.86 "
CABACEIRAS DO PARAGUACU-BA,BA," 1,364.63 ", -   ," 1,364.63 "," 13,795.28 "
CACHOEIRA-BA,BA," 1,648.92 ", -   ," 1,648.92 "," 16,669.31 "
CAEM-BA,BA," 1,194.05 ", -   ," 1,194.05 "," 12,070.86 "
CAETANOS-BA,BA," 1,250.91 ", -   ," 1,250.91 "," 12,645.68 "
CAIRU-BA,BA," 39,284.76 "," 450,061.88 "," 489,346.64 "," 4,940,031.41 "
CAMACAN-BA,BA," 1,592.06 ", -   ," 1,592.06 "," 16,094.51 "
CAMACARI-BA,BA," 193,504.69 "," 135,838.62 "," 329,343.31 "," 3,424,727.92 "
CAMAMU-BA,BA," 1,648.92 ", -   ," 1,648.92 "," 16,669.31 "
CANAVIEIRAS-BA,BA," 1,648.92 ", -   ," 1,648.92 "," 16,669.31 "
CANDEAL-BA,BA," 1,137.19 ", -   ," 1,137.19 "," 11,496.06 "
CANDEIAS-BA,BA," 749,005.08 "," 279,858.66 "," 1,028,863.74 "," 8,540,515.49 "
CANDIDO SALES-BA,BA," 1,535.20 ", -   ," 1,535.20 "," 15,519.69 "
CANSANCAO-BA,BA," 1,648.92 ", -   ," 1,648.92 "," 16,669.31 "
CANUDOS-BA,BA," 1,307.77 ", -   ," 1,307.77 "," 13,220.47 "
CAPELA DO ALTO ALEGRE-BA,BA," 1,194.05 ", -   ," 1,194.05 "," 12,070.86 "
CAPIM GROSSO-BA,BA," 1,535.20 ", -   ," 1,535.20 "," 15,519.69 "
CARAVELAS-BA,BA," 1,478.34 ", -   ," 1,478.34 "," 14,944.90 "
CARDEAL DA SILVA-BA,BA," 94,006.48 "," 24,931.50 "," 118,937.98 "," 1,216,812.68 "
CASTRO ALVES-BA,BA," 1,535.20 ", -   ," 1,535.20 "," 15,519.69 "
CATU-BA,BA," 1,300,398.52 "," 101,108.45 "," 1,401,506.97 "," 3,904,625.42 "
CICERO DANTAS-BA,BA," 1,648.92 ", -   ," 1,648.92 "," 16,669.31 "
CIPO-BA,BA," 1,307.77 ", -   ," 1,307.77 "," 13,220.47 "
COARACI-BA,BA," 1,478.34 ", -   ," 1,478.34 "," 14,944.90 "
CONCEICAO DA FEIRA-BA,BA," 1,478.34 ", -   ," 1,478.34 "," 14,944.90 "
CONCEICAO DO ALMEIDA-BA,BA," 1,364.63 ", -   ," 1,364.63 "," 13,795.28 "
CONCEICAO DO COITE-BA,BA," 1,876.36 ", -   ," 1,876.36 "," 18,968.52 "
CONCEICAO DO JACUIPE-BA,BA," 1,592.06 ", -   ," 1,592.06 "," 16,094.51 "
CONDE-BA,BA," 3,178.80 "," 1,096.79 "," 4,275.59 "," 38,558.95 "
CORACAO DE MARIA-BA,BA," 1,478.34 ", -   ," 1,478.34 "," 14,944.90 "
CORONEL JOAO SA-BA,BA," 1,364.63 ", -   ," 1,364.63 "," 13,795.28 "
CRAVOLANDIA-BA,BA," 1,137.19 ", -   ," 1,137.19 "," 11,496.06 "
CRISOPOLIS-BA,BA," 1,478.34 ", -   ," 1,478.34 "," 14,944.90 "
CRUZ DAS ALMAS-BA,BA," 1,876.36 ", -   ," 1,876.36 "," 18,968.52 "
DARIO MEIRA-BA,BA," 1,250.91 ", -   ," 1,250.91 "," 12,645.68 "
DIAS D'AVILA-BA,BA," 1,933.22 ", -   ," 1,933.22 "," 19,543.33 "
DOM MACEDO COSTA-BA,BA," 1,137.19 ", -   ," 1,137.19 "," 11,496.06 "
ELISIO MEDRADO-BA,BA," 1,137.19 ", -   ," 1,137.19 "," 11,496.06 "
ENCRUZILHADA-BA,BA," 1,478.34 ", -   ," 1,478.34 "," 14,944.90 "
ENTRE RIOS-BA,BA," 734,386.15 "," 135,755.15 "," 870,141.30 "," 8,790,971.67 "
ESPLANADA-BA,BA," 5,809,409.84 "," 411,488.89 "," 6,220,898.73 "," 26,647,688.66 "
EUCLIDES DA CUNHA-BA,BA," 1,876.36 ", -   ," 1,876.36 "," 18,968.52 "
EUNAPOLIS-BA,BA," 526,732.07 ", -   ," 526,732.07 "," 1,820,197.23 "
