ANADIA-AL,,,,AL,,,,,"406,15",,,,,,-,,,,,"406,15",,,,,,,"3.300,24",,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"507,69",,,,,,-,,,,,"507,68",,,,,,,"4.125,30",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"338,46",,,,,,-,,,,,"338,45",,,,,,,"2.750,18",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"338,46",,,,,,-,,,,,"338,45",,,,,,,"2.750,18",,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"440,00",,,,,,-,,,,,"439,99",,,,,,,"3.575,26",,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"338,46",,,,,,-,,,,,"338,45",,,,,,,"2.750,18",,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"406,15",,,,,,-,,,,,"406,15",,,,,,,"3.300,24",,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"338,46",,,,,,-,,,,,"338,45",,,,,,,"2.750,18",,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"507,69",,,,,,-,,,,,"507,68",,,,,,,"4.125,30",,,,,,,,,
CAPELA-AL,,,,AL,,,,,"440,00",,,,,,-,,,,,"439,99",,,,,,,"3.575,26",,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"338,46",,,,,,-,,,,,"338,45",,,,,,,"2.750,18",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"406,15",,,,,,-,,,,,"406,15",,,,,,,"3.300,24",,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"338,46",,,,,,-,,,,,"338,45",,,,,,,"36.050,55",,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"39.429,73",,,,,,"17.082,22",,,,,"56.511,94",,,,,,,"456.068,38",,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"11.925,69",,,,,,"16.344,46",,,,,"28.270,15",,,,,,,"229.728,74",,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"372,30",,,,,,-,,,,,"372,30",,,,,,,"3.025,21",,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"389,23",,,,,,-,,,,,"389,22",,,,,,,"3.162,71",,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,,"423,07",,,,,,-,,,,,"423,07",,,,,,,"3.437,74",,,,,,,,,
JACUIPE-AL,,,,AL,,,,,"338,46",,,,,,-,,,,,"338,45",,,,,,,"2.750,18",,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,,"338,46",,,,,,-,,,,,"338,45",,,,,,,"2.750,18",,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,,"423,07",,,,,,-,,,,,"423,07",,,,,,,"3.437,74",,,,,,,,,
JUNDIA-AL,,,,AL,,,,,"338,46",,,,,,-,,,,,"338,45",,,,,,,"2.750,18",,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,,"440,00",,,,,,-,,,,,"439,99",,,,,,,"3.575,26",,,,,,,,,
MACEIO-AL,,,,AL,,,,,"23.886,14",,,,,,"12.855,45",,,,,"36.741,57",,,,,,,"346.574,66",,,,,,,,,
MARAGOGI-AL,,,,AL,,,,,"406,15",,,,,,-,,,,,"406,15",,,,,,,"3.300,24",,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,,"44.422,91",,,,,,"22.642,64",,,,,"67.065,52",,,,,,,"550.867,51",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,,"440,00",,,,,,-,,,,,"439,99",,,,,,,"3.575,26",,,,,,,,,
MESSIAS-AL,,,,AL,,,,,"355,38",,,,,,-,,,,,"355,38",,,,,,,"2.887,70",,,,,,,,,
MURICI-AL,,,,AL,,,,,"440,00",,,,,,-,,,,,"439,99",,,,,,,"3.575,26",,,,,,,,,
NOVO LINO-AL,,,,AL,,,,,"355,38",,,,,,-,,,,,"355,38",,,,,,,"2.887,70",,,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,,"338,46",,,,,,-,,,,,"338,45",,,,,,,"2.750,18",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,,"372,30",,,,,,-,,,,,"372,30",,,,,,,"3.025,21",,,,,,,,,
PENEDO-AL,,,,AL,,,,,"541,53",,,,,,-,,,,,"541,53",,,,,,,"4.400,33",,,,,,,,,
PIACABUCU-AL,,,,AL,,,,,"389,23",,,,,,-,,,,,"389,22",,,,,,,"3.162,71",,,,,,,,,
PILAR-AL,,,,AL,,,,,"83.779,02",,,,,,"40.963,39",,,,,"124.742,39",,,,,,,"961.569,04",,,,,,,,,
PINDOBA-AL,,,,AL,,,,,"338,46",,,,,,-,,,,,"338,45",,,,,,,"2.750,18",,,,,,,,,
PORTO CALVO-AL,,,,AL,,,,,"456,92",,,,,,-,,,,,"456,91",,,,,,,"3.712,77",,,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,,,"355,38",,,,,,-,,,,,"355,38",,,,,,,"2.887,70",,,,,,,,,
