ANADIA-AL,,,AL,,,,"522,02",,,,,,-,,,,,"522,02",,,,,,"3.997,56",,,,,,,,,,,
ATALAIA-AL,,,AL,,,,"674,28",,,,,,-,,,,,"674,28",,,,,,"5.160,00",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,,"456,77",,,,,,-,,,,,"456,77",,,,,,"3.496,69",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,,"435,02",,,,,,-,,,,,"435,02",,,,,,"3.332,44",,,,,,,,,,,
BOCA DA MATA-AL,,,AL,,,,"587,27",,,,,,-,,,,,"587,27",,,,,,"4.492,61",,,,,,,,,,,
BRANQUINHA-AL,,,AL,,,,"456,77",,,,,,-,,,,,"456,77",,,,,,"3.496,69",,,,,,,,,,,
CAJUEIRO-AL,,,AL,,,,"543,77",,,,,,-,,,,,"543,77",,,,,,"4.164,08",,,,,,,,,,,
CAMPESTRE-AL,,,AL,,,,"435,02",,,,,,-,,,,,"435,02",,,,,,"3.332,44",,,,,,,,,,,
CAMPO ALEGRE-AL,,,AL,,,,"674,28",,,,,,-,,,,,"674,28",,,,,,"5.160,00",,,,,,,,,,,
CAPELA-AL,,,AL,,,,"543,77",,,,,,-,,,,,"543,77",,,,,,"4.164,08",,,,,,,,,,,
CHA PRETA-AL,,,AL,,,,"435,02",,,,,,-,,,,,"435,02",,,,,,"3.332,44",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,,"522,02",,,,,,-,,,,,"522,02",,,,,,"3.997,56",,,,,,,,,,,
COQUEIRO SECO-AL,,,AL,,,,"435,02",,,,,,-,,,,,"435,02",,,,,,"3.332,44",,,,,,,,,,,
CORURIPE-AL,,,AL,,,,"853.768,31",,,,,,"26.650,13",,,,,"880.418,44",,,,,,"4.845.747,88",,,,,,,,,,,
FELIZ DESERTO-AL,,,AL,,,,"15.497,47",,,,,,"21.657,72",,,,,"37.155,19",,,,,,"284.469,70",,,,,,,,,,,
FLEXEIRAS-AL,,,AL,,,,"478,52",,,,,,-,,,,,"478,52",,,,,,"3.660,97",,,,,,,,,,,
IBATEGUARA-AL,,,AL,,,,"500,27",,,,,,-,,,,,"500,27",,,,,,"3.827,47",,,,,,,,,,,
IGREJA NOVA-AL,,,AL,,,,"565,52",,,,,,-,,,,,"565,52",,,,,,"4.328,33",,,,,,,,,,,
JACUIPE-AL,,,AL,,,,"435,02",,,,,,-,,,,,"435,02",,,,,,"3.332,44",,,,,,,,,,,
JAPARATINGA-AL,,,AL,,,,"435,02",,,,,,-,,,,,"435,02",,,,,,"3.332,44",,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,AL,,,,"478,52",,,,,,-,,,,,"478,52",,,,,,"3.660,97",,,,,,,,,,,
JOAQUIM GOMES-AL,,,AL,,,,"565,52",,,,,,-,,,,,"565,52",,,,,,"4.328,33",,,,,,,,,,,
JUNDIA-AL,,,AL,,,,"435,02",,,,,,-,,,,,"435,02",,,,,,"3.332,44",,,,,,,,,,,
JUNQUEIRO-AL,,,AL,,,,"565,52",,,,,,-,,,,,"565,52",,,,,,"4.328,33",,,,,,,,,,,
MACEIO-AL,,,AL,,,,"53.305,91",,,,,,-,,,,,"53.305,91",,,,,,"470.846,98",,,,,,,,,,,
MARAGOGI-AL,,,AL,,,,"565,52",,,,,,-,,,,,"565,52",,,,,,"4.328,33",,,,,,,,,,,
MARECHAL DEODORO-AL,,,AL,,,,"109.576,05",,,,,,"60.251,05",,,,,"169.827,10",,,,,,"1.103.948,48",,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,AL,,,,"565,52",,,,,,-,,,,,"565,52",,,,,,"4.328,33",,,,,,,,,,,
MESSIAS-AL,,,AL,,,,"456,77",,,,,,-,,,,,"456,77",,,,,,"3.496,69",,,,,,,,,,,
MURICI-AL,,,AL,,,,"587,27",,,,,,-,,,,,"587,27",,,,,,"4.492,61",,,,,,,,,,,
NOVO LINO-AL,,,AL,,,,"456,77",,,,,,-,,,,,"456,77",,,,,,"3.496,69",,,,,,,,,,,
PARIPUEIRA-AL,,,AL,,,,"435,02",,,,,,-,,,,,"435,02",,,,,,"76.839,67",,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,AL,,,,"478,52",,,,,,-,,,,,"478,52",,,,,,"3.660,97",,,,,,,,,,,
PENEDO-AL,,,AL,,,,"717,78",,,,,,-,,,,,"717,78",,,,,,"5.496,61",,,,,,,,,,,
PIACABUCU-AL,,,AL,,,,"522,02",,,,,,-,,,,,"522,02",,,,,,"3.997,56",,,,,,,,,,,
PILAR-AL,,,AL,,,,"88.034,11",,,,,,"56.389,18",,,,,"144.423,29",,,,,,"1.057.681,46",,,,,,,,,,,
PINDOBA-AL,,,AL,,,,"435,02",,,,,,-,,,,,"435,02",,,,,,"3.332,44",,,,,,,,,,,
PORTO CALVO-AL,,,AL,,,,"565,52",,,,,,-,,,,,"565,52",,,,,,"4.328,33",,,,,,,,,,,
PORTO DE PEDRAS-AL,,,AL,,,,"456,77",,,,,,-,,,,,"456,77",,,,,,"3.496,69",,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,AL,,,,"543,77",,,,,,-,,,,,"543,77",,,,,,"4.164,08",,,,,,,,,,,
RIO LARGO-AL,,,AL,,,,"1.882,05",,,,,,"750,95",,,,,"2.633,00",,,,,,"29.913,64",,,,,,,,,,,
ROTEIRO-AL,,,AL,,,,"782,46",,,,,,"224,10",,,,,"1.006,56",,,,,,"7.295,69",,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,AL,,,,"435,02",,,,,,-,,,,,"435,02",,,,,,"40.512,68",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,AL,,,,"456,77",,,,,,-,,,,,"456,77",,,,,,"3.496,69",,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,,"565,52",,,,,,-,,,,,"565,52",,,,,,"4.328,33",,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,,"609,02",,,,,,-,,,,,"609,02",,,,,,"4.664,96",,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,,"94.459,43",,,,,,"27.089,50",,,,,"121.548,93",,,,,,"903.765,19",,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,,"435,02",,,,,,-,,,,,"435,02",,,,,,"3.332,44",,,,,,,,,,,
