ANADIA-AL,,,,,,,,AL,,"927,38",,,,,,-,,,,,,"927,38",,,,,,,"7.309,13",,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,"1.236,51",,,,,,-,,,,,,"1.236,51",,,,,,,"9.745,51",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,"850,10",,,,,,-,,,,,,"850,10",,,,,,,"6.700,02",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,"772,81",,,,,,-,,,,,,"772,81",,,,,,,"6.090,93",,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,"1.043,30",,,,,,-,,,,,,"1.043,30",,,,,,,"8.222,79",,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,"811,46",,,,,,-,,,,,,"811,46",,,,,,,"6.395,48",,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,"1.004,66",,,,,,-,,,,,,"1.004,66",,,,,,,"7.918,22",,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,"772,81",,,,,,-,,,,,,"772,81",,,,,,,"6.090,93",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,"1.197,87",,,,,,-,,,,,,"1.197,87",,,,,,,"9.440,98",,,,,,,,,
CAPELA-AL,,,,,,,,AL,,"927,38",,,,,,-,,,,,,"927,38",,,,,,,"7.309,13",,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,"772,81",,,,,,-,,,,,,"772,81",,,,,,,"6.090,93",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,"966,02",,,,,,-,,,,,,"966,02",,,,,,,"7.613,68",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,"4.186,02",,,,,,"2.201,52",,,,,,"6.387,54",,,,,,,"18.790,41",,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,"1.162.701,99",,,,,,"93.431,58",,,,,,"1.256.133,57",,,,,,,"9.620.215,97",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,"27.776,91",,,,,,"38.818,24",,,,,,"66.595,15",,,,,,,"524.869,63",,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,"811,46",,,,,,-,,,,,,"811,46",,,,,,,"6.395,48",,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,"888,74",,,,,,-,,,,,,"888,74",,,,,,,"7.004,58",,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,"1.004,66",,,,,,-,,,,,,"1.004,66",,,,,,,"7.918,22",,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,"772,81",,,,,,-,,,,,,"772,81",,,,,,,"6.090,93",,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,"772,81",,,,,,-,,,,,,"772,81",,,,,,,"6.090,93",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,"19.412,59",,,,,,"7.812,47",,,,,,"27.225,06",,,,,,,"112.039,02",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,"1.004,66",,,,,,-,,,,,,"1.004,66",,,,,,,"7.918,22",,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,"53.085,33",,,,,,-,,,,,,"53.085,33",,,,,,,"292.123,90",,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,"1.043,30",,,,,,-,,,,,,"1.043,30",,,,,,,"8.222,79",,,,,,,,,
MACEIO-AL,,,,,,,,AL,,"216.673,21",,,,,,"104.904,49",,,,,,"321.577,70",,,,,,,"1.159.436,90",,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,"1.043,30",,,,,,-,,,,,,"1.043,30",,,,,,,"8.222,79",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,"119.027,70",,,,,,"125.801,11",,,,,,"244.828,81",,,,,,,"2.031.579,18",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,"1.043,30",,,,,,-,,,,,,"1.043,30",,,,,,,"8.222,79",,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,"888,74",,,,,,-,,,,,,"888,74",,,,,,,"7.004,58",,,,,,,,,
MURICI-AL,,,,,,,,AL,,"1.043,30",,,,,,-,,,,,,"1.043,30",,,,,,,"8.222,79",,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,"811,46",,,,,,-,,,,,,"811,46",,,,,,,"6.395,48",,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,"772,81",,,,,,"10.966,39",,,,,,"11.739,20",,,,,,,"103.098,99",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,"850,10",,,,,,-,,,,,,"850,10",,,,,,,"6.700,02",,,,,,,,,
PENEDO-AL,,,,,,,,AL,,"751.608,27",,,,,,-,,,,,,"751.608,27",,,,,,,"2.138.647,53",,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,"927,38",,,,,,-,,,,,,"927,38",,,,,,,"7.309,13",,,,,,,,,
PILAR-AL,,,,,,,,AL,,"189.517,65",,,,,,"121.541,03",,,,,,"311.058,68",,,,,,,"2.864.069,16",,,,,,,,,
PINDOBA-AL,,,,,,,,AL,,"772,81",,,,,,-,,,,,,"772,81",,,,,,,"6.090,93",,,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,"1.043,30",,,,,,-,,,,,,"1.043,30",,,,,,,"8.222,79",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,"811,46",,,,,,-,,,,,,"811,46",,,,,,,"6.395,48",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,"927,38",,,,,,-,,,,,,"927,38",,,,,,,"7.309,13",,,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,"72.528,81",,,,,,"11.791,54",,,,,,"84.320,35",,,,,,,"348.004,34",,,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,"3.808,09",,,,,,"1.957,76",,,,,,"5.765,85",,,,,,,"16.318,84",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,"55.825,95",,,,,,"1.431,30",,,,,,"57.257,25",,,,,,,"410.069,21",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,"811,46",,,,,,-,,,,,,"811,46",,,,,,,"6.395,48",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,"1.004,66",,,,,,-,,,,,,"1.004,66",,,,,,,"7.918,22",,,,,,,,,
